Wavelength (nm)	KL13 abs N
331.00	0.033668
332.00	0.032190
333.00	0.030792
334.00	0.029492
335.00	0.028591
336.00	0.027941
337.00	0.027517
338.00	0.027065
339.00	0.026839
340.00	0.026632
341.00	0.026653
342.00	0.026612
343.00	0.026662
344.00	0.026799
345.00	0.027010
346.00	0.027420
347.00	0.027518
348.00	0.027767
349.00	0.028251
350.00	0.028792
351.00	0.029275
352.00	0.029661
353.00	0.030409
354.00	0.031218
355.00	0.031948
356.00	0.032594
357.00	0.033341
358.00	0.033965
359.00	0.034714
360.00	0.035594
361.00	0.036495
362.00	0.037448
363.00	0.038159
364.00	0.039004
365.00	0.039582
366.00	0.040362
367.00	0.041344
368.00	0.041829
369.00	0.042858
370.00	0.043456
371.00	0.044283
372.00	0.044932
373.00	0.045651
374.00	0.046492
375.00	0.047077
376.00	0.047720
377.00	0.048673
378.00	0.049316
379.00	0.049774
380.00	0.050039
381.00	0.050649
382.00	0.051373
383.00	0.051307
384.00	0.051868
385.00	0.052475
386.00	0.052580
387.00	0.052815
388.00	0.053315
389.00	0.053374
390.00	0.053773
391.00	0.054277
392.00	0.054760
393.00	0.055362
394.00	0.055571
395.00	0.055760
396.00	0.055978
397.00	0.055851
398.00	0.055141
399.00	0.054395
400.00	0.053283
401.00	0.051660
402.00	0.050101
403.00	0.047868
404.00	0.045666
405.00	0.043571
406.00	0.042073
407.00	0.039733
408.00	0.037865
409.00	0.036333
410.00	0.034730
411.00	0.033673
412.00	0.033091
413.00	0.031823
414.00	0.030693
415.00	0.029813
416.00	0.029575
417.00	0.028934
418.00	0.028015
419.00	0.027850
420.00	0.027720
421.00	0.026930
422.00	0.026374
423.00	0.026033
424.00	0.025837
425.00	0.025734
426.00	0.025250
427.00	0.025301
428.00	0.024835
429.00	0.024678
430.00	0.024722
431.00	0.024252
432.00	0.024110
433.00	0.024055
434.00	0.024041
435.00	0.023541
436.00	0.023287
437.00	0.023132
438.00	0.022808
439.00	0.022789
440.00	0.022367
441.00	0.022141
442.00	0.021813
443.00	0.021487
444.00	0.021427
445.00	0.021429
446.00	0.021183
447.00	0.021167
448.00	0.021429
449.00	0.021402
450.00	0.021224
451.00	0.021593
452.00	0.021692
453.00	0.021647
454.00	0.022033
455.00	0.021816
456.00	0.021741
457.00	0.021651
458.00	0.021611
459.00	0.021557
460.00	0.021306
461.00	0.020764
462.00	0.020847
463.00	0.019924
464.00	0.019777
465.00	0.018918
466.00	0.018628
467.00	0.017835
468.00	0.016851
469.00	0.016220
470.00	0.015194
471.00	0.014916
472.00	0.014203
473.00	0.013452
474.00	0.013163
475.00	0.012504
476.00	0.012087
477.00	0.011579
478.00	0.011337
479.00	0.010601
480.00	0.010132
481.00	0.010056
