Wavelength (nm)	P02 abs N
370.60	0.23365
370.80	0.23557
371.00	0.23768
371.20	0.23842
371.40	0.24084
371.60	0.24262
371.80	0.24480
372.00	0.24632
372.20	0.24761
372.40	0.24884
372.60	0.25024
372.80	0.25126
373.00	0.25304
373.20	0.25451
373.40	0.25613
373.60	0.25808
373.80	0.25957
374.00	0.26078
374.20	0.26284
374.40	0.26413
374.60	0.26579
374.80	0.26786
375.00	0.26918
375.20	0.27137
375.40	0.27293
375.60	0.27498
375.80	0.27585
376.00	0.27707
376.20	0.27987
376.40	0.28082
376.60	0.28340
376.80	0.28468
377.00	0.28621
377.20	0.28811
377.40	0.28918
377.60	0.29105
377.80	0.29314
378.00	0.29541
378.20	0.29668
378.40	0.29893
378.60	0.30069
378.80	0.30163
379.00	0.30318
379.20	0.30556
379.40	0.30736
379.60	0.30899
379.80	0.31039
380.00	0.31230
380.20	0.31562
380.40	0.31773
380.60	0.31947
380.80	0.32089
381.00	0.32284
381.20	0.32467
381.40	0.32687
381.60	0.32903
381.80	0.33226
382.00	0.33333
382.20	0.33421
382.40	0.33596
382.60	0.33886
382.80	0.34213
383.00	0.34347
383.20	0.34579
383.40	0.34707
383.60	0.34978
383.80	0.35180
384.00	0.35415
384.20	0.35648
384.40	0.35866
384.60	0.36070
384.80	0.36281
385.00	0.36500
385.20	0.36766
385.40	0.36991
385.60	0.37172
385.80	0.37530
386.00	0.37718
386.20	0.37881
386.40	0.38136
386.60	0.38406
386.80	0.38650
387.00	0.38783
387.20	0.39047
387.40	0.39358
387.60	0.39576
387.80	0.39835
388.00	0.40066
388.20	0.40331
388.40	0.40583
388.60	0.40897
388.80	0.41124
389.00	0.41328
389.20	0.41628
389.40	0.41872
389.60	0.42097
389.80	0.42484
390.00	0.42755
390.20	0.42986
390.40	0.43277
390.60	0.43608
390.80	0.43830
391.00	0.44049
391.20	0.44358
391.40	0.44611
391.60	0.44840
391.80	0.45134
392.00	0.45440
392.20	0.45642
392.40	0.45875
392.60	0.46210
392.80	0.46470
393.00	0.46753
393.20	0.47054
393.40	0.47328
393.60	0.47610
393.80	0.47880
394.00	0.48185
394.20	0.48445
394.40	0.48756
394.60	0.49044
394.80	0.49352
395.00	0.49626
395.20	0.49970
395.40	0.50247
395.60	0.50568
395.80	0.50832
396.00	0.51112
396.20	0.51454
396.40	0.51710
396.60	0.52057
396.80	0.52235
397.00	0.52662
397.20	0.52996
397.40	0.53315
397.60	0.53600
397.80	0.53937
398.00	0.54191
398.20	0.54499
398.40	0.54837
398.60	0.55178
398.80	0.55449
399.00	0.55745
399.20	0.56083
399.40	0.56282
399.60	0.56843
399.80	0.57063
400.00	0.57388
400.20	0.57675
400.40	0.57986
400.60	0.58323
400.80	0.58656
401.00	0.58941
401.20	0.59276
401.40	0.59594
401.60	0.59964
401.80	0.60220
402.00	0.60522
402.20	0.60850
402.40	0.61172
402.60	0.61500
402.80	0.61852
403.00	0.62170
403.20	0.62533
403.40	0.62842
403.60	0.63096
403.80	0.63397
404.00	0.63748
404.20	0.64017
404.40	0.64368
404.60	0.64660
404.80	0.65018
405.00	0.65389
405.20	0.65733
405.40	0.65994
405.60	0.66308
405.80	0.66670
406.00	0.66963
406.20	0.67257
406.40	0.67506
406.60	0.67938
406.80	0.68318
407.00	0.68641
407.20	0.68916
407.40	0.69261
407.60	0.69574
407.80	0.69899
408.00	0.70241
408.20	0.70531
408.40	0.70815
408.60	0.71191
408.80	0.71497
409.00	0.71789
409.20	0.72136
409.40	0.72427
409.60	0.72771
409.80	0.73094
410.00	0.73360
410.20	0.73645
410.40	0.73940
410.60	0.74357
410.80	0.74687
411.00	0.75032
411.20	0.75359
411.40	0.75666
411.60	0.75917
411.80	0.76278
412.00	0.76570
412.20	0.76874
412.40	0.77223
412.60	0.77534
412.80	0.77826
413.00	0.78103
413.20	0.78453
413.40	0.78666
