Wavelength (nm)	H11 abs N
308.25	0.026441
308.50	0.024366
308.75	0.023123
309.00	0.023644
309.25	0.025710
309.50	0.024240
309.75	0.022787
310.00	0.024753
310.25	0.022274
310.50	0.021627
310.75	0.029794
311.00	0.026786
311.25	0.023812
311.50	0.025761
311.75	0.026635
312.00	0.025458
312.25	0.030601
312.50	0.023753
312.75	0.023602
313.00	0.021022
313.25	0.025190
313.50	0.030189
313.75	0.019703
314.00	0.016838
314.25	0.021610
314.50	0.023929
314.75	0.023904
315.00	0.022745
315.25	0.027483
315.50	0.025316
315.75	0.018014
316.00	0.025332
316.25	0.026215
316.50	0.023190
316.75	0.026240
317.00	0.019863
317.25	0.025736
317.50	0.022089
317.75	0.025475
318.00	0.026173
318.25	0.021913
318.50	0.021073
318.75	0.016418
319.00	0.024475
319.25	0.025156
319.50	0.024114
319.75	0.021350
320.00	0.022215
320.25	0.023778
320.50	0.019501
320.75	0.022240
321.00	0.023652
321.25	0.022173
321.50	0.022266
321.75	0.017871
322.00	0.020442
322.25	0.018854
322.50	0.020350
322.75	0.018174
323.00	0.017871
323.25	0.022173
323.50	0.016376
323.75	0.017082
324.00	0.020543
324.25	0.016846
324.50	0.023022
324.75	0.018880
325.00	0.016871
325.25	0.016023
325.50	0.012427
325.75	0.012385
326.00	0.016687
326.25	0.016048
326.50	0.015342
326.75	0.017065
327.00	0.013830
327.25	0.014578
327.50	0.013561
327.75	0.017829
328.00	0.019090
328.25	0.018123
328.50	0.017082
328.75	0.017787
329.00	0.010822
329.25	0.014435
329.50	0.014443
329.75	0.016888
330.00	0.011276
330.25	0.012771
330.50	0.011906
330.75	0.015485
331.00	0.015561
331.25	0.010654
331.50	0.012284
331.75	0.013964
332.00	0.011654
332.25	0.0097969
332.50	0.0083433
332.75	0.013729
333.00	0.013670
333.25	0.012284
333.50	0.010814
333.75	0.012502
334.00	0.0078224
334.25	0.014048
334.50	0.0069738
334.75	0.0095616
335.00	0.010687
335.25	0.010167
335.50	0.013116
335.75	0.012015
336.00	0.010721
336.25	0.0090575
336.50	0.0086374
336.75	0.0069906
337.00	0.010015
337.25	0.011334
337.50	0.011629
337.75	0.013133
338.00	0.0057050
338.25	0.011923
338.50	0.014082
338.75	0.014813
339.00	0.0063604
339.25	0.012889
339.50	0.010805
339.75	0.0094944
340.00	0.010713
340.25	0.011175
340.50	0.014292
340.75	0.017317
341.00	0.0079568
341.25	0.014200
341.50	0.015149
341.75	0.011721
342.00	0.011469
342.25	0.010561
342.50	0.010368
342.75	0.010906
343.00	0.012662
343.25	0.012998
343.50	0.013687
343.75	0.0092171
344.00	0.011486
344.25	0.016712
344.50	0.015023
344.75	0.015788
345.00	0.013040
345.25	0.012183
345.50	0.012166
345.75	0.014443
346.00	0.013065
346.25	0.011158
346.50	0.014594
346.75	0.015015
347.00	0.012771
347.25	0.010822
347.50	0.014678
347.75	0.017275
348.00	0.020409
348.25	0.014754
348.50	0.017317
348.75	0.014452
349.00	0.015267
349.25	0.018594
349.50	0.019737
349.75	0.016863
350.00	0.016502
350.25	0.016283
350.50	0.018165
350.75	0.022829
351.00	0.019888
351.25	0.017518
351.50	0.017124
351.75	0.021039
352.00	0.021367
352.25	0.022467
352.50	0.021778
352.75	0.022333
353.00	0.020753
353.25	0.025408
353.50	0.018056
353.75	0.024551
354.00	0.022703
354.25	0.022375
354.50	0.021241
354.75	0.021207
355.00	0.025778
355.25	0.021291
355.50	0.023660
355.75	0.024408
356.00	0.026408
356.25	0.022904
356.50	0.025005
356.75	0.028231
357.00	0.027954
357.25	0.026458
357.50	0.027172
357.75	0.029357
358.00	0.027693
358.25	0.029466
358.50	0.030432
358.75	0.032558
359.00	0.028004
359.25	0.035566
359.50	0.031432
359.75	0.032357
360.00	0.031894
360.25	0.031407
360.50	0.032180
360.75	0.032869
361.00	0.033734
361.25	0.036583
361.50	0.035112
361.75	0.037011
362.00	0.038347
362.25	0.035650
362.50	0.041422
362.75	0.039087
363.00	0.042221
363.25	0.042506
363.50	0.038952
363.75	0.043397
364.00	0.044111
364.25	0.045850
364.50	0.046388
364.75	0.046270
365.00	0.045817
365.25	0.046228
365.50	0.045766
365.75	0.045523
366.00	0.053379
366.25	0.050278
366.50	0.051555
366.75	0.053799
367.00	0.056101
367.25	0.054513
367.50	0.058529
367.75	0.056983
368.00	0.060235
368.25	0.058857
368.50	0.059596
368.75	0.059512
369.00	0.058966
369.25	0.063268
369.50	0.064327
369.75	0.065604
370.00	0.064394
370.25	0.067805
370.50	0.067771
370.75	0.069763
371.00	0.070595
371.25	0.073561
371.50	0.071267
371.75	0.072989
372.00	0.073384
372.25	0.077148
372.50	0.077829
372.75	0.076468
373.00	0.078543
373.25	0.079215
373.50	0.081635
373.75	0.085618
374.00	0.084500
374.25	0.086592
374.50	0.086819
374.75	0.086307
375.00	0.091213
375.25	0.090449
375.50	0.089827
375.75	0.090936
376.00	0.095179
376.25	0.096423
376.50	0.098817
376.75	0.10302
377.00	0.10314
377.25	0.10547
377.50	0.10958
377.75	0.10730
378.00	0.11128
378.25	0.11024
378.50	0.11032
378.75	0.11334
379.00	0.11706
379.25	0.11801
379.50	0.12058
379.75	0.12301
380.00	0.12312
380.25	0.12569
380.50	0.12877
380.75	0.12959
381.00	0.13189
381.25	0.13454
381.50	0.13468
381.75	0.13671
382.00	0.14073
382.25	0.14185
382.50	0.14370
382.75	0.14605
383.00	0.14784
383.25	0.15343
383.50	0.15552
383.75	0.15605
384.00	0.15982
384.25	0.16206
384.50	0.16110
384.75	0.16638
385.00	0.16886
385.25	0.16729
385.50	0.17501
385.75	0.17514
386.00	0.17918
386.25	0.18145
386.50	0.18139
386.75	0.18520
387.00	0.18769
387.25	0.19148
387.50	0.19485
387.75	0.19680
388.00	0.19952
388.25	0.20126
388.50	0.20518
388.75	0.20667
389.00	0.21190
389.25	0.21478
389.50	0.21744
389.75	0.21956
390.00	0.22286
390.25	0.22666
390.50	0.22921
390.75	0.23540
391.00	0.23623
391.25	0.23967
391.50	0.24391
391.75	0.24559
392.00	0.24953
392.25	0.24885
392.50	0.25751
392.75	0.25912
393.00	0.26386
393.25	0.26619
393.50	0.26867
393.75	0.27285
394.00	0.27726
394.25	0.27987
394.50	0.28523
394.75	0.28736
395.00	0.29197
395.25	0.29345
395.50	0.29849
395.75	0.30396
396.00	0.30683
396.25	0.31683
396.50	0.31762
396.75	0.32157
397.00	0.32434
397.25	0.33109
397.50	0.33168
397.75	0.33792
398.00	0.34007
398.25	0.34717
398.50	0.34524
398.75	0.34894
399.00	0.35693
399.25	0.35795
399.50	0.36311
399.75	0.36868
400.00	0.37242
400.25	0.37672
400.50	0.38131
400.75	0.38882
401.00	0.39119
401.25	0.39541
401.50	0.39871
401.75	0.40344
402.00	0.40679
402.25	0.41188
402.50	0.41392
402.75	0.42138
403.00	0.42521
403.25	0.42932
403.50	0.43765
403.75	0.43836
404.00	0.44629
404.25	0.44640
404.50	0.45309
404.75	0.45897
405.00	0.46267
405.25	0.46576
405.50	0.47254
405.75	0.47749
406.00	0.48319
406.25	0.48609
406.50	0.49173
406.75	0.49467
407.00	0.50447
407.25	0.50596
407.50	0.51197
407.75	0.51964
408.00	0.52380
408.25	0.52813
408.50	0.53592
408.75	0.53484
409.00	0.54284
409.25	0.54769
409.50	0.55266
409.75	0.55661
410.00	0.56322
410.25	0.56976
410.50	0.57490
410.75	0.57756
411.00	0.57931
411.25	0.58817
411.50	0.59291
411.75	0.59928
412.00	0.60610
412.25	0.60978
412.50	0.61707
412.75	0.62081
413.00	0.62457
413.25	0.63078
413.50	0.63670
413.75	0.64165
414.00	0.64364
414.25	0.65042
414.50	0.65204
414.75	0.65528
415.00	0.66409
415.25	0.66896
415.50	0.66926
415.75	0.67680
416.00	0.68381
416.25	0.68472
416.50	0.69465
416.75	0.69769
417.00	0.70219
417.25	0.70835
417.50	0.71455
417.75	0.72265
418.00	0.72561
418.25	0.73241
418.50	0.73593
418.75	0.74039
419.00	0.74775
419.25	0.74964
419.50	0.75611
419.75	0.76153
420.00	0.76831
420.25	0.77079
420.50	0.77598
420.75	0.78076
421.00	0.78595
421.25	0.78999
421.50	0.79595
421.75	0.80396
422.00	0.80844
422.25	0.81314
422.50	0.81846
422.75	0.82198
423.00	0.82723
423.25	0.83220
423.50	0.83567
423.75	0.83797
424.00	0.84939
424.25	0.85139
424.50	0.85289
424.75	0.86010
425.00	0.86430
425.25	0.86729
425.50	0.87691
425.75	0.88025
426.00	0.87891
426.25	0.88447
426.50	0.89211
426.75	0.89345
427.00	0.89961
427.25	0.90047
427.50	0.90645
427.75	0.91006
428.00	0.91807
428.25	0.91961
428.50	0.92155
428.75	0.92358
429.00	0.93166
429.25	0.93982
429.50	0.93868
429.75	0.93753
430.00	0.94617
430.25	0.94738
430.50	0.95387
430.75	0.95265
431.00	0.95698
431.25	0.96265
431.50	0.96363
431.75	0.96398
432.00	0.97214
432.25	0.96817
432.50	0.97143
432.75	0.97656
433.00	0.97589
433.25	0.97974
433.50	0.98068
433.75	0.98575
434.00	0.98588
434.25	0.98978
434.50	0.98922
434.75	0.99098
435.00	0.98996
435.25	0.99488
435.50	0.99384
435.75	0.98757
436.00	1.0000
436.25	0.99561
436.50	0.99417
436.75	0.99099
437.00	0.99507
437.25	0.99335
437.50	0.99200
437.75	0.99151
438.00	0.99223
438.25	0.98931
438.50	0.98730
438.75	0.98480
439.00	0.98570
439.25	0.98133
439.50	0.98157
439.75	0.97755
440.00	0.97153
440.25	0.97328
440.50	0.96825
440.75	0.96268
441.00	0.95955
441.25	0.95651
441.50	0.94994
441.75	0.94525
442.00	0.94474
442.25	0.94000
442.50	0.93172
442.75	0.92668
443.00	0.92483
443.25	0.92061
443.50	0.91088
443.75	0.90498
444.00	0.90288
444.25	0.89671
444.50	0.88647
444.75	0.87890
445.00	0.87465
445.25	0.86591
445.50	0.86000
445.75	0.85026
446.00	0.84059
446.25	0.83598
446.50	0.82726
446.75	0.81931
447.00	0.81074
447.25	0.80349
447.50	0.79278
447.75	0.78666
448.00	0.77491
448.25	0.76380
448.50	0.75647
448.75	0.74760
449.00	0.73558
449.25	0.72822
449.50	0.72075
449.75	0.70964
450.00	0.70111
450.25	0.68964
450.50	0.67998
450.75	0.66665
451.00	0.65714
451.25	0.64722
451.50	0.63663
451.75	0.62341
452.00	0.61502
452.25	0.60356
452.50	0.59416
452.75	0.58155
453.00	0.57299
453.25	0.56255
453.50	0.54946
453.75	0.54279
454.00	0.52968
454.25	0.52195
454.50	0.51667
454.75	0.51103
455.00	0.49825
455.25	0.49030
455.50	0.47834
455.75	0.46730
456.00	0.45722
456.25	0.44595
456.50	0.43611
456.75	0.42706
457.00	0.41451
457.25	0.40557
457.50	0.39611
457.75	0.38645
458.00	0.37479
458.25	0.36413
458.50	0.35633
458.75	0.34823
459.00	0.33787
459.25	0.32972
459.50	0.31955
459.75	0.30797
460.00	0.30210
460.25	0.29189
460.50	0.28405
460.75	0.27425
461.00	0.26843
461.25	0.26004
461.50	0.25208
461.75	0.24449
462.00	0.23661
462.25	0.22986
462.50	0.22216
462.75	0.21568
463.00	0.20745
463.25	0.19855
463.50	0.19519
463.75	0.18800
464.00	0.18386
464.25	0.17742
464.50	0.17164
464.75	0.16424
465.00	0.15909
465.25	0.15353
465.50	0.14946
465.75	0.14449
466.00	0.14086
466.25	0.13382
466.50	0.12884
466.75	0.12377
467.00	0.12085
467.25	0.11465
467.50	0.11271
467.75	0.10714
468.00	0.10544
468.25	0.10046
468.50	0.096397
468.75	0.093020
469.00	0.088575
469.25	0.085567
469.50	0.081820
469.75	0.080139
470.00	0.075115
470.25	0.071897
470.50	0.070065
470.75	0.066671
471.00	0.066108
471.25	0.062100
471.50	0.060092
471.75	0.057470
472.00	0.053866
472.25	0.050404
472.50	0.051488
472.75	0.048489
473.00	0.046917
473.25	0.042952
473.50	0.044456
473.75	0.040238
474.00	0.038667
474.25	0.036919
474.50	0.035507
474.75	0.034818
475.00	0.033583
475.25	0.031474
475.50	0.026736
475.75	0.028155
476.00	0.025912
476.25	0.025601
476.50	0.025988
476.75	0.023333
477.00	0.021862
477.25	0.019770
477.50	0.021022
477.75	0.020476
478.00	0.017779
478.25	0.018048
478.50	0.015737
478.75	0.016712
479.00	0.015384
479.25	0.016930
479.50	0.014460
479.75	0.013032
480.00	0.012334
480.25	0.011452
480.50	0.011587
480.75	0.011679
481.00	0.0097633
481.25	0.010662
481.50	0.010713
481.75	0.010074
482.00	0.0088306
482.25	0.0068477
482.50	0.0083937
482.75	0.0084105
483.00	0.0061924
483.25	0.0057891
483.50	0.0066629
483.75	0.0053101
484.00	0.0046548
484.25	0.0054362
484.50	0.0060159
484.75	0.0046800
485.00	0.0057470
485.25	0.0038650
485.50	0.0046968
485.75	0.0046716
486.00	0.0038314
486.25	0.0052597
486.50	0.0036297
486.75	0.0035877
487.00	0.0023190
487.25	0.0015124
487.50	0.0025122
487.75	0.0037137
488.00	0.0031760
488.25	0.0027643
488.50	0.0029155
488.75	0.0023778
489.00	0.0038062
489.25	0.0014536
489.50	0.0015208
489.75	0.0027475
490.00	0.0013443
490.25	0.0014200
490.50	0.0018905
490.75	0.00052933
491.00	0.00090743
491.25	0.0018401
491.50	0.0016468
491.75	1.6804e-05
492.00	0.0021761
492.25	0.0010251
492.50	0.00068897
492.75	0.00026887
493.00	0.00068897
493.25	0.0024366
493.50	0.00075619
493.75	0.0014872
494.00	-0.0012519
494.25	4.2011e-05
494.50	0.0021846
494.75	0.0012603
495.00	0.00075619
495.25	0.00024366
495.50	0.0019409
495.75	8.4019e-06
496.00	-0.00089062
496.25	0.00075619
496.50	0.0014872
496.75	0.0018317
497.00	0.00075619
497.25	0.00047052
497.50	0.0011007
497.75	0.00063856
498.00	-0.00015124
498.25	-0.0010419
498.50	0.00082341
498.75	0.00060495
499.00	-0.0016720
499.25	0.00042851
499.50	0.00080660
499.75	0.0016720
500.00	0.00054614
500.25	0.0010503
500.50	-0.00031928
500.75	-0.0013527
501.00	0.00057975
501.25	-0.00019325
501.50	-0.00068897
501.75	-0.0016804
502.00	-0.00026047
502.25	0.00087382
502.50	-0.00020165
502.75	0.00094104
503.00	0.0013948
503.25	0.0013275
503.50	0.0012855
503.75	-0.00034449
504.00	-0.00068057
504.25	0.0013275
504.50	-7.5619e-05
504.75	-0.00036129
505.00	0.0012015
505.25	0.00071418
505.50	0.00082341
505.75	0.00033608
506.00	-0.0010503
506.25	-0.00026047
506.50	0.00095784
506.75	0.00094944
507.00	0.0015712
507.25	-0.0010671
507.50	0.0010671
507.75	-4.2011e-05
508.00	0.00028567
508.25	7.5619e-05
508.50	-8.4021e-05
508.75	0.0010671
509.00	1.6804e-05
509.25	-0.0015208
509.50	-0.00070578
509.75	-0.00018485
510.00	0.00089062
510.25	-0.00025206
510.50	0.00078140
510.75	0.00076459
511.00	0.0017728
511.25	-0.00030248
511.50	0.0014368
511.75	-0.00028567
512.00	0.00097465
512.25	0.0022686
512.50	-0.00025206
512.75	0.00034449
513.00	-0.00038650
513.25	0.00052093
513.50	-0.00071418
513.75	-0.0018401
514.00	-0.00078980
514.25	0.0011931
514.50	-0.0012939
514.75	0.0016300
515.00	5.0413e-05
515.25	-0.00028567
515.50	-0.00096624
515.75	0.00052933
516.00	0.00080660
516.25	6.7217e-05
516.50	-8.4021e-05
516.75	-0.00031088
517.00	-0.00027727
517.25	-0.00014284
517.50	-0.00015124
517.75	8.4019e-06
518.00	0.0021593
518.25	-0.0021425
518.50	0.00099145
518.75	-0.00096624
519.00	0.00086542
519.25	-0.00015124
519.50	0.00073939
519.75	0.0011091
520.00	0.00059655
520.25	0.00052093
520.50	0.0013527
520.75	8.4019e-06
521.00	0.0011595
521.25	0.0010923
521.50	-0.00065537
521.75	-0.00015964
522.00	0.00054614
522.25	0.00086542
522.50	0.00094944
522.75	5.0413e-05
523.00	0.0010083
523.25	-0.00027727
523.50	0.00080660
523.75	0.00038650
524.00	-0.00083181
524.25	0.00042011
524.50	0.0014620
524.75	-0.00031928
525.00	0.00046212
525.25	0.0019829
525.50	-2.5206e-05
525.75	0.0010167
526.00	4.2011e-05
526.25	0.00029407
526.50	-0.00025206
526.75	6.7217e-05
527.00	0.00043691
527.25	0.00076459
527.50	-0.00028567
527.75	-0.00047052
528.00	-0.00063856
528.25	0.00043691
528.50	0.0018233
528.75	0.00015964
529.00	0.0020081
529.25	0.00011763
529.50	-0.0012771
529.75	2.5206e-05
530.00	5.0413e-05
530.25	-0.0019241
530.50	-0.0013275
530.75	0.00055454
531.00	0.0016132
531.25	0.00085702
531.50	-0.00033608
531.75	0.00023526
532.00	0.00047052
532.25	-0.00042851
532.50	0.0014536
532.75	0.00095784
533.00	0.00071418
533.25	0.00017644
533.50	-0.00073098
533.75	0.00053774
534.00	0.00056294
