Wavelength (nm)	Q20 abs  N
300.00	0.13302
302.00	0.13775
304.00	0.14228
306.00	0.14582
308.00	0.14931
310.00	0.15212
312.00	0.15425
314.00	0.15638
316.00	0.15775
318.00	0.15916
320.00	0.16085
322.00	0.16263
324.00	0.16443
326.00	0.16639
328.00	0.16846
330.00	0.17099
332.00	0.17351
334.00	0.17640
336.00	0.17930
338.00	0.18246
340.00	0.18604
342.00	0.18989
344.00	0.19392
346.00	0.19787
348.00	0.20161
350.00	0.20523
352.00	0.20840
354.00	0.21202
356.00	0.21688
358.00	0.22275
360.00	0.23292
362.00	0.23650
364.00	0.24432
366.00	0.25003
368.00	0.25420
370.00	0.25809
372.00	0.26125
374.00	0.26498
376.00	0.26880
378.00	0.27263
380.00	0.27753
382.00	0.28539
384.00	0.29807
386.00	0.31558
388.00	0.33595
390.00	0.35527
392.00	0.37018
394.00	0.38062
396.00	0.38747
398.00	0.39595
400.00	0.41729
402.00	0.46798
404.00	0.56404
406.00	0.70619
408.00	0.86903
410.00	0.97969
412.00	1.0000
414.00	0.95947
416.00	0.89296
418.00	0.80962
420.00	0.68709
422.00	0.54123
424.00	0.40068
426.00	0.28684
428.00	0.21197
430.00	0.16426
432.00	0.13705
434.00	0.11858
436.00	0.10626
438.00	0.097992
440.00	0.091138
442.00	0.086469
444.00	0.082451
446.00	0.079646
448.00	0.077547
450.00	0.075864
452.00	0.074387
454.00	0.072613
456.00	0.071165
458.00	0.068624
460.00	0.066674
462.00	0.063780
464.00	0.059938
466.00	0.057841
468.00	0.054650
470.00	0.051488
472.00	0.047796
474.00	0.045195
476.00	0.042684
478.00	0.040201
480.00	0.037514
482.00	0.036302
484.00	0.033494
486.00	0.034706
488.00	0.032166
490.00	0.029447
492.00	0.027823
494.00	0.027350
496.00	0.025340
498.00	0.024632
500.00	0.024690
502.00	0.023774
504.00	0.023419
506.00	0.023036
508.00	0.022446
510.00	0.021942
512.00	0.022209
514.00	0.021470
516.00	0.020850
518.00	0.020701
520.00	0.020937
522.00	0.020968
524.00	0.020228
526.00	0.020614
528.00	0.020614
530.00	0.021648
532.00	0.021913
534.00	0.022800
536.00	0.024041
538.00	0.024277
540.00	0.025960
542.00	0.027290
544.00	0.028117
546.00	0.029654
548.00	0.030127
550.00	0.030510
552.00	0.030067
554.00	0.030156
556.00	0.029831
558.00	0.030216
560.00	0.029211
562.00	0.030481
564.00	0.030098
566.00	0.030925
568.00	0.031515
570.00	0.032520
572.00	0.034499
574.00	0.034499
576.00	0.034617
578.00	0.036065
580.00	0.035002
582.00	0.035829
584.00	0.036391
586.00	0.041059
588.00	0.042624
590.00	0.043303
592.00	0.042684
594.00	0.045549
596.00	0.047972
598.00	0.047617
600.00	0.049716
602.00	0.051223
604.00	0.053910
606.00	0.054621
608.00	0.054708
610.00	0.055241
612.00	0.057427
614.00	0.057692
616.00	0.059702
618.00	0.060234
620.00	0.060647
622.00	0.059820
624.00	0.060825
626.00	0.061415
628.00	0.061917
630.00	0.062478
632.00	0.062242
634.00	0.062715
636.00	0.061594
638.00	0.061712
640.00	0.062273
642.00	0.063158
644.00	0.063869
646.00	0.063011
648.00	0.062715
650.00	0.064517
652.00	0.065197
654.00	0.065197
656.00	0.067472
658.00	0.066585
660.00	0.072022
662.00	0.072406
664.00	0.074090
666.00	0.077074
668.00	0.077460
670.00	0.079615
672.00	0.079675
674.00	0.082629
676.00	0.082659
678.00	0.083427
680.00	0.083840
682.00	0.083634
684.00	0.081388
686.00	0.081477
688.00	0.079497
690.00	0.077872
692.00	0.074710
694.00	0.072230
696.00	0.066585
698.00	0.064134
700.00	0.059762
702.00	0.053467
704.00	0.051016
706.00	0.045106
708.00	0.042358
710.00	0.037839
712.00	0.034499
714.00	0.029920
716.00	0.028413
718.00	0.024484
720.00	0.023007
722.00	0.020496
724.00	0.018869
726.00	0.015237
728.00	0.014439
730.00	0.013403
732.00	0.011306
734.00	0.0086185
736.00	0.0093852
738.00	0.0093271
740.00	0.0071992
742.00	0.0063724
744.00	0.0052493
746.00	0.0048950
748.00	0.0038009
750.00	0.0014077
752.00	0.0057818
754.00	0.0071411
756.00	0.0059289
758.00	0.0031813
760.00	0.0022945
762.00	0.0038610
764.00	0.0021473
766.00	0.0032104
768.00	0.0027670
770.00	0.0028851
772.00	0.0027379
774.00	0.0016439
776.00	0.0030632
778.00	0.0034776
780.00	0.0026489
782.00	0.0022945
784.00	0.0017039
786.00	0.0021183
788.00	0.0019111
790.00	0.0021183
792.00	0.0029741
794.00	0.0017330
796.00	0.0031813
798.00	0.00034466
800.00	0.0020292
