Wavelength (nm)	O-3, 36322-90-4, Piroxicam.ems
552.50	0.48422
553.00	0.48653
553.50	0.47944
554.00	0.47596
554.50	0.47087
555.00	0.46985
555.50	0.46474
556.00	0.46402
556.50	0.45615
557.00	0.45393
557.50	0.45184
558.00	0.45349
558.50	0.44998
559.00	0.44620
559.50	0.43994
560.00	0.44370
560.50	0.43522
561.00	0.43322
561.50	0.42841
562.00	0.42335
562.50	0.42681
563.00	0.42210
563.50	0.41479
564.00	0.41495
564.50	0.41016
565.00	0.41105
565.50	0.40982
566.00	0.40465
566.50	0.39991
567.00	0.39880
567.50	0.39650
568.00	0.39356
568.50	0.38819
569.00	0.38732
569.50	0.38411
570.00	0.38860
570.50	0.38190
571.00	0.37250
571.50	0.37629
572.00	0.37414
572.50	0.36818
573.00	0.36715
573.50	0.36150
574.00	0.36422
574.50	0.35688
575.00	0.35543
575.50	0.35532
576.00	0.35138
576.50	0.34887
577.00	0.34858
577.50	0.34017
578.00	0.33943
578.50	0.33520
579.00	0.33682
579.50	0.33215
580.00	0.33197
580.50	0.32693
581.00	0.33306
581.50	0.32652
582.00	0.32482
582.50	0.32058
583.00	0.32036
583.50	0.31293
584.00	0.31852
584.50	0.31393
585.00	0.31009
585.50	0.30729
586.00	0.30852
586.50	0.30364
587.00	0.30596
587.50	0.29883
588.00	0.29907
588.50	0.29351
589.00	0.29333
589.50	0.28601
590.00	0.28892
590.50	0.28643
591.00	0.28731
591.50	0.28265
592.00	0.27883
592.50	0.27652
593.00	0.27709
593.50	0.27492
594.00	0.26910
594.50	0.27315
595.00	0.26768
595.50	0.26604
596.00	0.26659
596.50	0.26587
597.00	0.26347
597.50	0.25560
598.00	0.25736
598.50	0.25615
599.00	0.25509
599.50	0.25418
600.00	0.25203
600.50	0.24872
601.00	0.24909
601.50	0.24582
602.00	0.24436
602.50	0.24748
603.00	0.24532
603.50	0.24050
604.00	0.23434
604.50	0.23334
605.00	0.23354
605.50	0.23457
606.00	0.22929
606.50	0.23008
607.00	0.22921
607.50	0.22887
608.00	0.22754
608.50	0.22513
609.00	0.22451
609.50	0.22310
610.00	0.22085
610.50	0.21935
611.00	0.22291
611.50	0.21811
612.00	0.21868
612.50	0.21588
613.00	0.22010
613.50	0.21486
614.00	0.21226
614.50	0.20994
615.00	0.21275
615.50	0.21055
616.00	0.20912
616.50	0.20552
617.00	0.20626
617.50	0.20200
618.00	0.20791
618.50	0.20140
619.00	0.20388
619.50	0.19964
620.00	0.19860
620.50	0.20023
621.00	0.19798
621.50	0.20208
622.00	0.20390
622.50	0.19618
623.00	0.20080
623.50	0.19927
624.00	0.19767
624.50	0.19461
625.00	0.19763
625.50	0.19302
626.00	0.19108
626.50	0.18962
627.00	0.18994
627.50	0.19032
628.00	0.18866
628.50	0.18695
629.00	0.18690
629.50	0.18800
630.00	0.18747
630.50	0.18312
631.00	0.18348
631.50	0.18527
632.00	0.18670
632.50	0.18492
