Wavelength (nm)	J05 abs N
626.00	0.0018701
627.00	0.0021654
628.00	0.0021428
629.00	0.0023631
630.00	0.0020818
631.00	0.0020636
632.00	0.0024530
633.00	0.0016205
634.00	0.0016355
635.00	0.0016722
636.00	0.0018716
637.00	0.0016250
638.00	0.0015492
639.00	0.0015411
640.00	0.0020678
641.00	0.0019197
642.00	0.0020491
643.00	0.0024870
644.00	0.0019017
645.00	0.0018987
646.00	0.0011866
647.00	0.0022086
648.00	0.0018788
649.00	0.0012298
650.00	0.0018481
