Wavelength (nm)	I04 abs N
308.25	0.038161
308.50	0.036136
308.75	0.034670
309.00	0.033507
309.25	0.032214
309.50	0.033076
309.75	0.030663
310.00	0.037091
310.25	0.034836
310.50	0.030957
310.75	0.031259
311.00	0.036480
311.25	0.029298
311.50	0.025771
311.75	0.027818
312.00	0.026727
312.25	0.020937
312.50	0.025276
312.75	0.029190
313.00	0.022367
313.25	0.019659
313.50	0.023746
313.75	0.025017
314.00	0.019120
314.25	0.020664
314.50	0.018862
314.75	0.020564
315.00	0.015076
315.25	0.018402
315.50	0.013388
315.75	0.019968
316.00	0.011298
316.25	0.013001
316.50	0.0091292
316.75	0.0088563
317.00	0.015005
317.25	0.012333
317.50	0.012067
317.75	0.0092657
318.00	0.0092369
318.25	0.0076999
318.50	0.0089424
318.75	0.0079225
319.00	0.011054
319.25	0.013209
319.50	0.014135
319.75	0.0098187
320.00	0.010709
320.25	0.0070678
320.50	0.0094021
320.75	0.011607
321.00	0.011370
321.25	0.0057534
321.50	0.0079943
321.75	0.013037
322.00	0.010084
322.25	0.0095458
322.50	0.0072905
322.75	0.0056456
323.00	0.0087126
323.25	0.012390
323.50	0.015299
323.75	0.010860
324.00	0.0093590
324.25	0.0066656
324.50	0.0095530
324.75	0.0063783
325.00	0.011909
325.25	0.012153
325.50	0.0082457
325.75	0.010293
326.00	0.010386
326.25	0.0051213
326.50	0.0059904
326.75	0.0058898
327.00	0.0088491
327.25	0.0061987
327.50	0.010566
327.75	0.0085330
328.00	0.0097541
328.25	0.0088347
328.50	0.0078148
328.75	0.0099911
329.00	0.0087844
329.25	0.0074987
329.50	0.0081955
329.75	0.0057318
330.00	0.010415
330.25	0.0077142
330.50	0.010745
330.75	0.013597
331.00	0.0094596
331.25	0.0070678
331.50	0.0057893
331.75	0.0097182
332.00	0.0089424
332.25	0.012376
332.50	0.010831
332.75	0.0077214
333.00	0.0094811
333.25	0.0095314
333.50	0.0089065
333.75	0.016103
334.00	0.0098546
334.25	0.0085187
334.50	0.0071109
334.75	0.010163
335.00	0.0078938
335.25	0.011068
335.50	0.0078363
335.75	0.0097972
336.00	0.0069816
336.25	0.0092657
336.50	0.010393
336.75	0.010982
337.00	0.012843
337.25	0.012426
337.50	0.011262
337.75	0.011578
338.00	0.011808
338.25	0.013704
338.50	0.010005
338.75	0.011550
339.00	0.0080518
339.25	0.010867
339.50	0.012081
339.75	0.0095889
340.00	0.012505
340.25	0.012706
340.50	0.013288
340.75	0.014272
341.00	0.013230
341.25	0.012907
341.50	0.013230
341.75	0.014236
342.00	0.011464
342.25	0.011040
342.50	0.010508
342.75	0.012426
343.00	0.011564
343.25	0.016384
343.50	0.014143
343.75	0.014416
344.00	0.016175
344.25	0.014351
344.50	0.014416
344.75	0.014150
345.00	0.018474
345.25	0.013554
345.50	0.015019
345.75	0.016326
346.00	0.014344
346.25	0.015033
346.50	0.018876
346.75	0.015953
347.00	0.020593
347.25	0.017389
347.50	0.017080
347.75	0.016441
348.00	0.016326
348.25	0.019357
348.50	0.017238
348.75	0.016771
349.00	0.017799
349.25	0.017303
349.50	0.022733
349.75	0.018438
350.00	0.019178
350.25	0.016484
350.50	0.018538
350.75	0.020866
351.00	0.019788
351.25	0.022812
351.50	0.022180
351.75	0.019659
352.00	0.020758
352.25	0.022302
352.50	0.021864
352.75	0.023078
353.00	0.022747
353.25	0.022474
353.50	0.022776
353.75	0.021110
354.00	0.022647
354.25	0.023667
354.50	0.022862
354.75	0.022022
355.00	0.022345
355.25	0.025333
355.50	0.028644
355.75	0.022496
356.00	0.025843
356.25	0.029398
356.50	0.026985
356.75	0.026554
357.00	0.025972
357.25	0.031173
357.50	0.026590
357.75	0.027588
358.00	0.026827
358.25	0.027854
358.50	0.028874
358.75	0.030325
359.00	0.029312
359.25	0.031797
359.50	0.028213
359.75	0.031029
360.00	0.031568
360.25	0.034735
360.50	0.031302
360.75	0.030619
361.00	0.032702
361.25	0.030763
361.50	0.035166
361.75	0.034527
362.00	0.037378
362.25	0.033227
362.50	0.036064
362.75	0.036955
363.00	0.036919
363.25	0.036832
363.50	0.039289
363.75	0.036811
364.00	0.037816
364.25	0.035748
364.50	0.038980
364.75	0.039231
365.00	0.041293
365.25	0.041235
365.50	0.042291
365.75	0.040926
366.00	0.039957
366.25	0.041070
366.50	0.039239
366.75	0.042083
367.00	0.044654
367.25	0.042363
367.50	0.043677
367.75	0.044230
368.00	0.045092
368.25	0.044920
368.50	0.043900
368.75	0.046752
369.00	0.047297
369.25	0.047211
369.50	0.050494
369.75	0.048813
370.00	0.048662
370.25	0.051018
370.50	0.051327
370.75	0.049840
371.00	0.050939
371.25	0.051614
371.50	0.054810
371.75	0.054473
372.00	0.054681
372.25	0.054609
372.50	0.054358
372.75	0.054724
373.00	0.055227
373.25	0.060535
373.50	0.057482
373.75	0.061483
374.00	0.058991
374.25	0.059098
374.50	0.058064
374.75	0.057497
375.00	0.060039
375.25	0.061303
375.50	0.062790
375.75	0.062079
376.00	0.063710
376.25	0.064543
376.50	0.065211
376.75	0.067401
377.00	0.068508
377.25	0.067380
377.50	0.067121
377.75	0.070016
378.00	0.070540
378.25	0.069628
378.50	0.069951
378.75	0.070081
379.00	0.072084
379.25	0.073320
379.50	0.074124
379.75	0.073385
380.00	0.076351
380.25	0.078513
380.50	0.078391
380.75	0.081623
381.00	0.081221
381.25	0.079138
381.50	0.080639
381.75	0.083411
382.00	0.083900
382.25	0.083842
382.50	0.083821
382.75	0.083907
383.00	0.084367
383.25	0.086565
383.50	0.090185
383.75	0.085710
384.00	0.090630
384.25	0.093460
384.50	0.090939
384.75	0.094415
385.00	0.093287
385.25	0.094717
385.50	0.095169
385.75	0.096505
386.00	0.097748
386.25	0.099263
386.50	0.097956
386.75	0.10108
387.00	0.10186
387.25	0.10301
387.50	0.10400
387.75	0.10437
388.00	0.10554
388.25	0.10616
388.50	0.10711
388.75	0.10825
389.00	0.11060
389.25	0.11019
389.50	0.11265
389.75	0.11171
390.00	0.11537
390.25	0.11496
390.50	0.11353
390.75	0.11764
391.00	0.11822
391.25	0.11932
391.50	0.12009
391.75	0.12044
392.00	0.12234
392.25	0.12531
392.50	0.12321
392.75	0.12424
393.00	0.12637
393.25	0.12685
393.50	0.12906
393.75	0.12980
394.00	0.13162
394.25	0.13225
394.50	0.13324
394.75	0.13521
395.00	0.13515
395.25	0.13561
395.50	0.13824
395.75	0.13916
396.00	0.14128
396.25	0.14279
396.50	0.14381
396.75	0.14453
397.00	0.14696
397.25	0.14695
397.50	0.14527
397.75	0.14968
398.00	0.14981
398.25	0.15008
398.50	0.15403
398.75	0.15334
399.00	0.15619
399.25	0.15339
399.50	0.15788
399.75	0.16047
400.00	0.16307
400.25	0.16090
400.50	0.16271
400.75	0.16369
401.00	0.16389
401.25	0.16659
401.50	0.16807
401.75	0.16982
402.00	0.16974
402.25	0.17238
402.50	0.17296
402.75	0.17411
403.00	0.17592
403.25	0.17895
403.50	0.17778
403.75	0.17694
404.00	0.18018
404.25	0.18196
404.50	0.18357
404.75	0.18418
405.00	0.18446
405.25	0.18689
405.50	0.18854
405.75	0.18951
406.00	0.19147
406.25	0.19334
406.50	0.19254
406.75	0.19614
407.00	0.19908
407.25	0.19794
407.50	0.19991
407.75	0.19970
408.00	0.20162
408.25	0.20386
408.50	0.20528
408.75	0.20674
409.00	0.20517
409.25	0.21002
409.50	0.21192
409.75	0.21183
410.00	0.21525
410.25	0.21387
410.50	0.21505
410.75	0.21681
411.00	0.22023
411.25	0.22201
411.50	0.22191
411.75	0.22181
412.00	0.22265
412.25	0.22543
412.50	0.23021
412.75	0.23043
413.00	0.23093
413.25	0.23275
413.50	0.23208
413.75	0.23550
414.00	0.23402
414.25	0.23663
414.50	0.23956
414.75	0.23949
415.00	0.24224
415.25	0.24252
415.50	0.24345
415.75	0.24581
416.00	0.24568
416.25	0.25141
416.50	0.24944
416.75	0.25192
417.00	0.25360
417.25	0.25402
417.50	0.25660
417.75	0.25972
418.00	0.25946
418.25	0.26253
418.50	0.26320
418.75	0.26534
419.00	0.26782
419.25	0.26956
419.50	0.27216
419.75	0.27325
420.00	0.27307
420.25	0.27840
420.50	0.27883
420.75	0.28147
421.00	0.28370
421.25	0.28506
421.50	0.28830
421.75	0.29003
422.00	0.29158
422.25	0.29373
422.50	0.29928
422.75	0.29913
423.00	0.30110
423.25	0.30563
423.50	0.30951
423.75	0.31088
424.00	0.31392
424.25	0.31632
424.50	0.31960
424.75	0.32072
425.00	0.32259
425.25	0.32741
425.50	0.33018
425.75	0.33092
426.00	0.33495
426.25	0.33774
426.50	0.34075
426.75	0.34356
427.00	0.34607
427.25	0.35014
427.50	0.35157
427.75	0.35626
428.00	0.36116
428.25	0.36340
428.50	0.36354
428.75	0.36773
429.00	0.37181
429.25	0.37475
429.50	0.37746
429.75	0.38430
430.00	0.38640
430.25	0.38952
430.50	0.39081
430.75	0.39422
431.00	0.40055
431.25	0.40197
431.50	0.40410
431.75	0.41127
432.00	0.41313
432.25	0.41526
432.50	0.42081
432.75	0.42275
433.00	0.42573
433.25	0.42941
433.50	0.43261
433.75	0.43644
434.00	0.44130
434.25	0.44311
434.50	0.44737
434.75	0.45205
435.00	0.45462
435.25	0.46004
435.50	0.46124
435.75	0.46654
436.00	0.47201
436.25	0.47465
436.50	0.47800
436.75	0.47914
437.00	0.48421
437.25	0.48876
437.50	0.48954
437.75	0.49408
438.00	0.49836
438.25	0.50060
438.50	0.50475
438.75	0.50269
439.00	0.50989
439.25	0.51273
439.50	0.51636
439.75	0.51977
440.00	0.52435
440.25	0.52411
440.50	0.52739
440.75	0.53230
441.00	0.53394
441.25	0.53637
441.50	0.54255
441.75	0.54277
442.00	0.54847
442.25	0.54919
442.50	0.55206
442.75	0.55409
443.00	0.55809
443.25	0.56054
443.50	0.56321
443.75	0.56783
444.00	0.57280
444.25	0.57508
444.50	0.57545
444.75	0.58201
445.00	0.57900
445.25	0.58693
445.50	0.59008
445.75	0.59107
446.00	0.59302
446.25	0.59934
446.50	0.60312
446.75	0.60569
447.00	0.60933
447.25	0.61395
447.50	0.61644
447.75	0.61944
448.00	0.62211
448.25	0.62402
448.50	0.62771
448.75	0.63430
449.00	0.63694
449.25	0.64059
449.50	0.64263
449.75	0.64654
450.00	0.65114
450.25	0.65604
450.50	0.65940
450.75	0.66330
451.00	0.66409
451.25	0.66878
451.50	0.67401
451.75	0.67698
452.00	0.68018
452.25	0.68617
452.50	0.68762
452.75	0.69361
453.00	0.69397
453.25	0.69932
453.50	0.70294
453.75	0.70761
454.00	0.70908
454.25	0.71127
454.50	0.71560
454.75	0.71475
455.00	0.72152
455.25	0.72402
455.50	0.72711
455.75	0.73379
456.00	0.73177
456.25	0.73729
456.50	0.73688
456.75	0.74176
457.00	0.74587
457.25	0.74949
457.50	0.75130
457.75	0.75195
458.00	0.75538
458.25	0.75762
458.50	0.75913
458.75	0.75894
459.00	0.76375
459.25	0.76347
459.50	0.76427
459.75	0.76606
460.00	0.76691
460.25	0.76703
460.50	0.76944
460.75	0.77128
461.00	0.76631
461.25	0.76709
461.50	0.76652
461.75	0.76499
462.00	0.76627
462.25	0.76275
462.50	0.76349
462.75	0.75932
463.00	0.75758
463.25	0.75429
463.50	0.75252
463.75	0.74843
464.00	0.74726
464.25	0.74164
464.50	0.73754
464.75	0.73558
465.00	0.72797
465.25	0.72716
465.50	0.72079
465.75	0.71249
466.00	0.71198
466.25	0.70490
466.50	0.69889
466.75	0.69194
467.00	0.68689
467.25	0.68030
467.50	0.67099
467.75	0.66378
468.00	0.65693
468.25	0.64903
468.50	0.64128
468.75	0.63070
469.00	0.62267
469.25	0.61407
469.50	0.60559
469.75	0.59753
470.00	0.58965
470.25	0.57983
470.50	0.57101
470.75	0.56077
471.00	0.54935
471.25	0.54151
471.50	0.53051
471.75	0.52054
472.00	0.51090
472.25	0.50058
472.50	0.49116
472.75	0.47957
473.00	0.47064
473.25	0.45790
473.50	0.44941
473.75	0.43967
474.00	0.43037
474.25	0.41775
474.50	0.41150
474.75	0.40118
475.00	0.38991
475.25	0.37780
475.50	0.36488
475.75	0.35301
476.00	0.34203
476.25	0.33150
476.50	0.32300
476.75	0.31223
477.00	0.30504
477.25	0.29608
477.50	0.28596
477.75	0.27896
478.00	0.26984
478.25	0.26412
478.50	0.25301
478.75	0.24724
479.00	0.23759
479.25	0.23127
479.50	0.22517
479.75	0.21661
480.00	0.20992
480.25	0.20444
480.50	0.19705
480.75	0.19019
481.00	0.18368
481.25	0.17821
481.50	0.17167
481.75	0.16622
482.00	0.15917
482.25	0.15404
482.50	0.14925
482.75	0.14471
483.00	0.13911
483.25	0.13329
483.50	0.12994
483.75	0.12571
484.00	0.12059
484.25	0.11598
484.50	0.11152
484.75	0.10818
485.00	0.10360
485.25	0.10095
485.50	0.095026
485.75	0.094573
486.00	0.088971
486.25	0.085092
486.50	0.080854
486.75	0.078671
487.00	0.077622
487.25	0.072386
487.50	0.070770
487.75	0.066468
488.00	0.064284
488.25	0.062582
488.50	0.060039
488.75	0.057518
489.00	0.053676
489.25	0.053158
489.50	0.051320
489.75	0.047312
490.00	0.046242
490.25	0.045473
490.50	0.044317
490.75	0.041199
491.00	0.039224
491.25	0.037745
491.50	0.037421
491.75	0.034390
492.00	0.032839
492.25	0.032056
492.50	0.029398
492.75	0.029571
493.00	0.028106
493.25	0.026784
493.50	0.025477
493.75	0.023257
494.00	0.023861
494.25	0.023976
494.50	0.021677
494.75	0.021878
495.00	0.022496
495.25	0.019932
495.50	0.019048
495.75	0.019501
496.00	0.017231
496.25	0.017849
496.50	0.017626
496.75	0.018050
497.00	0.015098
497.25	0.014753
497.50	0.013884
497.75	0.012024
498.00	0.012002
498.25	0.012239
498.50	0.010436
498.75	0.010831
499.00	0.011593
499.25	0.010422
499.50	0.011011
499.75	0.0093375
500.00	0.0086695
500.25	0.0079297
500.50	0.0075275
500.75	0.0086911
501.00	0.0066943
501.25	0.0096751
501.50	0.0077214
501.75	0.0054086
502.00	0.0053943
502.25	0.0059832
