Wavelength (nm)	H07 ems
430.00	0.00037194
430.50	0.00037995
431.00	0.00038619
431.50	0.00039338
432.00	0.00041422
432.50	0.00041899
433.00	0.00043401
433.50	0.00047838
434.00	0.00047252
434.50	0.00050720
435.00	0.00051094
435.50	0.00051787
436.00	0.00052321
436.50	0.00055721
437.00	0.00054509
437.50	0.00057398
438.00	0.00059630
438.50	0.00063962
439.00	0.00063263
439.50	0.00067484
440.00	0.00068483
440.50	0.00069413
441.00	0.00073426
441.50	0.00077011
442.00	0.00081340
442.50	0.00083906
443.00	0.00088085
443.50	0.00097118
444.00	0.00098861
444.50	0.0010964
445.00	0.0011398
445.50	0.0012526
446.00	0.0013403
446.50	0.0014440
447.00	0.0015389
447.50	0.0017284
448.00	0.0017930
448.50	0.0019011
449.00	0.0020138
449.50	0.0023015
450.00	0.0023863
450.50	0.0026404
451.00	0.0028909
451.50	0.0032227
452.00	0.0034751
452.50	0.0038965
453.00	0.0042389
453.50	0.0049001
454.00	0.0051958
454.50	0.0058852
455.00	0.0064099
455.50	0.0074088
456.00	0.0079093
456.50	0.0090043
457.00	0.0098887
457.50	0.011168
458.00	0.012060
458.50	0.013615
459.00	0.014941
459.50	0.016967
460.00	0.018158
460.50	0.020189
461.00	0.022139
461.50	0.024793
462.00	0.026463
462.50	0.029532
463.00	0.032111
463.50	0.035980
464.00	0.038334
464.50	0.042522
465.00	0.046058
465.50	0.051470
466.00	0.054549
466.50	0.060618
467.00	0.064983
467.50	0.072766
468.00	0.076561
468.50	0.084471
469.00	0.090081
469.50	0.10011
470.00	0.10552
470.50	0.11640
471.00	0.12333
471.50	0.13626
472.00	0.14341
472.50	0.15639
473.00	0.16585
473.50	0.18249
474.00	0.19117
474.50	0.20851
475.00	0.22089
475.50	0.24182
476.00	0.25318
476.50	0.27236
477.00	0.28799
477.50	0.31136
478.00	0.32289
478.50	0.34768
479.00	0.36504
479.50	0.39221
480.00	0.40532
480.50	0.43041
481.00	0.44953
481.50	0.47856
482.00	0.49552
482.50	0.52060
483.00	0.54169
483.50	0.57032
484.00	0.58452
484.50	0.60895
485.00	0.62913
485.50	0.65526
486.00	0.67024
486.50	0.69278
487.00	0.71120
487.50	0.73491
488.00	0.74858
488.50	0.76940
489.00	0.78467
489.50	0.80791
490.00	0.81804
490.50	0.83792
491.00	0.85117
491.50	0.86713
492.00	0.88087
492.50	0.89567
493.00	0.90543
493.50	0.92157
494.00	0.92852
494.50	0.94020
495.00	0.94942
495.50	0.96115
496.00	0.96539
496.50	0.97423
497.00	0.97955
497.50	0.98488
498.00	0.98842
498.50	0.99193
499.00	0.99523
499.50	0.99769
500.00	1.0000
500.50	0.99963
501.00	0.99828
501.50	0.99759
502.00	0.99941
502.50	0.99587
503.00	0.99276
503.50	0.98867
504.00	0.98796
504.50	0.98062
505.00	0.97773
505.50	0.97072
506.00	0.96955
506.50	0.96093
507.00	0.95515
507.50	0.94766
508.00	0.94480
508.50	0.93885
509.00	0.93162
509.50	0.92371
510.00	0.92012
510.50	0.91396
511.00	0.90859
511.50	0.89889
512.00	0.89489
512.50	0.88779
513.00	0.88462
513.50	0.87403
514.00	0.87127
514.50	0.86354
515.00	0.85947
515.50	0.85033
516.00	0.84743
516.50	0.84040
517.00	0.83513
517.50	0.82791
518.00	0.82529
518.50	0.81751
519.00	0.81363
519.50	0.80653
520.00	0.80252
520.50	0.79635
521.00	0.79265
521.50	0.78569
522.00	0.78196
522.50	0.77597
523.00	0.77281
523.50	0.76444
524.00	0.75937
524.50	0.75480
525.00	0.74873
525.50	0.74181
526.00	0.73909
526.50	0.73275
527.00	0.72720
527.50	0.71980
528.00	0.71607
528.50	0.70893
529.00	0.70365
529.50	0.69695
530.00	0.69332
530.50	0.68534
531.00	0.67993
531.50	0.67212
532.00	0.66913
532.50	0.66179
533.00	0.65555
533.50	0.64791
534.00	0.64390
534.50	0.63732
535.00	0.63167
535.50	0.62424
536.00	0.61881
536.50	0.61195
537.00	0.60665
537.50	0.59883
538.00	0.59424
538.50	0.58628
539.00	0.58115
539.50	0.57249
540.00	0.56731
540.50	0.55890
541.00	0.55416
541.50	0.54485
542.00	0.54049
542.50	0.53192
543.00	0.52710
543.50	0.51677
544.00	0.51251
544.50	0.50477
545.00	0.49860
545.50	0.48926
546.00	0.48490
546.50	0.47773
547.00	0.47117
547.50	0.46268
548.00	0.45938
548.50	0.44973
549.00	0.44508
549.50	0.43576
550.00	0.43155
550.50	0.42426
551.00	0.41742
551.50	0.40956
552.00	0.40548
552.50	0.39781
553.00	0.39226
553.50	0.38396
554.00	0.38082
554.50	0.37287
555.00	0.36695
555.50	0.36130
556.00	0.35719
556.50	0.35088
557.00	0.34582
557.50	0.33944
558.00	0.33556
558.50	0.33039
559.00	0.32607
559.50	0.32000
560.00	0.31666
560.50	0.31170
561.00	0.30740
561.50	0.30117
562.00	0.29785
562.50	0.29318
563.00	0.28976
563.50	0.28394
564.00	0.28085
564.50	0.27542
565.00	0.27248
565.50	0.26686
566.00	0.26479
566.50	0.26073
567.00	0.25764
567.50	0.25212
568.00	0.25035
568.50	0.24558
569.00	0.24254
569.50	0.23763
570.00	0.23593
570.50	0.23186
571.00	0.22908
571.50	0.22493
572.00	0.22298
572.50	0.21856
573.00	0.21628
573.50	0.21239
574.00	0.20974
574.50	0.20681
575.00	0.20278
575.50	0.19858
576.00	0.19734
576.50	0.19383
577.00	0.19065
577.50	0.18737
578.00	0.18532
578.50	0.18172
579.00	0.17920
579.50	0.17562
580.00	0.17423
580.50	0.17145
581.00	0.16871
581.50	0.16592
582.00	0.16442
582.50	0.16115
583.00	0.15927
583.50	0.15582
584.00	0.15431
584.50	0.15219
585.00	0.14993
585.50	0.14732
586.00	0.14535
586.50	0.14257
587.00	0.14074
587.50	0.13721
588.00	0.13606
588.50	0.13430
589.00	0.13205
589.50	0.12906
590.00	0.12769
590.50	0.12560
591.00	0.12376
591.50	0.12084
592.00	0.11991
592.50	0.11725
593.00	0.11624
593.50	0.11338
594.00	0.11251
594.50	0.11001
595.00	0.10851
595.50	0.10637
596.00	0.10491
596.50	0.10310
597.00	0.10173
597.50	0.099369
598.00	0.098391
