Wavelength (nm)	T04 abs N
300.00	0.22317
301.00	0.21941
302.00	0.21650
303.00	0.21450
304.00	0.21299
305.00	0.21239
306.00	0.21209
307.00	0.21258
308.00	0.21331
309.00	0.21368
310.00	0.21551
311.00	0.21744
312.00	0.21963
313.00	0.22227
314.00	0.22544
315.00	0.22877
316.00	0.23247
317.00	0.23630
318.00	0.23955
319.00	0.24286
320.00	0.24566
321.00	0.24813
322.00	0.24965
323.00	0.25051
324.00	0.25060
325.00	0.25008
326.00	0.24902
327.00	0.24769
328.00	0.24628
329.00	0.24498
330.00	0.24390
331.00	0.24306
332.00	0.24281
333.00	0.24283
334.00	0.24330
335.00	0.24440
336.00	0.24563
337.00	0.24714
338.00	0.24889
339.00	0.25124
340.00	0.25390
341.00	0.25694
342.00	0.25996
343.00	0.26390
344.00	0.26796
345.00	0.27271
346.00	0.27789
347.00	0.28365
348.00	0.29008
349.00	0.29683
350.00	0.30421
351.00	0.31213
352.00	0.32042
353.00	0.32913
354.00	0.33807
355.00	0.34779
356.00	0.35758
357.00	0.36730
358.00	0.37701
359.00	0.38852
360.00	0.40047
361.00	0.41277
362.00	0.42583
363.00	0.43770
364.00	0.44850
365.00	0.45810
366.00	0.46885
367.00	0.48132
368.00	0.49644
369.00	0.51108
370.00	0.52435
371.00	0.53602
372.00	0.54578
373.00	0.55575
374.00	0.56607
375.00	0.57548
376.00	0.58467
377.00	0.59373
378.00	0.60242
379.00	0.61139
380.00	0.61812
381.00	0.62590
382.00	0.63385
383.00	0.64309
384.00	0.65260
385.00	0.66278
386.00	0.67513
387.00	0.69017
388.00	0.70492
389.00	0.71999
390.00	0.73528
391.00	0.75377
392.00	0.77196
393.00	0.78827
394.00	0.80249
395.00	0.81624
396.00	0.82971
397.00	0.84233
398.00	0.85169
399.00	0.85824
400.00	0.86238
401.00	0.86811
402.00	0.87238
403.00	0.87698
404.00	0.88351
405.00	0.89178
406.00	0.90020
407.00	0.90980
408.00	0.92324
409.00	0.93700
410.00	0.94875
411.00	0.96171
412.00	0.97029
413.00	0.97300
414.00	0.97029
415.00	0.96091
416.00	0.94331
417.00	0.92106
418.00	0.88909
419.00	0.85304
420.00	0.81029
421.00	0.76424
422.00	0.71599
423.00	0.66940
424.00	0.61792
425.00	0.56611
426.00	0.51736
427.00	0.46720
428.00	0.42227
429.00	0.37868
430.00	0.33899
431.00	0.30617
432.00	0.27485
433.00	0.24368
434.00	0.21782
435.00	0.19583
436.00	0.17532
437.00	0.15799
438.00	0.14236
439.00	0.12911
440.00	0.11772
441.00	0.10728
442.00	0.098660
443.00	0.091213
444.00	0.084628
445.00	0.079140
446.00	0.073967
447.00	0.069414
448.00	0.065598
449.00	0.061844
450.00	0.058875
451.00	0.055907
452.00	0.053359
453.00	0.051136
454.00	0.049085
455.00	0.047336
456.00	0.045905
457.00	0.044671
458.00	0.043721
459.00	0.042757
460.00	0.042102
461.00	0.041757
462.00	0.041475
463.00	0.041884
464.00	0.042645
465.00	0.043100
466.00	0.043346
467.00	0.043399
468.00	0.044029
469.00	0.044396
470.00	0.044457
471.00	0.044595
472.00	0.044919
473.00	0.045212
474.00	0.045099
475.00	0.045214
476.00	0.045334
477.00	0.044830
478.00	0.044662
479.00	0.044400
480.00	0.044214
481.00	0.043807
482.00	0.043110
483.00	0.042720
484.00	0.042375
485.00	0.043023
486.00	0.043597
487.00	0.041628
488.00	0.041760
489.00	0.043396
490.00	0.045114
491.00	0.046865
492.00	0.049482
493.00	0.052531
494.00	0.056069
495.00	0.059240
496.00	0.064225
497.00	0.068146
498.00	0.072382
499.00	0.077070
500.00	0.080892
501.00	0.084503
502.00	0.087890
503.00	0.090699
504.00	0.093296
505.00	0.095908
506.00	0.097887
507.00	0.099329
508.00	0.10085
509.00	0.10075
510.00	0.10056
511.00	0.098888
512.00	0.096387
513.00	0.092854
514.00	0.088781
515.00	0.084321
516.00	0.079666
517.00	0.075207
518.00	0.071002
519.00	0.067289
520.00	0.064169
521.00	0.060673
522.00	0.058031
523.00	0.055963
524.00	0.054376
525.00	0.053183
526.00	0.052602
527.00	0.052761
528.00	0.053733
529.00	0.055131
530.00	0.057205
531.00	0.060273
532.00	0.064211
533.00	0.069121
534.00	0.073776
535.00	0.078178
536.00	0.082341
537.00	0.085793
538.00	0.088277
539.00	0.088977
540.00	0.087852
541.00	0.085179
542.00	0.081418
543.00	0.077122
544.00	0.071948
545.00	0.066168
546.00	0.061563
547.00	0.057160
548.00	0.053424
549.00	0.050292
550.00	0.047720
551.00	0.045692
552.00	0.044645
553.00	0.043481
554.00	0.042735
555.00	0.042286
556.00	0.042009
557.00	0.041729
558.00	0.041582
559.00	0.041124
560.00	0.041119
561.00	0.040335
562.00	0.039927
563.00	0.039476
564.00	0.038730
565.00	0.037744
566.00	0.036713
567.00	0.036129
568.00	0.035048
569.00	0.033792
570.00	0.032879
571.00	0.031701
572.00	0.030656
573.00	0.029636
574.00	0.028948
575.00	0.028121
576.00	0.027431
577.00	0.026785
578.00	0.025990
579.00	0.025271
580.00	0.024940
581.00	0.025276
582.00	0.024530
583.00	0.023838
584.00	0.024429
585.00	0.024795
586.00	0.024202
587.00	0.024668
588.00	0.025281
589.00	0.025595
590.00	0.026589
591.00	0.028083
592.00	0.029639
593.00	0.031497
594.00	0.032641
595.00	0.035138
596.00	0.037551
597.00	0.040830
598.00	0.044653
599.00	0.047840
600.00	0.051094
601.00	0.054941
602.00	0.058479
603.00	0.062222
604.00	0.065463
605.00	0.068651
606.00	0.071537
607.00	0.073663
608.00	0.075450
609.00	0.076775
610.00	0.077817
611.00	0.078139
612.00	0.077936
613.00	0.077752
614.00	0.076605
615.00	0.075427
616.00	0.073665
617.00	0.071751
618.00	0.069944
619.00	0.067843
620.00	0.065627
621.00	0.063170
622.00	0.061473
623.00	0.059420
624.00	0.057773
625.00	0.056199
626.00	0.054635
627.00	0.053530
628.00	0.052185
629.00	0.051560
630.00	0.050734
631.00	0.050211
632.00	0.049973
633.00	0.050170
634.00	0.050359
635.00	0.050692
636.00	0.051131
637.00	0.051595
638.00	0.052173
639.00	0.052759
640.00	0.053616
641.00	0.055431
642.00	0.056981
643.00	0.059196
644.00	0.061541
645.00	0.065193
646.00	0.069046
647.00	0.074313
648.00	0.080396
649.00	0.087759
650.00	0.096268
651.00	0.10639
652.00	0.11813
653.00	0.13165
654.00	0.14574
655.00	0.17268
656.00	0.19352
657.00	0.19202
658.00	0.22274
659.00	0.25312
660.00	0.27843
661.00	0.30464
662.00	0.32980
663.00	0.35328
664.00	0.37434
665.00	0.39199
666.00	0.40499
667.00	0.41288
668.00	0.41618
669.00	0.41391
670.00	0.40563
671.00	0.39311
672.00	0.37628
673.00	0.35609
674.00	0.33316
675.00	0.30817
676.00	0.28281
677.00	0.25745
678.00	0.23214
679.00	0.20871
680.00	0.18669
681.00	0.16631
682.00	0.14803
683.00	0.13159
684.00	0.11734
685.00	0.10479
686.00	0.094247
687.00	0.084615
688.00	0.076675
689.00	0.069661
690.00	0.063713
691.00	0.058507
692.00	0.054004
693.00	0.050011
694.00	0.046485
695.00	0.043423
696.00	0.040593
697.00	0.038414
698.00	0.036158
699.00	0.033834
700.00	0.031999
701.00	0.030173
702.00	0.028561
703.00	0.026869
704.00	0.025268
705.00	0.023822
706.00	0.022280
707.00	0.021042
708.00	0.019372
709.00	0.018059
710.00	0.016685
711.00	0.015424
712.00	0.014090
713.00	0.013123
714.00	0.012068
715.00	0.010969
716.00	0.0099840
717.00	0.0090857
718.00	0.0084181
719.00	0.0077286
720.00	0.0068922
721.00	0.0063066
722.00	0.0058393
723.00	0.0053129
724.00	0.0048456
725.00	0.0044546
726.00	0.0040922
727.00	0.0036936
728.00	0.0033407
729.00	0.0031366
730.00	0.0029182
731.00	0.0025883
732.00	0.0023041
733.00	0.0023260
734.00	0.0021400
735.00	0.0018940
736.00	0.0017357
737.00	0.0015287
738.00	0.0012951
739.00	0.0013838
740.00	0.0011673
741.00	0.00095367
742.00	0.00085258
743.00	0.00080395
744.00	0.00073051
745.00	0.00062275
746.00	0.00046349
747.00	0.00043297
748.00	0.00043488
749.00	0.00029469
750.00	0.00024986
751.00	0.00022602
752.00	0.00010014
753.00	8.7738e-05
754.00	-4.0054e-05
755.00	-0.00013733
756.00	-0.00016594
757.00	-0.00012302
