Wavelength (nm)	N-8, 11121-48-5, Rose Bengal.ems
710.50	0.017015
711.00	0.016381
711.50	0.015506
712.00	0.016016
712.50	0.015022
713.00	0.015984
713.50	0.015115
714.00	0.015194
714.50	0.014565
715.00	0.013253
715.50	0.013743
716.00	0.013498
716.50	0.013906
717.00	0.013726
717.50	0.013065
718.00	0.013055
718.50	0.012914
719.00	0.012234
719.50	0.011809
720.00	0.011951
720.50	0.011302
721.00	0.010799
721.50	0.011290
722.00	0.010914
722.50	0.010956
723.00	0.010315
723.50	0.0098901
724.00	0.010387
724.50	0.010694
725.00	0.0093527
725.50	0.0096837
726.00	0.0093639
726.50	0.0096084
727.00	0.0084942
727.50	0.0095498
728.00	0.0086232
728.50	0.0092103
729.00	0.0086485
729.50	0.0080550
730.00	0.0075582
730.50	0.0084016
731.00	0.0084124
731.50	0.0085542
732.00	0.0085887
732.50	0.0080772
733.00	0.0077533
733.50	0.0078668
734.00	0.0073254
734.50	0.0069879
735.00	0.0068207
735.50	0.0075072
736.00	0.0067799
736.50	0.0067839
737.00	0.0067745
737.50	0.0064154
738.00	0.0063115
738.50	0.0061536
739.00	0.0065200
739.50	0.0059498
740.00	0.0059853
740.50	0.0065183
741.00	0.0062073
741.50	0.0061500
742.00	0.0054634
742.50	0.0057984
743.00	0.0057639
743.50	0.0064236
744.00	0.0053149
744.50	0.0053601
745.00	0.0053489
745.50	0.0051243
746.00	0.0061133
746.50	0.0059761
747.00	0.0059093
747.50	0.0051132
748.00	0.0047617
748.50	0.0054369
749.00	0.0052751
749.50	0.0046046
750.00	0.0050498
