Wavelength (nm)	K18 abs N	K18 abs e
466.00	0.99587	41827
467.00	0.99865	41943
468.00	1.0000	42000
469.00	0.99752	41896
470.00	0.99512	41795
471.00	0.99565	41817
472.00	0.99422	41757
473.00	0.99024	41590
474.00	0.98596	41410
475.00	0.97898	41117
476.00	0.97786	41070
477.00	0.97688	41029
478.00	0.96960	40723
479.00	0.96412	40493
480.00	0.95707	40197
481.00	0.94941	39875
482.00	0.94543	39708
483.00	0.93545	39289
484.00	0.92862	39002
485.00	0.91924	38608
486.00	0.90783	38129
487.00	0.90453	37990
488.00	0.89649	37653
489.00	0.87758	36858
490.00	0.86662	36398
491.00	0.85341	35843
492.00	0.84065	35307
493.00	0.82782	34768
494.00	0.81521	34239
495.00	0.79892	33555
496.00	0.78533	32984
497.00	0.77040	32357
498.00	0.75621	31761
499.00	0.73739	30970
500.00	0.72115	30288
501.00	0.70478	29601
502.00	0.68723	28864
503.00	0.67086	28176
504.00	0.65271	27414
505.00	0.63444	26646
506.00	0.61699	25914
507.00	0.59854	25139
508.00	0.58050	24381
509.00	0.56189	23600
510.00	0.54370	22835
511.00	0.52611	22097
512.00	0.50784	21329
513.00	0.49016	20587
514.00	0.47217	19831
515.00	0.45430	19081
516.00	0.43627	18323
517.00	0.41949	17618
518.00	0.40311	16931
519.00	0.38605	16214
520.00	0.36984	15533
521.00	0.35376	14858
522.00	0.33832	14209
523.00	0.32318	13573
524.00	0.30787	12931
525.00	0.29358	12330
526.00	0.27908	11721
527.00	0.26556	11153
528.00	0.25250	10605
529.00	0.23992	10076
530.00	0.22753	9556.3
531.00	0.21518	9037.7
532.00	0.20384	8561.4
533.00	0.19282	8098.3
534.00	0.18219	7651.9
535.00	0.17202	7224.8
536.00	0.16239	6820.3
537.00	0.15316	6432.6
538.00	0.14392	6044.8
539.00	0.13595	5709.7
540.00	0.12770	5363.6
541.00	0.11964	5025.0
542.00	0.11235	4718.9
543.00	0.10562	4436.1
544.00	0.099099	4162.2
545.00	0.092779	3896.7
546.00	0.086752	3643.6
547.00	0.081130	3407.5
548.00	0.075771	3182.4
549.00	0.071025	2983.0
550.00	0.066366	2787.4
551.00	0.061928	2601.0
552.00	0.057684	2422.7
553.00	0.053956	2266.2
554.00	0.050273	2111.5
555.00	0.046568	1955.9
556.00	0.043399	1822.7
557.00	0.040610	1705.6
558.00	0.037801	1587.6
559.00	0.035223	1479.3
560.00	0.032702	1373.5
561.00	0.030310	1273.0
562.00	0.028226	1185.5
563.00	0.026309	1105.0
564.00	0.024360	1023.1
565.00	0.022640	950.87
566.00	0.020960	880.32
567.00	0.019565	821.75
568.00	0.018060	758.51
569.00	0.016791	705.23
570.00	0.015633	656.59
571.00	0.014469	607.70
572.00	0.013338	560.19
573.00	0.012503	525.13
574.00	0.011650	489.29
575.00	0.010832	454.93
576.00	0.010009	420.38
577.00	0.0093462	392.54
578.00	0.0087022	365.49
579.00	0.0081093	340.59
580.00	0.0076927	323.09
581.00	0.0072844	305.94
582.00	0.0064558	271.14
583.00	0.0061413	257.93
584.00	0.0059240	248.81
585.00	0.0056026	235.31
586.00	0.0051824	217.66
587.00	0.0048831	205.09
588.00	0.0045890	192.74
589.00	0.0044329	186.18
590.00	0.0041624	174.82
591.00	0.0040514	170.16
592.00	0.0038001	159.61
593.00	0.0036713	154.20
594.00	0.0034909	146.62
595.00	0.0033370	140.15
596.00	0.0031723	133.24
597.00	0.0030378	127.59
598.00	0.0029669	124.61
599.00	0.0029333	123.20
600.00	0.0028030	117.72
601.00	0.0026477	111.20
602.00	0.0026348	110.66
603.00	0.0024880	104.50
604.00	0.0024615	103.38
605.00	0.0024422	102.57
606.00	0.0023778	99.869
607.00	0.0022318	93.735
608.00	0.0021609	90.759
609.00	0.0022268	93.524
610.00	0.0021731	91.270
611.00	0.0021852	91.780
612.00	0.0020178	84.747
613.00	0.0021437	90.037
614.00	0.0021115	88.685
615.00	0.0020751	87.152
616.00	0.0020063	84.265
617.00	0.0019698	82.733
618.00	0.0020113	84.476
619.00	0.0021237	89.195
620.00	0.0019770	83.032
621.00	0.0018288	76.809
622.00	0.0019175	80.535
623.00	0.0018624	78.222
624.00	0.0017708	74.372
625.00	0.0018753	78.764
626.00	0.0018954	79.605
627.00	0.0018202	76.447
628.00	0.0018481	77.619
629.00	0.0018495	77.679
630.00	0.0018804	78.975
631.00	0.0017193	72.210
632.00	0.0016298	68.452
633.00	0.0017272	72.541
634.00	0.0017393	73.052
635.00	0.0018073	75.908
636.00	0.0018324	76.961
637.00	0.0018073	75.908
638.00	0.0018818	79.035
639.00	0.0017537	73.654
640.00	0.0017458	73.323
641.00	0.0018016	75.668
642.00	0.0018431	77.411
643.00	0.0015746	66.135
644.00	0.0017300	72.661
645.00	0.0016827	70.675
646.00	0.0016456	69.114
647.00	0.0017808	74.795
648.00	0.0017672	74.224
649.00	0.0015718	66.015
650.00	0.0015983	67.128
651.00	0.0014959	62.828
652.00	0.0016412	68.931
653.00	0.0014959	62.828
654.00	0.0015081	63.339
655.00	0.0017179	72.150
656.00	0.0017343	72.840
657.00	0.00032628	13.704
658.00	0.00098769	41.483
659.00	0.0015303	64.272
660.00	0.0014816	62.229
661.00	0.0013105	55.042
662.00	0.0015224	63.941
663.00	0.0014837	62.317
664.00	0.0015446	64.874
665.00	0.0015482	65.025
666.00	0.0013678	57.447
667.00	0.0013843	58.141
668.00	0.0015912	66.829
669.00	0.0015933	66.917
670.00	0.0014287	60.004
671.00	0.0014344	60.243
672.00	0.0013513	56.757
673.00	0.0013764	57.810
674.00	0.0013356	56.095
675.00	0.0013785	57.898
676.00	0.0012826	53.869
677.00	0.0012955	54.411
678.00	0.0013177	55.344
679.00	0.0012232	51.375
680.00	0.0012311	51.706
681.00	0.0011395	47.857
682.00	0.0011230	47.167
683.00	0.0011130	46.744
684.00	0.0011330	47.586
685.00	0.0011244	47.227
686.00	0.0010536	44.251
687.00	0.0010399	43.677
688.00	0.0011137	46.776
689.00	0.00097628	41.004
690.00	0.0010543	44.279
691.00	0.00094618	39.740
692.00	0.00091323	38.356
693.00	0.00093042	39.078
694.00	0.00082662	34.718
695.00	0.00082737	34.749
696.00	0.00074007	31.083
697.00	0.00078226	32.855
698.00	0.00068423	28.738
699.00	0.00071215	29.910
700.00	0.00061480	25.822
