Wavelength (nm)	A24 ems
285.00	0.019826
286.00	0.020690
287.00	0.022047
288.00	0.030880
289.00	0.034386
290.00	0.057243
291.00	0.074879
292.00	0.11956
293.00	0.16888
294.00	0.22208
295.00	0.32930
296.00	0.45905
297.00	0.57368
298.00	0.64729
299.00	0.70396
300.00	0.79971
301.00	0.94285
302.00	0.99372
303.00	1.0000
304.00	0.96109
305.00	0.88862
306.00	0.84165
307.00	0.85414
308.00	0.85572
309.00	0.87635
310.00	0.88935
311.00	0.85643
312.00	0.87665
313.00	0.87407
314.00	0.82764
315.00	0.73854
316.00	0.67600
317.00	0.62641
318.00	0.58010
319.00	0.53830
320.00	0.53399
321.00	0.52025
322.00	0.50302
323.00	0.48484
324.00	0.46285
325.00	0.43615
326.00	0.40796
327.00	0.38141
328.00	0.34350
329.00	0.31922
330.00	0.30213
331.00	0.28312
332.00	0.27188
333.00	0.26813
334.00	0.26889
335.00	0.26882
336.00	0.24171
337.00	0.22808
338.00	0.20978
339.00	0.18653
340.00	0.17569
341.00	0.15438
342.00	0.14633
343.00	0.12952
344.00	0.12080
345.00	0.11201
346.00	0.11020
347.00	0.10348
348.00	0.10312
349.00	0.10106
350.00	0.090550
351.00	0.088403
352.00	0.081202
353.00	0.076733
354.00	0.074252
355.00	0.068362
356.00	0.063434
357.00	0.060146
358.00	0.055855
359.00	0.052588
360.00	0.050170
361.00	0.048001
362.00	0.047268
363.00	0.044624
364.00	0.043182
365.00	0.040106
366.00	0.039010
367.00	0.031676
368.00	0.030771
369.00	0.033001
370.00	0.025672
371.00	0.024556
372.00	0.021052
373.00	0.021496
374.00	0.019998
375.00	0.016382
376.00	0.017497
377.00	0.017206
378.00	0.015919
379.00	0.014604
380.00	0.015316
381.00	0.013348
382.00	0.012475
383.00	0.012244
384.00	0.011203
385.00	0.010386
386.00	0.0084345
387.00	0.0086720
388.00	0.0068402
389.00	0.0072752
390.00	0.0064879
391.00	0.0058233
392.00	0.0055280
393.00	0.0046807
394.00	0.0050380
395.00	0.0032708
396.00	0.0032907
397.00	0.0024836
398.00	0.0027861
399.00	0.0022478
400.00	0.0016208
