Wavelength (nm)	Q-29, PdTBP(CO2Me)Ph.ems
867.00	0.25713
868.00	0.25106
869.00	0.23988
870.00	0.23773
871.00	0.22848
872.00	0.21790
873.00	0.21767
874.00	0.20881
875.00	0.20222
876.00	0.20788
877.00	0.19641
878.00	0.19247
879.00	0.19164
880.00	0.18557
881.00	0.18114
882.00	0.17762
883.00	0.17604
884.00	0.17170
885.00	0.16885
886.00	0.16206
887.00	0.16571
888.00	0.15868
889.00	0.15036
890.00	0.15379
891.00	0.15689
892.00	0.15082
893.00	0.14974
894.00	0.14673
895.00	0.14606
896.00	0.14675
897.00	0.14684
898.00	0.12958
899.00	0.13859
900.00	0.13649
901.00	0.13755
902.00	0.13274
903.00	0.14048
904.00	0.13137
905.00	0.13325
906.00	0.13315
907.00	0.13991
908.00	0.13077
909.00	0.13068
910.00	0.12439
911.00	0.12261
912.00	0.12072
913.00	0.12583
914.00	0.12110
915.00	0.11703
916.00	0.11703
917.00	0.11676
918.00	0.10970
919.00	0.11195
920.00	0.10893
921.00	0.11110
922.00	0.10783
923.00	0.10774
924.00	0.10628
925.00	0.10999
926.00	0.10318
927.00	0.10453
928.00	0.10228
929.00	0.097746
930.00	0.093742
931.00	0.090853
932.00	0.094313
933.00	0.087010
934.00	0.096367
935.00	0.092407
936.00	0.091979
937.00	0.086745
938.00	0.086741
939.00	0.084125
940.00	0.080197
941.00	0.081247
942.00	0.077073
943.00	0.073087
944.00	0.069158
945.00	0.079485
946.00	0.068309
947.00	0.068351
948.00	0.068426
949.00	0.064238
950.00	0.057979
951.00	0.061258
952.00	0.055725
953.00	0.055985
954.00	0.050074
955.00	0.051318
956.00	0.047391
957.00	0.046463
958.00	0.044097
959.00	0.046835
960.00	0.048971
961.00	0.045260
962.00	0.043689
963.00	0.042093
964.00	0.038269
965.00	0.029182
966.00	0.032937
967.00	0.025915
968.00	0.031346
969.00	0.030630
970.00	0.027416
971.00	0.031024
972.00	0.027092
973.00	0.027074
974.00	0.028633
975.00	0.014495
976.00	0.019694
977.00	0.0099679
978.00	0.018521
979.00	0.019721
980.00	0.0068066
981.00	0.024439
982.00	0.016835
983.00	0.013335
984.00	0.0085601
985.00	0.016173
986.00	0.012404
987.00	0.014235
988.00	0.010401
989.00	0.017589
990.00	0.018370
991.00	0.024548
992.00	0.0053811
993.00	0.018493
994.00	0.021582
995.00	0.0059188
996.00	0.026844
997.00	0.019302
998.00	0.017908
999.00	0.0058946
1000.0	0.0034509
