Wavelength (nm)	O06 abs N
308.25	0.48393
308.50	0.49088
308.75	0.49465
309.00	0.50230
309.25	0.50780
309.50	0.51378
309.75	0.51753
310.00	0.49832
310.25	0.51349
310.50	0.51304
310.75	0.52212
311.00	0.52878
311.25	0.53138
311.50	0.53949
311.75	0.55414
312.00	0.56070
312.25	0.55769
312.50	0.56520
312.75	0.56312
313.00	0.57866
313.25	0.58350
313.50	0.58952
313.75	0.59493
314.00	0.59567
314.25	0.60872
314.50	0.61364
314.75	0.61697
315.00	0.62580
315.25	0.63462
315.50	0.63494
315.75	0.65066
316.00	0.65238
316.25	0.65821
316.50	0.67843
316.75	0.67260
317.00	0.68301
317.25	0.68427
317.50	0.68666
317.75	0.70547
318.00	0.70163
318.25	0.71631
318.50	0.71657
318.75	0.72061
319.00	0.72473
319.25	0.73035
319.50	0.72983
319.75	0.73975
320.00	0.74984
320.25	0.74114
320.50	0.75863
320.75	0.75498
321.00	0.77107
321.25	0.77448
321.50	0.77495
321.75	0.78252
322.00	0.78638
322.25	0.79214
322.50	0.78815
322.75	0.79792
323.00	0.80544
323.25	0.80908
323.50	0.81490
323.75	0.80976
324.00	0.82834
324.25	0.82759
324.50	0.83523
324.75	0.83323
325.00	0.84844
325.25	0.84242
325.50	0.85308
325.75	0.85460
326.00	0.85985
326.25	0.86316
326.50	0.86982
326.75	0.87225
327.00	0.87396
327.25	0.87257
327.50	0.88102
327.75	0.88879
328.00	0.89601
328.25	0.89481
328.50	0.89865
328.75	0.90424
329.00	0.91182
329.25	0.90068
329.50	0.91232
329.75	0.91908
330.00	0.91892
330.25	0.92210
330.50	0.92721
330.75	0.91778
331.00	0.92677
331.25	0.93022
331.50	0.92981
331.75	0.93615
332.00	0.92653
332.25	0.94010
332.50	0.94636
332.75	0.94826
333.00	0.94829
333.25	0.95974
333.50	0.94445
333.75	0.95097
334.00	0.95489
334.25	0.96540
334.50	0.96308
334.75	0.96615
335.00	0.96526
335.25	0.96999
335.50	0.96099
335.75	0.96568
336.00	0.96671
336.25	0.97516
336.50	0.98512
336.75	0.97317
337.00	0.97555
337.25	0.97473
337.50	0.98460
337.75	0.98275
338.00	0.98197
338.25	0.98802
338.50	0.99199
338.75	0.98724
339.00	0.98876
339.25	0.99463
339.50	0.98595
339.75	0.99169
340.00	0.98359
340.25	0.99416
340.50	0.99949
340.75	0.98989
341.00	0.99123
341.25	0.99870
341.50	0.99717
341.75	0.99360
342.00	0.99690
342.25	0.99511
342.50	0.99227
342.75	0.99991
343.00	0.99451
343.25	0.99621
343.50	0.99407
343.75	0.99853
344.00	1.00000
344.25	0.99928
344.50	0.98892
344.75	0.99511
345.00	0.98991
345.25	0.99095
345.50	0.99236
345.75	0.99005
346.00	0.98607
346.25	0.98597
346.50	0.98986
346.75	0.99132
347.00	0.98310
347.25	0.98482
347.50	0.98932
347.75	0.98773
348.00	0.98832
348.25	0.97495
348.50	0.97797
348.75	0.97735
349.00	0.98356
349.25	0.97886
349.50	0.97294
349.75	0.97908
350.00	0.96829
350.25	0.96602
350.50	0.96340
350.75	0.96340
351.00	0.95951
351.25	0.95242
351.50	0.95923
351.75	0.95373
352.00	0.94545
352.25	0.94646
352.50	0.94458
352.75	0.94255
353.00	0.93811
353.25	0.94203
353.50	0.93489
353.75	0.93090
354.00	0.93049
354.25	0.92996
354.50	0.92389
354.75	0.92305
355.00	0.91452
355.25	0.91334
355.50	0.90451
355.75	0.90227
356.00	0.89848
356.25	0.89426
356.50	0.89414
356.75	0.88582
357.00	0.88274
357.25	0.87774
357.50	0.87786
357.75	0.87024
358.00	0.87129
358.25	0.86112
358.50	0.85855
358.75	0.85616
359.00	0.85230
359.25	0.84825
359.50	0.84211
359.75	0.83860
360.00	0.83202
360.25	0.82663
360.50	0.82369
360.75	0.81890
361.00	0.81501
361.25	0.81209
361.50	0.80073
361.75	0.79668
362.00	0.79325
362.25	0.78872
362.50	0.78370
362.75	0.77571
363.00	0.77121
363.25	0.77115
363.50	0.76652
363.75	0.75731
364.00	0.75143
364.25	0.74482
364.50	0.74385
364.75	0.73617
365.00	0.72566
365.25	0.72210
365.50	0.71495
365.75	0.71276
366.00	0.70984
366.25	0.70071
366.50	0.69302
366.75	0.69087
367.00	0.68378
367.25	0.67702
367.50	0.67085
367.75	0.66444
368.00	0.65830
368.25	0.65054
368.50	0.64735
368.75	0.63796
369.00	0.63672
369.25	0.62740
369.50	0.62151
369.75	0.61571
370.00	0.60528
370.25	0.59591
370.50	0.59405
370.75	0.58430
371.00	0.58305
371.25	0.57343
371.50	0.56435
371.75	0.56023
372.00	0.55799
372.25	0.54654
372.50	0.54218
372.75	0.53441
373.00	0.53283
373.25	0.52627
373.50	0.51768
373.75	0.51030
374.00	0.50542
374.25	0.49800
374.50	0.49700
374.75	0.49625
375.00	0.49040
375.25	0.48471
375.50	0.47902
375.75	0.46954
376.00	0.46191
376.25	0.45285
376.50	0.44283
376.75	0.43708
377.00	0.42907
377.25	0.42508
377.50	0.41602
377.75	0.40817
378.00	0.40353
378.25	0.39606
378.50	0.38970
378.75	0.38502
379.00	0.37520
379.25	0.36935
379.50	0.36560
379.75	0.36039
380.00	0.35270
380.25	0.34502
380.50	0.33786
380.75	0.33531
381.00	0.32493
381.25	0.32211
381.50	0.31313
381.75	0.30674
382.00	0.30027
382.25	0.29329
382.50	0.28877
382.75	0.28388
383.00	0.27692
383.25	0.27003
383.50	0.26411
383.75	0.26005
384.00	0.25425
384.25	0.24829
384.50	0.24312
384.75	0.23746
385.00	0.23023
385.25	0.22692
385.50	0.22234
385.75	0.21615
386.00	0.21285
386.25	0.20781
386.50	0.20100
386.75	0.19587
387.00	0.19067
387.25	0.18666
387.50	0.18285
387.75	0.17875
388.00	0.17316
388.25	0.16707
388.50	0.16417
388.75	0.16064
389.00	0.15843
389.25	0.15123
389.50	0.14586
389.75	0.14275
390.00	0.13938
390.25	0.13435
390.50	0.13267
390.75	0.12895
391.00	0.12218
391.25	0.12065
391.50	0.11838
391.75	0.11360
392.00	0.11130
392.25	0.10628
392.50	0.10239
392.75	0.10082
393.00	0.098172
393.25	0.093608
