Wavelength (nm)	A02 abs1 N
231.00	0.092485
232.00	0.095125
233.00	0.10148
234.00	0.10965
235.00	0.11964
236.00	0.13150
237.00	0.14556
238.00	0.16144
239.00	0.17861
240.00	0.19747
241.00	0.21859
242.00	0.24284
243.00	0.27046
244.00	0.29925
245.00	0.32910
246.00	0.36066
247.00	0.39243
248.00	0.42606
249.00	0.46703
250.00	0.51470
251.00	0.55771
252.00	0.59195
253.00	0.62786
254.00	0.67718
255.00	0.73419
256.00	0.77334
257.00	0.79399
258.00	0.81845
259.00	0.85120
260.00	0.87973
261.00	0.91621
262.00	0.97024
263.00	1.00000
264.00	0.96308
265.00	0.89479
266.00	0.85405
267.00	0.81362
268.00	0.72047
269.00	0.66034
270.00	0.72546
271.00	0.78343
272.00	0.68562
273.00	0.48045
274.00	0.29088
275.00	0.16707
276.00	0.098252
277.00	0.060257
278.00	0.037478
279.00	0.023318
280.00	0.014847
281.00	0.0098964
282.00	0.0069586
283.00	0.0051503
284.00	0.0041433
285.00	0.0034325
286.00	0.0030739
287.00	0.0029314
288.00	0.0027893
289.00	0.0025493
290.00	0.0023313
291.00	0.0021425
292.00	0.0019181
293.00	0.0017423
294.00	0.0015823
295.00	0.0015571
296.00	0.0015889
297.00	0.0016168
298.00	0.0016773
299.00	0.0017892
300.00	0.0017705
