Wavelength (nm)	K18 ems
674.00	0.56691
674.50	0.55821
675.00	0.55380
675.50	0.54546
676.00	0.54209
676.50	0.53495
677.00	0.52864
677.50	0.52256
678.00	0.51641
678.50	0.50881
679.00	0.50477
679.50	0.49625
680.00	0.49369
680.50	0.48638
681.00	0.48109
681.50	0.47255
682.00	0.47212
682.50	0.46394
683.00	0.46110
683.50	0.45058
684.00	0.44618
684.50	0.44260
685.00	0.43290
685.50	0.42861
686.00	0.42506
686.50	0.42031
687.00	0.41323
687.50	0.40853
688.00	0.40428
688.50	0.39660
689.00	0.39494
689.50	0.38798
690.00	0.38470
690.50	0.37875
691.00	0.37547
691.50	0.37090
692.00	0.36723
692.50	0.36097
693.00	0.35810
693.50	0.35057
694.00	0.34771
694.50	0.34318
695.00	0.33898
695.50	0.33253
696.00	0.32962
696.50	0.32329
697.00	0.32024
697.50	0.31445
698.00	0.31139
698.50	0.30598
699.00	0.30180
699.50	0.29716
700.00	0.29565
700.50	0.28937
701.00	0.28696
701.50	0.28246
702.00	0.27926
702.50	0.27392
703.00	0.27072
703.50	0.26660
704.00	0.26403
704.50	0.25869
705.00	0.25779
705.50	0.25135
706.00	0.24994
706.50	0.24776
707.00	0.24410
707.50	0.23770
708.00	0.23647
708.50	0.23311
709.00	0.22783
709.50	0.22588
710.00	0.22380
710.50	0.22027
711.00	0.21753
711.50	0.21312
712.00	0.21065
712.50	0.20860
713.00	0.20701
713.50	0.20338
714.00	0.19983
714.50	0.19739
715.00	0.19503
715.50	0.19232
716.00	0.19059
716.50	0.18647
717.00	0.18418
717.50	0.18340
718.00	0.18033
718.50	0.17541
719.00	0.17419
719.50	0.17048
720.00	0.16944
720.50	0.16749
721.00	0.16486
721.50	0.16176
722.00	0.15992
722.50	0.15714
723.00	0.15542
723.50	0.15280
724.00	0.15128
724.50	0.14847
725.00	0.14595
725.50	0.14375
726.00	0.14230
726.50	0.14154
727.00	0.13906
727.50	0.13714
728.00	0.13543
728.50	0.13393
729.00	0.13122
729.50	0.12855
730.00	0.12791
