Wavelength (nm)	T08 abs N
650.00	0.20455
651.00	0.23199
652.00	0.24992
653.00	0.25386
654.00	0.24690
655.00	0.21599
656.00	0.19888
657.00	0.18928
658.00	0.15130
659.00	0.11937
660.00	0.095754
661.00	0.075858
662.00	0.059759
663.00	0.046383
664.00	0.036720
665.00	0.028971
666.00	0.022691
667.00	0.017994
668.00	0.014298
669.00	0.011407
670.00	0.0089085
671.00	0.0070782
672.00	0.0056916
673.00	0.0042998
674.00	0.0037990
675.00	0.0031839
676.00	0.0028967
677.00	0.0021597
678.00	0.0020485
679.00	0.0016666
680.00	0.0014576
681.00	0.0014370
682.00	0.0013011
683.00	0.00083019
684.00	0.00088011
685.00	0.0010237
686.00	0.00086416
687.00	0.00098511
688.00	0.00098460
689.00	0.0010922
690.00	0.0010217
691.00	0.0010330
692.00	0.00083585
693.00	0.0011349
694.00	0.0013614
695.00	0.00079416
696.00	0.0010206
697.00	0.00099825
698.00	0.0010311
699.00	0.00099082
700.00	0.00088469
