Wavelength (nm)	L06 abs N
553.00	0.18136
554.00	0.18699
555.00	0.19320
556.00	0.19963
557.00	0.20560
558.00	0.21222
559.00	0.21885
560.00	0.22598
561.00	0.23272
562.00	0.24018
563.00	0.24733
564.00	0.25554
565.00	0.26341
566.00	0.27245
567.00	0.28109
568.00	0.28906
569.00	0.29869
570.00	0.30757
571.00	0.31648
572.00	0.32515
573.00	0.33500
574.00	0.34458
575.00	0.35304
576.00	0.36265
577.00	0.37266
578.00	0.38113
579.00	0.38998
580.00	0.39946
581.00	0.40875
582.00	0.41695
583.00	0.42451
584.00	0.43435
585.00	0.44250
586.00	0.44983
587.00	0.45840
588.00	0.46629
589.00	0.47302
590.00	0.48106
591.00	0.48839
592.00	0.49704
593.00	0.50427
594.00	0.51171
595.00	0.51966
596.00	0.52659
597.00	0.53564
598.00	0.54406
599.00	0.55298
600.00	0.56226
601.00	0.57215
602.00	0.58198
603.00	0.59315
604.00	0.60343
605.00	0.61582
606.00	0.62851
607.00	0.64200
608.00	0.65635
609.00	0.67025
610.00	0.68563
611.00	0.70167
612.00	0.71833
613.00	0.73562
614.00	0.75246
615.00	0.77071
616.00	0.78815
617.00	0.80729
618.00	0.82565
619.00	0.84438
620.00	0.86315
621.00	0.87900
622.00	0.89956
623.00	0.91386
624.00	0.92987
625.00	0.94544
626.00	0.95743
627.00	0.96958
628.00	0.97932
629.00	0.98875
630.00	0.99434
631.00	0.99919
632.00	1.0000
633.00	0.99697
634.00	0.99266
635.00	0.98635
636.00	0.98044
637.00	0.97534
638.00	0.96971
639.00	0.95739
640.00	0.94778
641.00	0.93723
642.00	0.92016
643.00	0.89876
644.00	0.88078
645.00	0.85760
646.00	0.83599
647.00	0.81123
648.00	0.78295
649.00	0.76386
650.00	0.73531
651.00	0.70996
652.00	0.68337
653.00	0.65454
654.00	0.63047
655.00	0.59109
656.00	0.57255
657.00	0.57143
658.00	0.53835
659.00	0.50568
660.00	0.48123
661.00	0.45558
662.00	0.43142
663.00	0.40987
664.00	0.38706
665.00	0.36553
666.00	0.34693
667.00	0.32629
668.00	0.30768
669.00	0.28919
670.00	0.27307
671.00	0.25593
672.00	0.23960
673.00	0.22558
674.00	0.21097
675.00	0.19784
676.00	0.18522
677.00	0.17277
678.00	0.16126
679.00	0.15120
680.00	0.14128
681.00	0.13179
682.00	0.12250
683.00	0.11434
684.00	0.10618
685.00	0.099119
686.00	0.092360
687.00	0.086284
688.00	0.079804
689.00	0.073907
690.00	0.069156
691.00	0.063621
692.00	0.059447
693.00	0.055200
694.00	0.051424
695.00	0.047710
696.00	0.044098
697.00	0.040820
698.00	0.038043
699.00	0.035334
700.00	0.032750
701.00	0.030496
702.00	0.028193
703.00	0.026345
704.00	0.024379
705.00	0.022909
706.00	0.021081
707.00	0.019424
708.00	0.018122
709.00	0.017244
710.00	0.016093
711.00	0.014667
712.00	0.013780
713.00	0.013186
714.00	0.011626
715.00	0.011067
716.00	0.010723
717.00	0.010247
718.00	0.0095529
719.00	0.0088762
720.00	0.0082233
721.00	0.0078490
722.00	0.0071864
723.00	0.0067811
724.00	0.0061938
725.00	0.0060085
726.00	0.0057333
727.00	0.0052673
728.00	0.0048501
729.00	0.0047158
730.00	0.0044801
731.00	0.0041057
732.00	0.0040813
733.00	0.0040954
734.00	0.0036950
735.00	0.0040488
736.00	0.0032361
737.00	0.0031955
738.00	0.0028807
739.00	0.0032773
740.00	0.0028899
741.00	0.0026521
742.00	0.0021265
743.00	0.0028932
744.00	0.0026071
745.00	0.0023980
746.00	0.0027236
747.00	0.0023216
748.00	0.0022788
749.00	0.0025204
750.00	0.0020518
751.00	0.0020301
752.00	0.0024327
753.00	0.0023162
754.00	0.0017159
755.00	0.0021190
756.00	0.0015560
757.00	0.0018101
758.00	0.0018984
759.00	0.0019889
760.00	0.0018990
761.00	0.0017115
762.00	0.0020160
763.00	0.0013409
764.00	0.0019808
765.00	0.0018302
766.00	0.0018323
767.00	0.0016942
768.00	0.0018925
769.00	0.0014786
770.00	0.0018394
771.00	0.0017847
772.00	0.0013805
773.00	0.0014265
774.00	0.0022663
775.00	0.0023026
776.00	0.0016243
777.00	0.0017191
778.00	0.0018009
779.00	0.0013290
780.00	0.0014623
781.00	0.0015950
782.00	0.0011649
783.00	0.0016725
784.00	0.0016693
785.00	0.0012093
786.00	0.0013485
787.00	0.0013832
788.00	0.0014932
789.00	0.0016763
790.00	0.0015495
791.00	0.0015279
792.00	0.0019228
793.00	0.0014027
794.00	0.0014547
795.00	0.0014374
796.00	0.0018139
797.00	0.0012347
798.00	0.0013176
799.00	0.0015934
800.00	0.0013404
