Wavelength (nm)	C02 abs N
348.25	0.38346
348.50	0.39417
348.75	0.41179
349.00	0.42325
349.25	0.44827
349.50	0.46252
349.75	0.49485
350.00	0.51508
350.25	0.54052
350.50	0.56772
350.75	0.59847
351.00	0.61059
351.25	0.63400
351.50	0.64695
351.75	0.66003
352.00	0.67379
352.25	0.67189
352.50	0.68164
352.75	0.68722
353.00	0.69181
353.25	0.70442
353.50	0.71985
353.75	0.73514
354.00	0.75481
354.25	0.77971
354.50	0.80911
354.75	0.84544
355.00	0.88076
355.25	0.91780
355.50	0.95437
355.75	0.98445
356.00	0.99336
356.25	1.0000
356.50	0.98679
356.75	0.97523
357.00	0.95124
357.25	0.91772
357.50	0.88303
357.75	0.85506
358.00	0.80747
358.25	0.76277
358.50	0.72380
358.75	0.67968
359.00	0.63939
359.25	0.60044
359.50	0.56399
359.75	0.53133
360.00	0.50372
360.25	0.47043
360.50	0.44707
360.75	0.42229
361.00	0.40101
361.25	0.37853
361.50	0.35780
361.75	0.34179
362.00	0.32257
362.25	0.31131
362.50	0.30053
362.75	0.28819
363.00	0.28073
363.25	0.27211
363.50	0.26632
363.75	0.26166
364.00	0.25641
364.25	0.25635
364.50	0.25213
364.75	0.25037
365.00	0.24718
365.25	0.24595
365.50	0.24251
365.75	0.24147
366.00	0.23930
366.25	0.23926
366.50	0.24262
366.75	0.24493
367.00	0.25331
367.25	0.26699
367.50	0.27520
367.75	0.29680
368.00	0.31656
368.25	0.33550
368.50	0.35938
368.75	0.38596
369.00	0.41272
369.25	0.43293
369.50	0.45284
369.75	0.46941
370.00	0.48054
370.25	0.48951
370.50	0.49101
370.75	0.49609
371.00	0.49389
371.25	0.49102
371.50	0.48584
371.75	0.48631
372.00	0.48912
372.25	0.49942
372.50	0.51668
372.75	0.53794
373.00	0.56921
373.25	0.60504
373.50	0.64319
373.75	0.68338
374.00	0.72512
374.25	0.76415
374.50	0.78442
374.75	0.80192
375.00	0.82325
375.25	0.84568
375.50	0.86889
375.75	0.88584
376.00	0.91116
376.25	0.91733
376.50	0.90686
376.75	0.86592
377.00	0.82278
377.25	0.77643
377.50	0.71942
377.75	0.65600
378.00	0.59550
378.25	0.53371
378.50	0.47972
378.75	0.42361
379.00	0.37549
379.25	0.33163
379.50	0.29271
379.75	0.26090
380.00	0.23063
380.25	0.20445
380.50	0.18453
380.75	0.17079
381.00	0.15372
381.25	0.14160
381.50	0.12811
381.75	0.12092
382.00	0.11101
382.25	0.10491
382.50	0.094773
382.75	0.087623
383.00	0.079387
383.25	0.073340
383.50	0.071402
383.75	0.063127
384.00	0.057204
384.25	0.054657
384.50	0.050945
384.75	0.044273
385.00	0.038709
385.25	0.037123
385.50	0.035388
385.75	0.032669
386.00	0.031692
386.25	0.028833
386.50	0.024738
386.75	0.026621
387.00	0.026184
387.25	0.023269
387.50	0.021519
387.75	0.023136
388.00	0.021308
388.25	0.019566
388.50	0.017432
388.75	0.019480
389.00	0.017792
389.25	0.017276
389.50	0.015385
389.75	0.015229
390.00	0.014104
390.25	0.013432
390.50	0.014909
390.75	0.011603
391.00	0.011056
391.25	0.013104
391.50	0.011814
391.75	0.010791
392.00	0.010814
392.25	0.010705
392.50	0.0099937
392.75	0.0093452
393.00	0.0091499
393.25	0.0088686
393.50	0.010314
393.75	0.010361
394.00	0.0083294
394.25	0.0064463
394.50	0.0090014
394.75	0.0070949
395.00	0.0064932
395.25	0.0056962
395.50	0.0057196
395.75	0.0048679
396.00	0.0072746
396.25	0.0044538
396.50	0.0045788
396.75	0.0055556
397.00	0.0058134
397.25	0.0071105
397.50	0.0046023
397.75	0.0059619
398.00	0.0028051
398.25	0.0057587
398.50	0.0062979
398.75	0.0036178
399.00	0.0035552
399.25	0.0043522
399.50	0.0033599
399.75	0.0016096
400.00	0.0026176
400.25	0.0032974
400.50	0.0040944
400.75	0.0037350
401.00	0.0054149
401.25	0.0035396
401.50	0.0027348
401.75	0.0058994
402.00	0.0027895
402.25	0.0050008
402.50	0.0016487
402.75	0.0029614
403.00	0.0018362
403.25	0.0046726
403.50	0.0029536
403.75	0.0026020
404.00	0.0022894
404.25	0.0033365
404.50	0.0022425
404.75	0.0022504
405.00	0.0031958
405.25	0.0026801
405.50	0.0022425
405.75	0.0043679
406.00	0.0014299
406.25	0.0041491
406.50	0.0019300
406.75	0.0043679
407.00	0.0019378
407.25	0.0021800
407.50	0.00076574
407.75	0.0011174
408.00	0.0040631
408.25	0.0011642
408.50	0.0032661
408.75	0.0022582
409.00	0.0015471
409.25	0.0021566
409.50	-0.00037506
409.75	0.0032896
410.00	0.0017268
410.25	0.0038600
410.50	0.0018362
410.75	0.0026020
411.00	0.0020550
411.25	0.0019300
411.50	0.0021957
411.75	0.0038834
412.00	0.0021957
412.25	0.00086334
