Wavelength (nm)	S09 abs N
366.25	0.23833
366.44	0.23574
366.63	0.23555
366.81	0.23481
367.00	0.23879
367.19	0.23562
367.38	0.22974
367.56	0.23035
367.75	0.23227
367.94	0.23125
368.13	0.22810
368.31	0.22617
368.50	0.22480
368.69	0.22359
368.88	0.22130
369.06	0.22037
369.25	0.21952
369.44	0.22082
369.63	0.21510
369.81	0.21675
370.00	0.21401
370.19	0.21318
370.38	0.21373
370.56	0.20882
370.75	0.20536
370.94	0.20680
371.13	0.20545
371.31	0.20785
371.50	0.20375
371.69	0.20323
371.88	0.20276
372.06	0.20001
372.25	0.19761
372.44	0.19724
372.63	0.19821
372.81	0.19586
373.00	0.19595
373.19	0.19539
373.38	0.19607
373.56	0.19281
373.75	0.19068
373.94	0.18818
374.13	0.19084
374.31	0.18562
374.50	0.18701
374.69	0.18625
374.88	0.18297
375.06	0.18248
375.25	0.18087
375.44	0.18075
375.63	0.17831
375.81	0.17663
376.00	0.17620
376.19	0.17687
376.38	0.17524
376.56	0.17495
376.75	0.17410
376.94	0.17080
377.13	0.17027
377.31	0.17155
377.50	0.16912
377.69	0.16598
377.88	0.16620
378.06	0.16558
378.25	0.16586
378.44	0.16217
378.63	0.16295
378.81	0.16186
379.00	0.16228
379.19	0.16029
379.38	0.16048
379.56	0.15850
379.75	0.16232
379.94	0.15774
380.13	0.15649
380.31	0.15745
380.50	0.15398
380.69	0.15687
380.88	0.15677
381.06	0.15583
381.25	0.15444
381.44	0.15159
381.63	0.15110
381.81	0.15431
382.00	0.15182
382.19	0.15089
382.38	0.15254
382.56	0.15451
382.75	0.14838
382.94	0.15060
383.13	0.14996
383.31	0.14949
383.50	0.14579
383.69	0.14855
383.88	0.14786
384.06	0.14768
384.25	0.14851
384.44	0.14681
384.63	0.14707
384.81	0.14571
385.00	0.14626
385.19	0.14804
385.38	0.14634
385.56	0.14623
385.75	0.14323
385.94	0.14607
386.13	0.14591
386.31	0.14354
386.50	0.14620
386.69	0.14612
386.88	0.14493
387.06	0.14301
387.25	0.14312
387.44	0.14301
387.63	0.14230
387.81	0.14160
388.00	0.14031
388.19	0.14207
388.38	0.14223
388.56	0.14416
388.75	0.14529
388.94	0.14250
389.13	0.14186
389.31	0.14197
389.50	0.14242
389.69	0.13858
389.88	0.13939
390.06	0.13977
390.25	0.13838
390.44	0.13997
390.63	0.13985
390.81	0.13913
391.00	0.13837
391.19	0.13821
391.38	0.13705
391.56	0.13931
391.75	0.13880
391.94	0.13522
392.13	0.13947
392.31	0.13875
392.50	0.13839
392.69	0.13342
392.88	0.13814
393.06	0.13737
393.25	0.13611
393.44	0.13888
393.63	0.13707
393.81	0.13399
394.00	0.13718
394.19	0.13652
394.38	0.13657
394.56	0.13739
394.75	0.13623
394.94	0.13185
395.13	0.13447
395.31	0.13394
395.50	0.13503
395.69	0.13631
395.88	0.13533
396.06	0.13454
396.25	0.13445
396.44	0.13364
396.63	0.13324
396.81	0.13411
397.00	0.13605
397.19	0.13459
397.38	0.13381
397.56	0.13239
397.75	0.13222
397.94	0.13129
398.13	0.13201
398.31	0.13076
398.50	0.13410
398.69	0.13206
398.88	0.13278
399.06	0.13546
399.25	0.13267
399.44	0.13053
399.63	0.13059
399.81	0.13329
400.00	0.13277
400.19	0.13284
400.38	0.13069
400.56	0.13219
400.75	0.13110
400.94	0.12784
401.13	0.12889
401.31	0.12784
401.50	0.13078
401.69	0.12964
401.88	0.12682
402.06	0.13075
402.25	0.13013
402.44	0.12801
402.63	0.12714
402.81	0.12984
403.00	0.12928
403.19	0.12950
403.38	0.12830
403.56	0.13002
403.75	0.13050
403.94	0.12898
404.13	0.12847
404.31	0.12918
404.50	0.12814
404.69	0.12663
404.88	0.12723
