Wavelength (nm)	E20 ems
470.00	0.0030708
470.50	0.0030088
471.00	0.0029138
471.50	0.0028602
472.00	0.0029354
472.50	0.0029234
473.00	0.0029846
473.50	0.0029769
474.00	0.0027368
474.50	0.0026821
475.00	0.0027395
475.50	0.0027591
476.00	0.0028157
476.50	0.0028645
477.00	0.0031219
477.50	0.0032864
478.00	0.0031015
478.50	0.0030645
479.00	0.0029713
479.50	0.0030469
480.00	0.0030808
480.50	0.0031814
481.00	0.0033798
481.50	0.0036772
482.00	0.0037357
482.50	0.0037829
483.00	0.0040488
483.50	0.0042196
484.00	0.0043661
484.50	0.0044382
485.00	0.0045073
485.50	0.0046823
486.00	0.0048674
486.50	0.0050594
487.00	0.0051489
487.50	0.0051510
488.00	0.0051126
488.50	0.0051518
489.00	0.0051098
489.50	0.0050596
490.00	0.0051516
490.50	0.0051408
491.00	0.0051544
491.50	0.0051858
492.00	0.0051612
492.50	0.0052453
493.00	0.0052442
493.50	0.0051307
494.00	0.0052879
494.50	0.0052931
495.00	0.0053706
495.50	0.0055578
496.00	0.0057288
496.50	0.0058300
497.00	0.0058649
497.50	0.0060305
498.00	0.0062268
498.50	0.0062079
499.00	0.0063068
499.50	0.0065018
500.00	0.0065258
500.50	0.0067431
501.00	0.0068067
501.50	0.0070791
502.00	0.0072589
502.50	0.0076053
503.00	0.0075397
503.50	0.0075621
504.00	0.0078118
504.50	0.0078928
505.00	0.0079329
505.50	0.0080427
506.00	0.0081201
506.50	0.0083094
507.00	0.0084628
507.50	0.0083847
508.00	0.0086180
508.50	0.0085255
509.00	0.0088648
509.50	0.0088965
510.00	0.0092207
510.50	0.0093240
511.00	0.0093802
511.50	0.0096602
512.00	0.0097631
512.50	0.0098388
513.00	0.0099701
513.50	0.010063
514.00	0.010412
514.50	0.010535
515.00	0.010843
515.50	0.011036
516.00	0.011179
516.50	0.011383
517.00	0.011411
517.50	0.011693
518.00	0.011783
518.50	0.012444
519.00	0.012607
519.50	0.012965
520.00	0.013424
520.50	0.014335
521.00	0.014814
521.50	0.015411
522.00	0.015851
522.50	0.016746
523.00	0.017248
523.50	0.018287
524.00	0.019471
524.50	0.020190
525.00	0.021088
525.50	0.022011
526.00	0.023277
526.50	0.024490
527.00	0.025567
527.50	0.026748
528.00	0.027783
528.50	0.028936
529.00	0.029770
529.50	0.030530
530.00	0.031679
530.50	0.032514
531.00	0.033236
531.50	0.033845
532.00	0.034879
532.50	0.035125
533.00	0.034983
533.50	0.035469
534.00	0.035799
534.50	0.035453
535.00	0.035214
535.50	0.035531
536.00	0.035513
536.50	0.034742
537.00	0.034828
537.50	0.034435
538.00	0.034733
538.50	0.034030
539.00	0.034174
539.50	0.034297
540.00	0.034160
540.50	0.034689
541.00	0.035001
541.50	0.035836
542.00	0.036297
542.50	0.037367
543.00	0.038167
543.50	0.039550
544.00	0.040615
544.50	0.041938
545.00	0.043325
545.50	0.044815
546.00	0.046784
546.50	0.048561
547.00	0.050307
547.50	0.052900
548.00	0.055063
548.50	0.057768
549.00	0.059540
549.50	0.062880
550.00	0.064969
550.50	0.068586
551.00	0.071067
551.50	0.074332
552.00	0.078081
552.50	0.081378
553.00	0.084090
553.50	0.088514
554.00	0.092021
554.50	0.095856
555.00	0.10032
555.50	0.10482
556.00	0.10838
556.50	0.11349
557.00	0.11806
557.50	0.12336
558.00	0.12740
558.50	0.13345
559.00	0.13789
559.50	0.14353
560.00	0.14862
560.50	0.15507
561.00	0.15823
561.50	0.16570
562.00	0.17171
562.50	0.17836
563.00	0.18314
563.50	0.19161
564.00	0.19718
564.50	0.20517
565.00	0.21068
565.50	0.21835
