Wavelength (nm)	A09 abs1 N
245.00	0.22500
246.00	0.22048
247.00	0.22346
248.00	0.23470
249.00	0.25688
250.00	0.28239
251.00	0.30420
252.00	0.32940
253.00	0.36469
254.00	0.39991
255.00	0.42509
256.00	0.45510
257.00	0.50228
258.00	0.55262
259.00	0.58974
260.00	0.62708
261.00	0.68397
262.00	0.73285
263.00	0.74988
264.00	0.75913
265.00	0.80020
266.00	0.85564
267.00	0.88797
268.00	0.91001
269.00	0.95048
270.00	0.99525
271.00	1.00000
272.00	0.94406
273.00	0.86801
274.00	0.84262
275.00	0.84317
276.00	0.78676
277.00	0.69410
278.00	0.64731
279.00	0.64325
280.00	0.60110
281.00	0.50368
282.00	0.39274
283.00	0.29561
284.00	0.22153
285.00	0.17153
286.00	0.13660
287.00	0.10538
288.00	0.076729
289.00	0.052855
290.00	0.036087
291.00	0.024573
292.00	0.017049
293.00	0.011720
294.00	0.0080264
295.00	0.0057222
296.00	0.0041234
297.00	0.0026626
298.00	0.0018718
299.00	0.0012953
300.00	0.00069521
