Wavelength (nm)	F06 abs N
306.25	0.0032291
306.50	0.0021629
306.75	0.0036028
307.00	0.0037560
307.25	0.0036702
307.50	0.0015257
307.75	0.0029656
308.00	0.0032597
308.25	0.0017769
308.50	0.0042830
308.75	0.0023774
309.00	0.0028369
309.25	0.0028553
309.50	0.0044545
309.75	0.0065623
310.00	0.0031310
310.25	0.010447
310.50	0.0055023
310.75	0.0047303
311.00	0.010135
311.25	0.0062988
311.50	0.0057168
311.75	0.0031004
312.00	0.0011519
312.25	0.0025122
312.50	0.0074508
312.75	0.0073282
313.00	0.0019730
313.25	0.0044178
313.50	0.0034803
313.75	0.00084556
314.00	0.0070709
314.25	0.0033455
314.50	9.8036e-05
314.75	0.0056003
315.00	0.0019607
315.25	0.0069974
315.50	0.0062621
315.75	0.0034435
316.00	0.0050489
316.25	0.0037744
316.50	0.0045893
316.75	0.0034435
317.00	0.0069238
317.25	0.0057351
317.50	0.0024693
317.75	0.0041298
318.00	0.0045526
318.25	0.0013970
318.50	0.0065256
318.75	0.0038541
319.00	0.0055820
319.25	0.0052572
319.50	0.0067400
319.75	0.0082657
320.00	0.0038970
320.25	0.0030882
320.50	0.0040746
320.75	0.0054533
321.00	0.0053307
321.25	0.0048222
321.50	0.0058332
321.75	0.0015379
322.00	0.0041972
322.25	0.0047241
322.50	0.0065378
322.75	0.0061150
323.00	0.0033210
323.25	0.0059067
323.50	0.0045219
323.75	0.0047793
324.00	0.0046261
324.25	0.0029227
324.50	0.0049508
324.75	0.0056003
325.00	0.0031433
325.25	0.0011887
325.50	0.0047609
325.75	0.0067400
326.00	0.0040379
326.25	0.0027083
326.50	0.0022610
326.75	0.0030882
327.00	0.0028492
327.25	0.00075366
327.50	0.0054410
327.75	0.0037438
328.00	0.00035538
328.25	0.0036457
328.50	-0.0027450
328.75	0.0027512
329.00	0.0049570
329.25	0.0018198
329.50	0.0011764
329.75	0.0057780
330.00	0.00015318
330.25	0.0012867
330.50	0.0017156
330.75	0.0051224
331.00	0.0036396
331.25	0.0013725
331.50	-0.00082106
331.75	0.0013051
