Wavelength (nm)	N02 abs N	N02 abs e
338.00	0.075924	5694.3
339.00	0.073490	5511.7
340.00	0.070822	5311.7
341.00	0.067750	5081.2
342.00	0.064241	4818.1
343.00	0.060812	4560.9
344.00	0.057218	4291.3
345.00	0.053577	4018.3
346.00	0.049675	3725.6
347.00	0.046061	3454.6
348.00	0.042601	3195.1
349.00	0.039045	2928.4
350.00	0.035928	2694.6
351.00	0.032883	2466.2
352.00	0.029954	2246.5
353.00	0.027572	2067.9
354.00	0.025139	1885.5
355.00	0.023191	1739.3
356.00	0.021502	1612.7
357.00	0.019838	1487.8
358.00	0.018362	1377.1
359.00	0.017301	1297.5
360.00	0.016438	1232.8
361.00	0.015390	1154.2
362.00	0.014851	1113.9
363.00	0.014588	1094.1
364.00	0.014499	1087.4
365.00	0.014112	1058.4
366.00	0.014092	1056.9
367.00	0.013952	1046.4
368.00	0.013883	1041.2
369.00	0.013807	1035.5
370.00	0.014120	1059.0
371.00	0.014272	1070.4
372.00	0.014163	1062.2
373.00	0.014091	1056.9
374.00	0.014765	1107.4
375.00	0.014668	1100.1
376.00	0.014796	1109.7
377.00	0.015370	1152.8
378.00	0.015529	1164.7
379.00	0.015476	1160.7
380.00	0.015995	1199.6
381.00	0.016317	1223.7
382.00	0.016304	1222.8
383.00	0.016662	1249.6
384.00	0.016953	1271.5
385.00	0.017141	1285.5
386.00	0.017283	1296.2
387.00	0.017555	1316.6
388.00	0.017657	1324.3
389.00	0.017765	1332.4
390.00	0.017740	1330.5
391.00	0.017981	1348.6
392.00	0.018046	1353.4
393.00	0.017980	1348.5
394.00	0.017887	1341.6
395.00	0.017874	1340.6
396.00	0.017989	1349.2
397.00	0.018252	1368.9
398.00	0.018173	1363.0
399.00	0.018015	1351.1
400.00	0.018051	1353.8
401.00	0.018341	1375.6
402.00	0.018429	1382.2
403.00	0.018338	1375.4
404.00	0.018484	1386.3
405.00	0.018530	1389.7
406.00	0.018842	1413.2
407.00	0.019073	1430.5
408.00	0.019392	1454.4
409.00	0.019597	1469.8
410.00	0.019642	1473.1
411.00	0.019901	1492.6
412.00	0.019995	1499.6
413.00	0.020436	1532.7
414.00	0.020615	1546.1
415.00	0.020962	1572.1
416.00	0.021411	1605.8
417.00	0.022183	1663.7
418.00	0.022432	1682.4
419.00	0.023100	1732.5
420.00	0.023905	1792.9
421.00	0.024751	1856.3
422.00	0.025700	1927.5
423.00	0.026758	2006.9
424.00	0.027623	2071.7
425.00	0.029189	2189.1
426.00	0.030716	2303.7
427.00	0.032451	2433.8
428.00	0.034089	2556.7
429.00	0.036304	2722.8
430.00	0.038581	2893.6
431.00	0.040500	3037.5
432.00	0.042890	3216.7
433.00	0.045744	3430.8
434.00	0.048432	3632.4
435.00	0.051140	3835.5
436.00	0.054113	4058.5
437.00	0.057343	4300.7
438.00	0.060415	4531.1
439.00	0.063389	4754.2
440.00	0.066759	5006.9
441.00	0.069582	5218.7
442.00	0.072753	5456.4
443.00	0.075934	5695.1
444.00	0.079308	5948.1
445.00	0.082861	6214.6
446.00	0.087120	6534.0
447.00	0.090914	6818.6
448.00	0.095560	7167.0
449.00	0.10099	7574.4
450.00	0.10602	7951.7
451.00	0.11215	8411.4
452.00	0.11886	8914.7
453.00	0.12633	9474.7
454.00	0.13452	10089
455.00	0.14319	10739
456.00	0.15267	11450
457.00	0.16369	12277
458.00	0.17506	13129
459.00	0.18627	13970
460.00	0.19829	14872
461.00	0.21111	15833
462.00	0.22392	16794
463.00	0.23829	17871
464.00	0.25187	18890
465.00	0.26407	19805
466.00	0.27672	20754
467.00	0.28830	21622
468.00	0.29948	22461
469.00	0.30912	23184
470.00	0.31872	23904
471.00	0.32791	24593
472.00	0.33590	25193
473.00	0.34199	25649
474.00	0.34852	26139
475.00	0.35469	26602
476.00	0.35994	26996
477.00	0.36608	27456
478.00	0.37363	28022
