Wavelength (nm)	T11 abs N
350.00	0.048663
351.00	0.048965
352.00	0.049196
353.00	0.049475
354.00	0.049579
355.00	0.049612
356.00	0.049287
357.00	0.049316
358.00	0.049346
359.00	0.049215
360.00	0.048791
361.00	0.048459
362.00	0.048406
363.00	0.048523
364.00	0.049333
365.00	0.050918
366.00	0.051589
367.00	0.051767
368.00	0.052168
369.00	0.052826
370.00	0.053432
371.00	0.054049
372.00	0.055000
373.00	0.055945
374.00	0.057260
375.00	0.059109
376.00	0.061489
377.00	0.065037
378.00	0.069808
379.00	0.075467
380.00	0.082602
381.00	0.091681
382.00	0.10276
383.00	0.11509
384.00	0.12858
385.00	0.14305
386.00	0.15737
387.00	0.17218
388.00	0.18489
389.00	0.19545
390.00	0.20313
391.00	0.20786
392.00	0.21003
393.00	0.20945
394.00	0.20812
395.00	0.20630
396.00	0.20628
397.00	0.20988
398.00	0.21905
399.00	0.23425
400.00	0.25718
401.00	0.29009
402.00	0.33295
403.00	0.38808
404.00	0.45747
405.00	0.53800
406.00	0.62637
407.00	0.71851
408.00	0.81579
409.00	0.90510
410.00	0.96735
411.00	1.0000
412.00	0.99600
413.00	0.95433
414.00	0.88062
415.00	0.78225
416.00	0.67243
417.00	0.56094
418.00	0.45694
419.00	0.36513
420.00	0.28595
421.00	0.22008
422.00	0.16933
423.00	0.13185
424.00	0.10156
425.00	0.078511
426.00	0.061243
427.00	0.047787
428.00	0.038622
429.00	0.031932
430.00	0.026538
431.00	0.023071
432.00	0.020631
433.00	0.018310
434.00	0.016278
435.00	0.015269
436.00	0.014136
437.00	0.013342
438.00	0.012702
439.00	0.012179
440.00	0.011793
441.00	0.011305
442.00	0.010984
443.00	0.010838
444.00	0.010587
445.00	0.010538
446.00	0.010396
447.00	0.010370
448.00	0.010330
449.00	0.0099627
450.00	0.0099415
451.00	0.010060
452.00	0.0099057
453.00	0.0097955
454.00	0.0096898
455.00	0.0095989
456.00	0.0095622
457.00	0.0095915
458.00	0.0095612
459.00	0.0094418
460.00	0.0093738
461.00	0.0094198
462.00	0.0096568
463.00	0.0095089
464.00	0.0096072
465.00	0.0095934
466.00	0.0097753
467.00	0.0099397
468.00	0.010200
469.00	0.010409
470.00	0.010493
471.00	0.010297
472.00	0.010528
473.00	0.010535
474.00	0.010656
475.00	0.010611
476.00	0.010424
477.00	0.010512
478.00	0.010495
479.00	0.010295
480.00	0.010079
481.00	0.0098671
482.00	0.0097854
483.00	0.0097927
484.00	0.0096880
485.00	0.0095778
486.00	0.0092535
487.00	0.0099498
488.00	0.010504
489.00	0.010269
490.00	0.010361
491.00	0.010780
492.00	0.011273
493.00	0.011663
494.00	0.012194
495.00	0.012966
496.00	0.013585
497.00	0.014250
498.00	0.015425
499.00	0.016555
500.00	0.017771
501.00	0.019219
502.00	0.020571
503.00	0.021689
504.00	0.022777
505.00	0.023604
506.00	0.023945
507.00	0.023998
508.00	0.023573
509.00	0.023251
510.00	0.022777
511.00	0.022445
512.00	0.022017
513.00	0.021538
514.00	0.021084
515.00	0.020783
516.00	0.020281
