Wavelength (nm)	M05 abs N
300.00	0.062259
301.00	0.061904
302.00	0.061502
303.00	0.061291
304.00	0.061079
305.00	0.060926
306.00	0.060908
307.00	0.060903
308.00	0.060923
309.00	0.060991
310.00	0.061185
311.00	0.061393
312.00	0.061583
313.00	0.061695
314.00	0.061809
315.00	0.061892
316.00	0.062004
317.00	0.062026
318.00	0.061970
319.00	0.061592
320.00	0.061224
321.00	0.060809
322.00	0.060347
323.00	0.059893
324.00	0.059355
325.00	0.058850
326.00	0.058205
327.00	0.057581
328.00	0.056957
329.00	0.056340
330.00	0.055738
331.00	0.055217
332.00	0.054668
333.00	0.054148
334.00	0.053801
335.00	0.053514
336.00	0.053163
337.00	0.052962
338.00	0.052727
339.00	0.052308
340.00	0.051984
341.00	0.051713
342.00	0.051298
343.00	0.050998
344.00	0.050713
345.00	0.050341
346.00	0.050192
347.00	0.050121
348.00	0.050163
349.00	0.050316
350.00	0.050794
351.00	0.051143
352.00	0.051614
353.00	0.052136
354.00	0.052526
355.00	0.052801
356.00	0.052917
357.00	0.052956
358.00	0.052588
359.00	0.052404
360.00	0.051942
361.00	0.051812
362.00	0.051677
363.00	0.051861
364.00	0.051706
365.00	0.051632
366.00	0.051887
367.00	0.052748
368.00	0.054319
369.00	0.056090
370.00	0.057350
371.00	0.057970
372.00	0.057847
373.00	0.057628
374.00	0.056994
375.00	0.056235
376.00	0.054881
377.00	0.053294
378.00	0.051581
379.00	0.049956
380.00	0.048145
381.00	0.046626
382.00	0.045000
383.00	0.043754
384.00	0.042439
385.00	0.041087
386.00	0.040195
387.00	0.039150
388.00	0.038287
389.00	0.037366
390.00	0.036595
391.00	0.035784
392.00	0.034871
393.00	0.033678
394.00	0.032900
395.00	0.031777
396.00	0.030833
397.00	0.030084
398.00	0.029389
399.00	0.029026
400.00	0.028579
401.00	0.028515
402.00	0.028756
403.00	0.029072
404.00	0.028974
405.00	0.029009
406.00	0.028824
407.00	0.028530
408.00	0.028498
409.00	0.028387
410.00	0.028030
411.00	0.027718
412.00	0.027600
413.00	0.027718
414.00	0.027906
415.00	0.028440
416.00	0.029191
417.00	0.030438
418.00	0.031766
419.00	0.033741
420.00	0.035683
421.00	0.038234
422.00	0.040906
423.00	0.043687
424.00	0.046783
425.00	0.050076
426.00	0.053177
427.00	0.056380
428.00	0.059314
429.00	0.061945
430.00	0.064001
431.00	0.065201
432.00	0.066045
433.00	0.066930
434.00	0.067064
435.00	0.067090
436.00	0.066775
437.00	0.066425
438.00	0.066681
439.00	0.067195
440.00	0.068447
441.00	0.070772
442.00	0.073628
443.00	0.077794
444.00	0.083178
445.00	0.089618
446.00	0.097749
447.00	0.10654
448.00	0.11646
449.00	0.12772
450.00	0.13936
451.00	0.15137
452.00	0.16435
453.00	0.17679
454.00	0.18910
455.00	0.20056
456.00	0.20976
457.00	0.21796
458.00	0.22369
459.00	0.22695
460.00	0.22751
461.00	0.22592
462.00	0.22200
463.00	0.21581
464.00	0.20836
465.00	0.20045
466.00	0.19267
467.00	0.18579
468.00	0.17931
469.00	0.17535
470.00	0.17400
471.00	0.17577
472.00	0.18065
473.00	0.18859
474.00	0.19946
475.00	0.21372
476.00	0.23073
477.00	0.25073
478.00	0.27485
479.00	0.30118
480.00	0.33143
481.00	0.36267
482.00	0.39622
483.00	0.43097
484.00	0.46607
485.00	0.50746
486.00	0.54093
487.00	0.55425
488.00	0.58255
489.00	0.60414
490.00	0.61696
491.00	0.62153
492.00	0.61791
493.00	0.60449
494.00	0.58387
495.00	0.55647
496.00	0.52148
497.00	0.48546
498.00	0.44639
499.00	0.40531
500.00	0.36755
501.00	0.33407
502.00	0.30544
503.00	0.28294
504.00	0.26711
505.00	0.25769
506.00	0.25474
507.00	0.25746
508.00	0.26650
509.00	0.27977
510.00	0.29805
511.00	0.31988
512.00	0.34518
513.00	0.37454
514.00	0.40622
515.00	0.44186
516.00	0.48237
517.00	0.52512
518.00	0.57217
519.00	0.62547
520.00	0.67827
521.00	0.73806
522.00	0.79579
523.00	0.85195
524.00	0.90421
525.00	0.94611
526.00	0.97858
527.00	0.99712
528.00	1.0000
529.00	0.98676
530.00	0.95428
531.00	0.90576
532.00	0.84416
533.00	0.77298
534.00	0.69573
535.00	0.61464
536.00	0.53516
537.00	0.45650
538.00	0.38289
539.00	0.31985
540.00	0.26352
541.00	0.21460
542.00	0.17273
543.00	0.13882
544.00	0.11094
545.00	0.088450
546.00	0.070346
547.00	0.055393
548.00	0.043932
549.00	0.035434
550.00	0.028309
551.00	0.022830
552.00	0.018340
553.00	0.014931
554.00	0.012324
555.00	0.010126
556.00	0.0084517
557.00	0.0072796
558.00	0.0061639
559.00	0.0056336
560.00	0.0049266
561.00	0.0043428
562.00	0.0038028
563.00	0.0036625
564.00	0.0035132
565.00	0.0031403
566.00	0.0031054
567.00	0.0029702
568.00	0.0027095
569.00	0.0026122
570.00	0.0022847
571.00	0.0022646
572.00	0.0022037
573.00	0.0020738
574.00	0.0019534
575.00	0.0018205
576.00	0.0017372
577.00	0.0018167
578.00	0.0014224
579.00	0.0014558
580.00	0.0013392
581.00	0.0014825
582.00	0.0011349
583.00	0.00093364
584.00	0.0012062
585.00	0.0012515
586.00	0.00098933
587.00	0.0010777
588.00	0.00099899
589.00	0.00079766
590.00	0.00097889
591.00	0.00099673
592.00	0.00096854
593.00	0.00098045
594.00	0.00082812
595.00	0.00085047
596.00	0.00083411
597.00	0.00089128
598.00	0.00090093
599.00	0.00070114
600.00	0.00074868
