Wavelength (nm)	K19 abs N
308.00	0.052109
308.25	0.051914
308.50	0.050146
308.75	0.051427
309.00	0.051232
309.25	0.049067
309.50	0.050963
309.75	0.049067
310.00	0.051330
310.25	0.055136
310.50	0.051330
310.75	0.048505
311.00	0.053420
311.25	0.050378
311.50	0.048580
311.75	0.047307
312.00	0.042646
312.25	0.042174
312.50	0.048228
312.75	0.050933
313.00	0.049449
313.25	0.048198
313.50	0.046228
313.75	0.055526
314.00	0.044744
314.25	0.045239
314.50	0.047127
314.75	0.045890
315.00	0.045568
315.25	0.052963
315.50	0.048018
315.75	0.046542
316.00	0.043178
316.25	0.044669
316.50	0.043411
316.75	0.044115
317.00	0.042624
317.25	0.042916
317.50	0.043313
317.75	0.041994
318.00	0.045606
318.25	0.037462
318.50	0.037791
318.75	0.039814
319.00	0.038218
319.25	0.046475
319.50	0.044227
319.75	0.041095
320.00	0.047464
320.25	0.037109
320.50	0.039350
320.75	0.043156
321.00	0.040968
321.25	0.038278
321.50	0.042541
321.75	0.040841
322.00	0.043545
322.25	0.036405
322.50	0.039559
322.75	0.034952
323.00	0.040698
323.25	0.040975
323.50	0.036645
323.75	0.041013
324.00	0.041964
324.25	0.037499
324.50	0.041897
324.75	0.038930
325.00	0.041552
325.25	0.046258
325.50	0.042819
325.75	0.041687
326.00	0.040046
326.25	0.033618
326.50	0.037574
326.75	0.037851
327.00	0.043306
327.25	0.041448
327.50	0.041732
327.75	0.038009
328.00	0.039455
328.25	0.039747
328.50	0.043411
328.75	0.043021
329.00	0.040556
329.25	0.040114
329.50	0.039410
329.75	0.036053
330.00	0.041867
330.25	0.041185
330.50	0.044340
330.75	0.040811
331.00	0.043710
331.25	0.040841
331.50	0.034967
331.75	0.043860
332.00	0.043583
332.25	0.043748
332.50	0.042759
332.75	0.038788
333.00	0.040766
333.25	0.041500
333.50	0.042024
333.75	0.044467
334.00	0.043927
334.25	0.045786
334.50	0.042774
334.75	0.042676
335.00	0.044579
335.25	0.041485
335.50	0.044594
335.75	0.043193
336.00	0.043868
336.25	0.046175
336.50	0.044857
336.75	0.045598
337.00	0.045021
337.25	0.047531
337.50	0.047142
337.75	0.046692
338.00	0.049779
338.25	0.046894
338.50	0.046355
338.75	0.047831
339.00	0.046685
339.25	0.049472
339.50	0.048505
339.75	0.045351
340.00	0.048063
340.25	0.048288
340.50	0.050813
340.75	0.050701
341.00	0.048678
341.25	0.049262
341.50	0.051390
341.75	0.051697
342.00	0.050116
342.25	0.053338
342.50	0.045973
342.75	0.050566
343.00	0.052664
343.25	0.057309
343.50	0.051023
343.75	0.052679
344.00	0.053031
344.25	0.054087
344.50	0.052956
344.75	0.051675
345.00	0.057653
345.25	0.054701
345.50	0.054709
345.75	0.057728
346.00	0.054027
346.25	0.055705
346.50	0.059661
346.75	0.056687
347.00	0.058605
347.25	0.056964
347.50	0.056560
347.75	0.056177
348.00	0.055735
348.25	0.060980
348.50	0.059616
348.75	0.059092
349.00	0.058875
349.25	0.061474
349.50	0.063827
349.75	0.060298
350.00	0.059886
350.25	0.058777
350.50	0.059714
350.75	0.059212
351.00	0.059257
351.25	0.062044
351.50	0.062321
351.75	0.058582
352.00	0.060021
352.25	0.062876
352.50	0.062696
352.75	0.061969
353.00	0.060643
353.25	0.060515
353.50	0.060928
353.75	0.060141
354.00	0.061639
354.25	0.060028
354.50	0.059676
354.75	0.059864
355.00	0.060800
355.25	0.060778
355.50	0.059691
355.75	0.053855
356.00	0.056560
356.25	0.060890
356.50	0.057226
356.75	0.058065
357.00	0.057863
357.25	0.060193
357.50	0.055630
357.75	0.056612
358.00	0.052761
358.25	0.054065
358.50	0.055930
358.75	0.056425
359.00	0.054514
359.25	0.052806
359.50	0.053443
359.75	0.056829
360.00	0.053128
360.25	0.056372
360.50	0.052154
360.75	0.049936
361.00	0.051757
361.25	0.049000
361.50	0.051592
361.75	0.050049
362.00	0.051764
362.25	0.048295
362.50	0.052454
362.75	0.049509
363.00	0.050948
363.25	0.048872
363.50	0.050858
363.75	0.048370
364.00	0.047404
364.25	0.046887
364.50	0.047801
364.75	0.042976
365.00	0.046902
365.25	0.047067
365.50	0.048775
365.75	0.047112
366.00	0.043455
366.25	0.044242
366.50	0.044767
366.75	0.043133
367.00	0.043171
367.25	0.041680
367.50	0.041395
367.75	0.044182
368.00	0.043793
368.25	0.043336
368.50	0.041770
368.75	0.041410
369.00	0.041642
369.25	0.038765
369.50	0.042789
369.75	0.038308
370.00	0.036847
370.25	0.041462
370.50	0.038158
370.75	0.035604
371.00	0.037477
371.25	0.036675
371.50	0.039245
371.75	0.037686
372.00	0.037926
372.25	0.036525
372.50	0.035409
372.75	0.035941
373.00	0.033775
373.25	0.037971
373.50	0.036338
373.75	0.036180
374.00	0.034495
374.25	0.032045
374.50	0.032532
374.75	0.033041
375.00	0.032314
375.25	0.034517
375.50	0.035349
375.75	0.034232
376.00	0.033079
376.25	0.033371
376.50	0.032389
376.75	0.032090
377.00	0.029632
377.25	0.032749
377.50	0.032127
377.75	0.031101
378.00	0.030524
378.25	0.027804
378.50	0.031273
378.75	0.028785
379.00	0.028763
379.25	0.027474
379.50	0.030434
379.75	0.028538
380.00	0.027414
380.25	0.027924
380.50	0.026823
380.75	0.029782
381.00	0.026755
381.25	0.026051
381.50	0.027886
381.75	0.024305
382.00	0.027354
382.25	0.022837
382.50	0.023129
382.75	0.022634
383.00	0.024110
383.25	0.023481
383.50	0.025946
383.75	0.020746
384.00	0.022387
384.25	0.025227
384.50	0.019615
384.75	0.024373
385.00	0.021166
385.25	0.020259
385.50	0.021338
385.75	0.021653
386.00	0.019345
386.25	0.020079
386.50	0.020626
386.75	0.021046
387.00	0.019008
387.25	0.020214
387.50	0.018484
387.75	0.019390
388.00	0.018978
388.25	0.018633
388.50	0.017899
388.75	0.017824
389.00	0.019345
389.25	0.016790
389.50	0.019862
389.75	0.016371
390.00	0.018439
390.25	0.016236
390.50	0.013988
390.75	0.016521
391.00	0.015704
391.25	0.016011
391.50	0.013644
391.75	0.014805
392.00	0.015427
392.25	0.014190
392.50	0.013284
392.75	0.014423
393.00	0.013149
393.25	0.015696
393.50	0.014333
393.75	0.012714
394.00	0.013524
394.25	0.014123
394.50	0.013913
394.75	0.015599
395.00	0.013164
395.25	0.012377
395.50	0.012640
395.75	0.013591
396.00	0.013658
396.25	0.012677
396.50	0.012205
396.75	0.011388
397.00	0.011838
397.25	0.012969
397.50	0.010235
397.75	0.011606
398.00	0.010834
398.25	0.011606
398.50	0.011890
398.75	0.012812
399.00	0.012340
399.25	0.0097925
399.50	0.012025
399.75	0.012280
400.00	0.012093
400.25	0.012272
400.50	0.010796
400.75	0.010684
401.00	0.010669
401.25	0.012430
401.50	0.010010
401.75	0.011291
402.00	0.011478
402.25	0.012400
402.50	0.010722
402.75	0.012190
403.00	0.011508
403.25	0.011508
403.50	0.012160
403.75	0.0093354
404.00	0.010534
404.25	0.010954
404.50	0.010497
404.75	0.010654
405.00	0.011950
405.25	0.010579
405.50	0.012445
405.75	0.010407
406.00	0.011276
406.25	0.013936
406.50	0.011246
406.75	0.0097850
407.00	0.010939
407.25	0.011583
407.50	0.013449
407.75	0.011703
408.00	0.012010
408.25	0.011681
408.50	0.014183
408.75	0.012115
409.00	0.012010
409.25	0.013868
409.50	0.012377
409.75	0.012010
410.00	0.014400
410.25	0.012587
410.50	0.012220
410.75	0.012287
411.00	0.013546
411.25	0.014970
411.50	0.014745
411.75	0.014745
412.00	0.011973
412.25	0.014348
412.50	0.014123
412.75	0.012707
413.00	0.013658
413.25	0.013666
413.50	0.013696
413.75	0.013756
414.00	0.013157
414.25	0.015187
414.50	0.015000
414.75	0.013876
415.00	0.013838
415.25	0.013224
415.50	0.015532
415.75	0.015846
416.00	0.013576
416.25	0.014992
416.50	0.013539
416.75	0.015329
417.00	0.014220
417.25	0.014213
417.50	0.015621
417.75	0.015479
418.00	0.014340
418.25	0.015974
418.50	0.016004
418.75	0.016708
419.00	0.015494
419.25	0.017045
419.50	0.015959
419.75	0.017000
420.00	0.014273
420.25	0.018169
420.50	0.016303
420.75	0.016970
421.00	0.018042
421.25	0.017487
421.50	0.017622
421.75	0.018409
422.00	0.019480
422.25	0.017045
422.50	0.018873
422.75	0.017517
423.00	0.016056
423.25	0.018484
423.50	0.019652
423.75	0.020154
424.00	0.021668
424.25	0.019300
424.50	0.019727
424.75	0.020064
425.00	0.020814
425.25	0.020447
425.50	0.021061
425.75	0.018042
426.00	0.019532
426.25	0.021795
426.50	0.020477
426.75	0.021915
427.00	0.021555
427.25	0.021803
427.50	0.020506
427.75	0.022102
428.00	0.022574
428.25	0.022380
428.50	0.021226
428.75	0.021773
429.00	0.022387
429.25	0.020177
429.50	0.021668
429.75	0.024253
430.00	0.022852
430.25	0.023758
430.50	0.023181
430.75	0.023189
431.00	0.023399
431.25	0.023608
431.50	0.022387
431.75	0.024830
432.00	0.023533
432.25	0.022634
432.50	0.024822
432.75	0.025399
433.00	0.023915
433.25	0.024822
433.50	0.022634
433.75	0.023001
434.00	0.026253
434.25	0.025024
434.50	0.025556
434.75	0.025264
435.00	0.024792
435.25	0.027047
435.50	0.025152
435.75	0.026021
436.00	0.026560
436.25	0.025998
436.50	0.024949
436.75	0.026388
437.00	0.026036
437.25	0.026950
437.50	0.027504
437.75	0.027137
438.00	0.028081
438.25	0.026845
438.50	0.027624
438.75	0.024889
439.00	0.027677
439.25	0.027504
439.50	0.028943
439.75	0.027782
440.00	0.029010
440.25	0.027752
440.50	0.029010
440.75	0.028935
441.00	0.029520
441.25	0.028014
441.50	0.030119
441.75	0.029572
442.00	0.029954
442.25	0.029055
442.50	0.030374
442.75	0.030546
443.00	0.030246
443.25	0.030936
443.50	0.030576
443.75	0.029954
444.00	0.032607
444.25	0.032090
444.50	0.030928
444.75	0.031977
445.00	0.029422
445.25	0.031820
445.50	0.031685
445.75	0.032195
446.00	0.030621
446.25	0.032771
446.50	0.033423
446.75	0.033176
447.00	0.034937
447.25	0.032539
447.50	0.034068
447.75	0.034495
448.00	0.033648
448.25	0.033611
448.50	0.034967
448.75	0.035004
449.00	0.033828
449.25	0.035431
449.50	0.034772
449.75	0.035057
450.00	0.035663
450.25	0.036772
450.50	0.036555
450.75	0.036735
451.00	0.035948
451.25	0.036255
451.50	0.036585
451.75	0.035828
452.00	0.037552
452.25	0.038121
452.50	0.037139
452.75	0.038061
453.00	0.037806
453.25	0.038113
453.50	0.036750
453.75	0.037402
454.00	0.038361
454.25	0.039514
454.50	0.038968
454.75	0.037754
455.00	0.038878
455.25	0.038001
455.50	0.039814
455.75	0.039934
456.00	0.038653
456.25	0.039087
456.50	0.038181
456.75	0.040136
457.00	0.039372
457.25	0.038945
457.50	0.038848
457.75	0.038945
458.00	0.039387
458.25	0.038683
458.50	0.041403
458.75	0.039102
459.00	0.040533
459.25	0.040496
459.50	0.040578
459.75	0.039387
460.00	0.039777
460.25	0.040766
460.50	0.040166
460.75	0.040144
461.00	0.039500
461.25	0.039387
461.50	0.039762
461.75	0.040226
462.00	0.040503
462.25	0.039679
462.50	0.041620
462.75	0.038248
463.00	0.038630
463.25	0.040421
463.50	0.039065
463.75	0.039177
464.00	0.039882
464.25	0.040241
464.50	0.038848
464.75	0.039507
465.00	0.038758
465.25	0.039222
465.50	0.038630
465.75	0.038968
466.00	0.038368
466.25	0.039237
466.50	0.037761
466.75	0.038136
467.00	0.039147
467.25	0.038878
467.50	0.037679
467.75	0.037784
468.00	0.036667
468.25	0.036892
468.50	0.037529
468.75	0.037447
469.00	0.038271
469.25	0.037784
469.50	0.038630
469.75	0.038893
470.00	0.036315
470.25	0.036682
470.50	0.037656
470.75	0.037439
471.00	0.036892
471.25	0.039185
471.50	0.036682
471.75	0.038436
472.00	0.039237
472.25	0.038376
472.50	0.038098
472.75	0.037252
473.00	0.038263
473.25	0.037079
473.50	0.037904
473.75	0.038930
474.00	0.039177
474.25	0.038143
474.50	0.039477
474.75	0.037904
475.00	0.038511
475.25	0.038061
475.50	0.040406
475.75	0.037761
476.00	0.038376
476.25	0.039380
476.50	0.039687
476.75	0.039972
477.00	0.040706
477.25	0.040346
477.50	0.040189
477.75	0.040016
478.00	0.039927
478.25	0.041455
478.50	0.039844
478.75	0.041245
479.00	0.039657
479.25	0.042069
479.50	0.042264
479.75	0.042249
480.00	0.042054
480.25	0.043268
480.50	0.043313
480.75	0.043680
481.00	0.043515
481.25	0.044130
481.50	0.042317
481.75	0.044797
482.00	0.043935
482.25	0.045269
482.50	0.045373
482.75	0.047052
483.00	0.046055
483.25	0.046782
483.50	0.048123
483.75	0.046722
484.00	0.048558
484.25	0.047569
484.50	0.049914
484.75	0.049479
485.00	0.048917
485.25	0.051510
485.50	0.051412
485.75	0.051914
486.00	0.052371
486.25	0.052132
486.50	0.051764
486.75	0.053083
487.00	0.055188
487.25	0.052933
487.50	0.055301
487.75	0.055353
488.00	0.057406
488.25	0.057474
488.50	0.058695
488.75	0.058875
489.00	0.057309
489.25	0.060441
489.50	0.059129
489.75	0.060148
490.00	0.059302
490.25	0.061587
490.50	0.063085
490.75	0.062816
491.00	0.063205
491.25	0.062696
491.50	0.065760
491.75	0.066240
492.00	0.065813
492.25	0.067259
492.50	0.066487
492.75	0.068525
493.00	0.068839
493.25	0.070653
493.50	0.070825
493.75	0.069956
494.00	0.071597
494.25	0.072855
494.50	0.073769
494.75	0.076369
495.00	0.074863
495.25	0.075875
495.50	0.076564
495.75	0.078497
496.00	0.077246
496.25	0.080085
496.50	0.080527
496.75	0.081157
497.00	0.081966
497.25	0.083247
497.50	0.084798
497.75	0.084558
498.00	0.086259
498.25	0.085285
498.50	0.086671
498.75	0.088057
499.00	0.089810
499.25	0.090005
499.50	0.092126
499.75	0.092665
500.00	0.092111
500.25	0.094695
500.50	0.095078
500.75	0.096501
501.00	0.096539
501.25	0.098749
501.50	0.099888
501.75	0.099438
502.00	0.10135
502.25	0.10133
502.50	0.10394
502.75	0.10569
503.00	0.10620
503.25	0.10715
503.50	0.10847
503.75	0.10868
504.00	0.10889
504.25	0.11353
504.50	0.11348
504.75	0.11330
505.00	0.11556
505.25	0.11657
505.50	0.12042
505.75	0.11755
506.00	0.12222
506.25	0.12123
506.50	0.12163
506.75	0.12460
507.00	0.12520
507.25	0.12814
507.50	0.12847
507.75	0.12747
508.00	0.13157
508.25	0.13157
508.50	0.13437
508.75	0.13555
509.00	0.13584
509.25	0.13785
509.50	0.13951
509.75	0.13946
510.00	0.14205
510.25	0.14184
510.50	0.14417
510.75	0.14741
511.00	0.14821
511.25	0.15066
511.50	0.15081
511.75	0.15369
512.00	0.15248
512.25	0.15566
512.50	0.15911
512.75	0.16100
513.00	0.16225
513.25	0.16376
513.50	0.16589
513.75	0.16574
514.00	0.16744
514.25	0.17043
514.50	0.17265
514.75	0.17580
515.00	0.17551
515.25	0.17940
515.50	0.18001
515.75	0.18331
516.00	0.18721
516.25	0.18765
516.50	0.18934
516.75	0.19249
517.00	0.19616
517.25	0.19837
517.50	0.19855
517.75	0.20071
518.00	0.20414
518.25	0.20699
518.50	0.20945
518.75	0.20909
519.00	0.21283
519.25	0.21576
519.50	0.21782
519.75	0.21728
520.00	0.22212
520.25	0.22405
520.50	0.22654
520.75	0.22984
521.00	0.23022
521.25	0.23356
521.50	0.23882
521.75	0.24026
522.00	0.24086
522.25	0.24426
522.50	0.24728
522.75	0.24839
523.00	0.25367
523.25	0.25469
523.50	0.25893
523.75	0.25998
524.00	0.26433
524.25	0.26826
524.50	0.26790
524.75	0.27247
525.00	0.27478
525.25	0.27962
525.50	0.28158
525.75	0.28416
526.00	0.28582
526.25	0.28761
526.50	0.29311
526.75	0.29421
527.00	0.29749
527.25	0.30081
527.50	0.30506
527.75	0.30661
528.00	0.31022
528.25	0.31262
528.50	0.31495
528.75	0.32110
529.00	0.32232
529.25	0.32580
529.50	0.32777
529.75	0.33135
530.00	0.33557
530.25	0.33593
530.50	0.34089
530.75	0.34161
531.00	0.34548
531.25	0.34937
531.50	0.35191
531.75	0.35449
532.00	0.35821
532.25	0.36317
532.50	0.36291
532.75	0.36722
533.00	0.36956
533.25	0.37127
533.50	0.37540
533.75	0.37426
534.00	0.38120
534.25	0.37835
534.50	0.38379
534.75	0.38476
535.00	0.38917
535.25	0.39071
535.50	0.39476
535.75	0.39746
536.00	0.40007
536.25	0.40384
536.50	0.40446
536.75	0.40896
537.00	0.41132
537.25	0.41287
537.50	0.41805
537.75	0.41695
538.00	0.42215
538.25	0.42312
538.50	0.42729
538.75	0.42898
539.00	0.43088
539.25	0.43721
539.50	0.43855
539.75	0.44023
540.00	0.44271
540.25	0.44439
540.50	0.44979
540.75	0.45069
541.00	0.45175
541.25	0.45442
541.50	0.45935
541.75	0.45978
542.00	0.46246
542.25	0.46587
542.50	0.46859
542.75	0.47226
543.00	0.47369
543.25	0.47677
543.50	0.48106
543.75	0.48397
544.00	0.48558
544.25	0.48762
544.50	0.49026
544.75	0.49124
545.00	0.49573
545.25	0.49932
545.50	0.49956
545.75	0.50225
546.00	0.50659
546.25	0.51182
546.50	0.51263
546.75	0.51580
547.00	0.51532
547.25	0.51930
547.50	0.52459
547.75	0.52735
548.00	0.53069
548.25	0.53031
548.50	0.53681
548.75	0.53727
549.00	0.54080
549.25	0.54368
549.50	0.54695
549.75	0.54997
550.00	0.55538
550.25	0.55760
550.50	0.55924
550.75	0.56275
551.00	0.56831
551.25	0.57122
551.50	0.57575
551.75	0.57587
552.00	0.58343
552.25	0.58533
552.50	0.58965
552.75	0.59280
553.00	0.59701
553.25	0.60145
553.50	0.60349
553.75	0.61022
554.00	0.61251
554.25	0.61706
554.50	0.62177
554.75	0.62327
555.00	0.62987
555.25	0.63491
555.50	0.64164
555.75	0.64655
556.00	0.65054
556.25	0.65529
556.50	0.66153
556.75	0.66404
557.00	0.66837
557.25	0.67509
557.50	0.67690
557.75	0.68348
558.00	0.68818
558.25	0.69324
558.50	0.69472
558.75	0.70426
559.00	0.70861
559.25	0.71027
559.50	0.71784
559.75	0.72423
560.00	0.72637
560.25	0.73236
560.50	0.73682
560.75	0.74450
561.00	0.75021
561.25	0.75341
561.50	0.75965
561.75	0.76706
562.00	0.77198
562.25	0.77722
562.50	0.78140
562.75	0.78722
563.00	0.79464
563.25	0.79634
563.50	0.80492
563.75	0.81065
564.00	0.81691
564.25	0.82184
564.50	0.83005
564.75	0.83466
565.00	0.84048
565.25	0.84659
565.50	0.84918
565.75	0.85731
566.00	0.86306
566.25	0.86960
566.50	0.87357
566.75	0.87920
567.00	0.88657
567.25	0.89256
567.50	0.89333
567.75	0.90429
568.00	0.90725
568.25	0.91361
568.50	0.91553
568.75	0.92368
569.00	0.92833
569.25	0.93197
569.50	0.93966
569.75	0.94040
570.00	0.94731
570.25	0.95460
570.50	0.95492
570.75	0.96239
571.00	0.96402
571.25	0.96718
571.50	0.96960
571.75	0.97184
572.00	0.97735
572.25	0.98114
572.50	0.98320
572.75	0.98515
573.00	0.98570
573.25	0.98829
573.50	0.98800
573.75	0.98972
574.00	0.99029
574.25	0.99278
574.50	0.99768
574.75	0.99538
575.00	0.99942
575.25	0.99662
575.50	1.0000
575.75	0.99832
576.00	0.99906
576.25	0.99600
576.50	0.99814
576.75	0.99332
577.00	0.99335
577.25	0.99371
577.50	0.99013
577.75	0.98992
578.00	0.98851
578.25	0.98431
578.50	0.98286
578.75	0.97998
579.00	0.97749
579.25	0.97616
579.50	0.97267
579.75	0.96776
580.00	0.96622
580.25	0.96329
580.50	0.95785
580.75	0.95582
581.00	0.94698
581.25	0.94709
581.50	0.94001
581.75	0.93639
582.00	0.93503
582.25	0.92836
582.50	0.92601
582.75	0.91711
583.00	0.91337
583.25	0.90742
583.50	0.90346
583.75	0.89714
584.00	0.89325
584.25	0.88876
584.50	0.87889
584.75	0.87584
585.00	0.86913
585.25	0.86379
585.50	0.85697
585.75	0.85175
586.00	0.84616
586.25	0.83927
586.50	0.83177
586.75	0.82529
587.00	0.82158
587.25	0.81253
587.50	0.80735
587.75	0.79718
588.00	0.79058
588.25	0.78721
588.50	0.77479
588.75	0.77113
589.00	0.76407
589.25	0.75598
589.50	0.74816
589.75	0.73921
590.00	0.73221
590.25	0.72311
590.50	0.71627
590.75	0.70883
591.00	0.70013
591.25	0.69212
591.50	0.68416
591.75	0.67618
592.00	0.66717
592.25	0.65787
592.50	0.65019
592.75	0.64107
593.00	0.63255
593.25	0.62547
593.50	0.61727
593.75	0.60657
594.00	0.60057
594.25	0.58981
594.50	0.57969
594.75	0.57180
595.00	0.55856
595.25	0.54940
595.50	0.53589
595.75	0.53001
596.00	0.51802
596.25	0.51086
596.50	0.50264
596.75	0.49358
597.00	0.48603
597.25	0.47522
597.50	0.47008
597.75	0.46277
598.00	0.45264
598.25	0.44656
598.50	0.43521
598.75	0.42857
599.00	0.42003
599.25	0.41115
599.50	0.40500
599.75	0.39960
600.00	0.39135
600.25	0.38385
600.50	0.37710
600.75	0.36939
601.00	0.36147
601.25	0.35397
601.50	0.34684
601.75	0.34289
602.00	0.33423
602.25	0.32921
602.50	0.32090
602.75	0.31442
603.00	0.30888
603.25	0.29957
603.50	0.29471
603.75	0.28871
604.00	0.28397
604.25	0.27636
604.50	0.27068
604.75	0.26559
605.00	0.25934
605.25	0.25322
605.50	0.24627
605.75	0.24233
606.00	0.23633
606.25	0.23352
606.50	0.22445
606.75	0.22166
607.00	0.21630
607.25	0.21062
