Wavelength (nm)	J04 abs N
625.00	0.0036664
626.00	0.0039143
627.00	0.0038707
628.00	0.0040105
629.00	0.0040320
630.00	0.0041543
631.00	0.0041254
632.00	0.0041985
633.00	0.0039753
634.00	0.0040409
635.00	0.0042954
636.00	0.0040411
637.00	0.0042775
638.00	0.0042317
639.00	0.0041934
640.00	0.0041806
641.00	0.0042680
642.00	0.0039398
643.00	0.0039669
644.00	0.0040309
645.00	0.0035300
646.00	0.0039907
647.00	0.0041549
648.00	0.0033512
649.00	0.0035634
650.00	0.0041000
