Wavelength (nm)	A06 abs1 N
235.00	0.22507
236.00	0.17098
237.00	0.14691
238.00	0.13894
239.00	0.14137
240.00	0.15017
241.00	0.16271
242.00	0.17914
243.00	0.19704
244.00	0.21742
245.00	0.24210
246.00	0.27090
247.00	0.30180
248.00	0.33350
249.00	0.36397
250.00	0.39901
251.00	0.42727
252.00	0.46261
253.00	0.49913
254.00	0.54532
255.00	0.60538
256.00	0.65822
257.00	0.67406
258.00	0.71999
259.00	0.76325
260.00	0.75034
261.00	0.78579
262.00	0.84240
263.00	0.86104
264.00	0.89246
265.00	1.0000
266.00	0.98581
267.00	0.91566
268.00	0.89362
269.00	0.79181
270.00	0.66988
271.00	0.71268
272.00	0.86846
273.00	0.81173
274.00	0.63001
275.00	0.50369
276.00	0.39454
277.00	0.27657
278.00	0.18511
279.00	0.13746
280.00	0.10210
281.00	0.065685
282.00	0.039511
283.00	0.024716
284.00	0.016745
285.00	0.012112
286.00	0.0092097
287.00	0.0074370
288.00	0.0063758
289.00	0.0056426
290.00	0.0050832
291.00	0.0044278
292.00	0.0042722
293.00	0.0037403
294.00	0.0037238
295.00	0.0032452
296.00	0.0031508
297.00	0.0027982
298.00	0.0027505
299.00	0.0026189
300.00	0.0024161
