Wavelength (nm)	K19 ems
726.50	0.11610
727.00	0.074590
727.50	0.087384
728.00	0.067625
728.50	0.087853
729.00	0.074445
729.50	0.10166
730.00	0.091135
730.50	0.087259
731.00	0.096954
731.50	0.069404
732.00	0.11288
732.50	0.076540
733.00	0.077057
733.50	0.12302
734.00	0.068626
734.50	0.11513
735.00	0.10071
735.50	0.10375
736.00	0.12302
736.50	0.075739
737.00	0.10325
737.50	0.080800
738.00	0.069681
738.50	0.092638
739.00	0.066331
739.50	0.10389
740.00	0.10706
740.50	0.067541
741.00	0.087737
741.50	0.067501
742.00	0.081838
742.50	0.056930
743.00	0.064318
743.50	0.11256
744.00	0.048142
744.50	0.070843
745.00	0.054118
745.50	0.098893
746.00	0.052930
746.50	0.098216
747.00	0.058163
747.50	0.044569
748.00	0.065369
748.50	0.030053
749.00	0.067057
749.50	0.10827
750.00	0.079273
