Wavelength (nm)	K07 ems
636.00	0.014538
636.50	0.014189
637.00	0.013848
637.50	0.013437
638.00	0.013178
638.50	0.013319
639.00	0.013337
639.50	0.012934
640.00	0.012374
640.50	0.012021
641.00	0.012323
641.50	0.011166
642.00	0.012219
642.50	0.011716
643.00	0.011684
643.50	0.011288
644.00	0.011132
644.50	0.011070
645.00	0.011075
645.50	0.011279
646.00	0.010446
646.50	0.0098987
647.00	0.010008
647.50	0.0098298
648.00	0.0098287
648.50	0.0099573
649.00	0.0098100
649.50	0.0092677
650.00	0.0091195
650.50	0.0091135
651.00	0.0090170
651.50	0.0091314
652.00	0.0093768
652.50	0.0087590
653.00	0.0086055
653.50	0.0084741
654.00	0.0082042
654.50	0.0084207
655.00	0.0082610
655.50	0.0080798
656.00	0.0079294
656.50	0.0079008
657.00	0.0078384
657.50	0.0075381
658.00	0.0077361
658.50	0.0073646
659.00	0.0075798
659.50	0.0072417
660.00	0.0074024
660.50	0.0072675
661.00	0.0069290
661.50	0.0075585
662.00	0.0067661
662.50	0.0062797
663.00	0.0066383
663.50	0.0065025
664.00	0.0066040
664.50	0.0063152
665.00	0.0061528
665.50	0.0064036
666.00	0.0061105
666.50	0.0059044
667.00	0.0056500
667.50	0.0057184
668.00	0.0054732
668.50	0.0056150
669.00	0.0056646
669.50	0.0057004
670.00	0.0052972
670.50	0.0051250
671.00	0.0054950
671.50	0.0059171
672.00	0.0058072
672.50	0.0056518
673.00	0.0055236
673.50	0.0050786
674.00	0.0056969
674.50	0.0051524
675.00	0.0047915
675.50	0.0050162
676.00	0.0049595
676.50	0.0047541
677.00	0.0048996
677.50	0.0045104
678.00	0.0043808
678.50	0.0041556
679.00	0.0049551
679.50	0.0044716
680.00	0.0042529
680.50	0.0047807
681.00	0.0046224
681.50	0.0041863
682.00	0.0042010
682.50	0.0038383
683.00	0.0046643
683.50	0.0040782
684.00	0.0039411
684.50	0.0041436
685.00	0.0037344
685.50	0.0041099
686.00	0.0038797
686.50	0.0037611
687.00	0.0040796
687.50	0.0042914
688.00	0.0033414
688.50	0.0036389
689.00	0.0036082
689.50	0.0033205
690.00	0.0033049
690.50	0.0035317
691.00	0.0039130
691.50	0.0029968
692.00	0.0035205
692.50	0.0035243
693.00	0.0033036
693.50	0.0033244
694.00	0.0037048
694.50	0.0033977
695.00	0.0036359
695.50	0.0028179
696.00	0.0035358
696.50	0.0037222
697.00	0.0031236
697.50	0.0033420
698.00	0.0035432
698.50	0.0035126
699.00	0.0032255
699.50	0.0030564
700.00	0.0034370
