Wavelength (nm)	Q29 abs  N
512.00	0.0056333
513.00	0.0056780
514.00	0.0057003
515.00	0.0057226
516.00	0.0057822
517.00	0.0058864
518.00	0.0060054
519.00	0.0061022
520.00	0.0061915
521.00	0.0063849
522.00	0.0067273
523.00	0.0069207
524.00	0.0072258
525.00	0.0074417
526.00	0.0077319
527.00	0.0079254
528.00	0.0081858
529.00	0.0083123
530.00	0.0084463
531.00	0.0085430
532.00	0.0087365
533.00	0.0088779
534.00	0.0089746
535.00	0.0090788
536.00	0.0092128
537.00	0.0091979
538.00	0.0094435
539.00	0.0093765
540.00	0.0094658
541.00	0.0095253
542.00	0.0095997
543.00	0.0096444
544.00	0.0095997
545.00	0.0096221
546.00	0.0097337
547.00	0.0097635
548.00	0.0098007
549.00	0.0098081
550.00	0.0099272
551.00	0.0098974
552.00	0.010076
553.00	0.010262
554.00	0.010322
555.00	0.010463
556.00	0.010813
557.00	0.011140
558.00	0.011602
559.00	0.011989
560.00	0.012703
561.00	0.013462
562.00	0.014340
563.00	0.015434
564.00	0.016744
565.00	0.018314
566.00	0.019936
567.00	0.022005
568.00	0.024223
569.00	0.026485
570.00	0.028918
571.00	0.031225
572.00	0.033569
573.00	0.035951
574.00	0.038079
575.00	0.040133
576.00	0.041949
577.00	0.043653
578.00	0.045163
579.00	0.046436
580.00	0.047545
581.00	0.048512
582.00	0.049204
583.00	0.049733
584.00	0.049859
585.00	0.049956
586.00	0.049785
587.00	0.049241
588.00	0.048668
589.00	0.047902
590.00	0.047150
591.00	0.046309
592.00	0.045327
593.00	0.044471
594.00	0.043638
595.00	0.043065
596.00	0.042403
597.00	0.042053
598.00	0.041658
599.00	0.041636
600.00	0.041748
601.00	0.042068
602.00	0.042603
603.00	0.043504
604.00	0.044672
605.00	0.046064
606.00	0.047880
607.00	0.050224
608.00	0.052977
609.00	0.056445
610.00	0.060508
611.00	0.065516
612.00	0.071299
613.00	0.078189
614.00	0.086204
615.00	0.095506
616.00	0.10623
617.00	0.11863
618.00	0.13263
619.00	0.14822
620.00	0.16528
621.00	0.18382
622.00	0.20343
623.00	0.22386
624.00	0.24421
625.00	0.26390
626.00	0.28252
627.00	0.29919
628.00	0.31351
629.00	0.32488
630.00	0.33302
631.00	0.33752
632.00	0.33878
633.00	0.33643
634.00	0.33089
635.00	0.32228
636.00	0.31123
637.00	0.29772
638.00	0.28246
639.00	0.26572
640.00	0.24819
641.00	0.23022
642.00	0.21212
643.00	0.19415
644.00	0.17677
645.00	0.16001
646.00	0.14432
647.00	0.12952
648.00	0.11584
649.00	0.10334
650.00	0.092076
651.00	0.081881
652.00	0.072839
653.00	0.064594
654.00	0.057360
655.00	0.050946
656.00	0.045342
657.00	0.040364
658.00	0.035832
659.00	0.032029
660.00	0.028650
661.00	0.025644
662.00	0.023032
663.00	0.020762
664.00	0.018805
665.00	0.017079
666.00	0.015471
667.00	0.014161
668.00	0.012859
669.00	0.011832
670.00	0.010828
671.00	0.010016
672.00	0.0092425
673.00	0.0085430
674.00	0.0079700
675.00	0.0073896
676.00	0.0068687
677.00	0.0064296
678.00	0.0060650
679.00	0.0056557
680.00	0.0052910
681.00	0.0049636
682.00	0.0047478
683.00	0.0044650
684.00	0.0042194
685.00	0.0039962
686.00	0.0037655
687.00	0.0036464
688.00	0.0034008
689.00	0.0032371
690.00	0.0030436
691.00	0.0029469
692.00	0.0028502
693.00	0.0026195
694.00	0.0025227
695.00	0.0026269
696.00	0.0023888
697.00	0.0023144
698.00	0.0022697
699.00	0.0021358
700.00	0.0019944
701.00	0.0020167
702.00	0.0020613
703.00	0.0019795
704.00	0.0017934
705.00	0.0017711
706.00	0.0017041
707.00	0.0017562
708.00	0.0016595
709.00	0.0016148
710.00	0.0016148
711.00	0.0016744
712.00	0.0016223
713.00	0.0016000
714.00	0.0016595
715.00	0.0015553
716.00	0.0016372
717.00	0.0014958
718.00	0.0015553
719.00	0.0015925
720.00	0.0015255
721.00	0.0015776
722.00	0.0016000
723.00	0.0016000
724.00	0.0015181
725.00	0.0016074
726.00	0.0016595
727.00	0.0016669
728.00	0.0016446
729.00	0.0016372
730.00	0.0015702
731.00	0.0016297
732.00	0.0017413
733.00	0.0017190
