Wavelength (nm)	D01 abs N
308.25	0.020305
308.50	0.017083
308.75	0.016744
309.00	0.015624
309.25	0.015379
309.50	0.016917
309.75	0.011524
310.00	0.011496
310.25	0.014958
310.50	0.013027
310.75	0.010614
311.00	0.010013
311.25	0.012641
311.50	0.014675
311.75	0.0077297
312.00	0.011859
312.25	0.011232
312.50	0.014143
312.75	0.011955
313.00	0.0079563
313.25	0.0076090
313.50	0.0087845
313.75	0.014099
314.00	0.014157
314.25	0.0084118
314.50	0.011748
314.75	0.011042
315.00	0.011307
315.25	0.013578
315.50	0.012334
315.75	0.0066517
316.00	0.0094231
316.25	0.010742
316.50	0.0098281
316.75	0.010888
317.00	0.0078658
317.25	0.013076
317.50	0.0089087
317.75	0.010339
318.00	0.0076132
318.25	0.010128
318.50	0.014087
318.75	0.012719
319.00	0.010337
319.25	0.016043
319.50	0.010420
319.75	0.0080413
320.00	0.0091796
320.25	0.0063401
320.50	0.0087241
320.75	0.0062980
321.00	0.0097179
321.25	0.0052979
321.50	0.011196
321.75	0.013070
322.00	0.0087529
322.25	0.0016984
322.50	0.014217
322.75	0.0068770
323.00	0.011005
323.25	0.0046558
323.50	0.0051583
323.75	0.0079423
324.00	0.0060285
324.25	0.0083781
324.50	0.010364
324.75	0.011133
325.00	0.0074875
325.25	0.0045919
325.50	0.0092708
325.75	0.0060867
326.00	0.0036564
326.25	0.0072166
326.50	0.0082097
326.75	0.0072265
327.00	0.0098807
327.25	0.0090259
327.50	0.0086624
327.75	0.0043175
328.00	0.0074377
328.25	0.0070959
328.50	0.010969
328.75	-0.00024563
329.00	0.0059829
329.25	0.0062453
329.50	0.0059955
329.75	0.0048474
330.00	0.013754
330.25	0.0072847
330.50	0.0044214
330.75	-0.0012759
331.00	0.0064019
331.25	0.0070447
331.50	0.0084336
331.75	0.0076265
332.00	0.0036332
332.25	0.0063331
332.50	0.0044572
332.75	0.0080104
333.00	0.0037785
333.25	0.0064545
333.50	0.0090041
333.75	0.0069387
334.00	0.0084287
334.25	0.0073458
334.50	0.0051021
334.75	0.0015692
335.00	0.0051470
335.25	0.0091417
335.50	0.0055688
335.75	0.0062138
336.00	0.0050712
336.25	0.0043645
336.50	0.0042873
336.75	0.013367
337.00	0.0036262
337.25	0.0057667
337.50	0.0065605
337.75	0.0055730
338.00	0.00096077
338.25	0.0017763
338.50	0.0061962
338.75	0.0083030
339.00	0.0050347
339.25	0.0022633
339.50	0.0011678
339.75	0.0047175
340.00	0.0084406
340.25	0.0024247
340.50	0.0064510
340.75	0.0058973
341.00	-0.00036775
341.25	0.0036487
341.50	0.0066496
341.75	0.0028774
342.00	0.0077430
342.25	0.0026107
342.50	0.0061766
342.75	0.0087971
343.00	0.0041919
343.25	0.012397
343.50	0.010669
343.75	0.0054895
344.00	0.0047610
344.25	0.0014647
344.50	0.0066391
344.75	0.0082560
345.00	0.0050207
345.25	0.0045007
345.50	0.0049189
345.75	-0.0028079
346.00	0.0059955
346.25	0.0095642
346.50	0.0073198
346.75	0.0069387
347.00	0.0024535
347.25	0.0035209
347.50	0.0017257
347.75	0.0074096
348.00	0.0050032
348.25	0.0072251
348.50	0.0054032
348.75	0.0076160
349.00	0.0032304
349.25	0.0019749
349.50	0.0033062
349.75	-0.0024051
350.00	0.0010520
350.25	-0.0012464
350.50	0.0022717
350.75	0.00051091
351.00	-0.00097972
351.25	0.00058952
351.50	0.0013622
351.75	0.0035266
352.00	-0.0023117
352.25	-0.0039448
352.50	0.00048495
352.75	0.0017819
353.00	-0.0011882
353.25	0.00035581
353.50	-0.00041406
353.75	-0.0010190
354.00	0.0026795
354.25	0.0014373
354.50	-0.0027918
354.75	0.0023651
355.00	-0.00022528
355.25	-0.0010169
355.50	0.00023721
355.75	0.00085269
356.00	0.0020156
356.25	-0.00094954
356.50	0.0026886
356.75	0.0019194
357.00	-0.00067794
357.25	0.00044494
357.50	-0.00099726
357.75	0.0017819
358.00	-1.6843e-05
358.25	-0.0018808
358.50	0.00085339
358.75	-0.00080567
359.00	0.0020156
359.25	0.0020479
359.50	-0.00024633
359.75	-0.00079374
360.00	0.00022668
360.25	0.00065759
360.50	-0.00082532
360.75	-0.00089410
361.00	2.1756e-05
361.25	-0.00076567
361.50	0.0011236
361.75	0.0024332
362.00	0.0017685
362.25	0.0016738
362.50	-0.00016212
362.75	-0.0012850
363.00	0.0019805
363.25	0.0022381
363.50	0.0012766
363.75	0.00037476
364.00	0.00096217
364.25	-0.0011145
364.50	0.00014247
364.75	0.00054600
365.00	0.00031581
365.25	-0.00078041
365.50	-0.0015131
365.75	-0.00041196
366.00	-0.0012794
366.25	0.0020149
366.50	0.00041757
366.75	0.0011552
367.00	0.0011152
367.25	0.0015503
367.50	0.0014183
367.75	-0.0015720
368.00	-0.00025125
368.25	-0.0013587
368.50	0.0049091
368.75	0.00088778
369.00	0.0016282
369.25	0.0017868
369.50	-0.00018738
369.75	0.00068215
370.00	-0.0015755
370.25	0.0031546
370.50	0.0030065
370.75	0.00055162
371.00	0.0023588
371.25	0.0013819
371.50	-0.00049618
371.75	0.0016036
372.00	0.0021861
372.25	0.0029104
372.50	0.0029658
372.75	-0.00023370
373.00	0.0018296
373.25	0.00053197
373.50	0.0016303
373.75	0.00069268
374.00	0.0034739
374.25	0.0015131
374.50	0.0029665
374.75	0.00027862
375.00	0.0012134
375.25	0.0017215
375.50	-0.0035490
375.75	0.00050881
376.00	0.0035939
376.25	0.0015019
376.50	0.00040424
376.75	-0.00028142
377.00	0.0021258
377.25	0.0014183
377.50	0.00045547
377.75	-0.00070040
378.00	0.0032774
378.25	0.0020563
378.50	0.00030107
378.75	-0.00045196
379.00	0.0010092
379.25	0.0028311
379.50	0.00042389
379.75	0.0041308
380.00	-0.0010857
380.25	0.00062110
380.50	-0.00021194
380.75	0.0037259
381.00	-0.00048986
381.25	0.0028865
381.50	0.00053197
381.75	0.0010787
382.00	9.4042e-05
382.25	0.0018661
382.50	0.00049688
382.75	0.0023314
383.00	0.00033336
383.25	0.0025539
383.50	-0.0018514
383.75	0.0010281
384.00	0.00071163
384.25	0.0018247
384.50	-0.00067092
384.75	0.00013685
385.00	0.0023742
385.25	0.0011966
385.50	0.0034332
385.75	0.0018001
386.00	0.0012843
386.25	0.0030030
386.50	0.00017545
386.75	0.00056776
387.00	0.00017264
387.25	0.0030199
387.50	0.00019651
387.75	0.00069408
388.00	-0.00041687
388.25	0.0020303
388.50	-0.00033616
388.75	-0.00096077
389.00	-0.00042319
389.25	0.0018015
389.50	0.00015159
389.75	0.0020928
390.00	0.00085059
390.25	-0.0018142
390.50	0.0014668
390.75	-0.0010317
391.00	0.0014331
391.25	0.00076286
391.50	0.0022724
391.75	0.00049196
392.00	0.00076988
392.25	0.0022345
392.50	0.0025833
392.75	0.0027834
393.00	0.0019440
393.25	-0.0018380
393.50	0.0018022
393.75	-0.0025637
394.00	0.00046951
394.25	0.0026739
394.50	0.0016219
394.75	-0.0018528
395.00	0.0020415
395.25	0.00010387
395.50	0.00078391
395.75	-0.00016492
396.00	-0.00018668
396.25	-3.9301e-05
396.50	-6.6671e-05
396.75	0.00076777
397.00	0.00031792
397.25	0.00081550
397.50	0.0016556
397.75	-0.00011860
398.00	0.0021363
398.25	-0.00073268
398.50	-0.00021826
398.75	0.0020773
399.00	0.0022893
399.25	0.0022282
399.50	0.0012969
399.75	0.0012920
400.00	0.0010295
