Wavelength (nm)	G21 abs N
559.00	0.0059144
560.00	0.0055807
561.00	0.0054406
562.00	0.0057957
563.00	0.0055557
564.00	0.0057886
565.00	0.0059985
566.00	0.0062624
567.00	0.0060810
568.00	0.0051028
569.00	0.0049377
570.00	0.0059379
571.00	0.0052250
572.00	0.0043981
573.00	0.0046391
574.00	0.0051165
575.00	0.0052042
576.00	0.0046279
577.00	0.0051935
578.00	0.0041107
579.00	0.0041479
580.00	0.0044694
581.00	0.0038279
582.00	0.0035773
583.00	0.0039660
584.00	0.0013660
585.00	0.0012545
586.00	0.0015351
587.00	0.0026744
588.00	0.0014230
589.00	0.0011938
590.00	0.00055684
591.00	0.00087223
592.00	0.0016584
593.00	0.0011056
594.00	0.0011968
595.00	0.0014490
596.00	0.00097210
597.00	0.0013028
598.00	0.0011565
599.00	0.00092354
600.00	0.0017417
601.00	0.0018189
602.00	0.0012539
603.00	0.0010985
604.00	0.0014465
605.00	0.0017512
606.00	0.0023473
607.00	0.0020854
608.00	0.0013145
609.00	0.0014383
610.00	0.00066078
611.00	0.00061617
612.00	0.00062458
613.00	0.00054004
614.00	0.0011881
615.00	0.00060720
616.00	0.00058596
617.00	0.00062901
618.00	0.00073568
619.00	0.00056461
620.00	0.00075867
621.00	0.00065976
622.00	0.00055156
623.00	0.0010928
624.00	0.00067636
625.00	0.00057315
626.00	0.0010144
627.00	0.00076982
628.00	0.00073561
629.00	0.00096395
630.00	0.00064637
631.00	0.00092624
632.00	0.0011167
633.00	0.00076319
634.00	0.00086462
635.00	0.00087388
636.00	0.00078502
637.00	0.0013344
638.00	0.00076422
639.00	0.00076378
640.00	0.00080907
641.00	0.00075079
642.00	0.00086486
643.00	0.00085076
644.00	0.00035398
645.00	0.00090395
646.00	0.00056533
647.00	0.00081468
648.00	0.00087460
649.00	0.00062349
650.00	0.0010118
651.00	0.0014922
652.00	0.0013466
653.00	0.0012835
654.00	0.00098936
655.00	0.00058000
656.00	0.00035446
657.00	0.00038051
658.00	0.0012349
659.00	0.0010535
660.00	0.0014701
661.00	0.0011472
662.00	0.00063514
663.00	0.00087439
664.00	0.00088030
665.00	0.00067092
666.00	0.0015783
667.00	0.0012100
668.00	0.00078388
669.00	0.00087531
670.00	0.00089024
671.00	0.00086874
672.00	0.00080138
673.00	0.0019759
674.00	0.0011916
675.00	0.0012033
676.00	0.0012003
677.00	0.0017700
678.00	0.00079830
679.00	0.0014944
680.00	0.0011703
681.00	0.0014373
682.00	0.0016090
683.00	0.0019911
684.00	0.0019055
685.00	0.00094611
686.00	0.00059019
687.00	0.0011902
688.00	0.0011708
689.00	0.0018632
690.00	0.0020090
691.00	0.00081262
692.00	0.00062132
693.00	0.00090637
694.00	0.00095529
695.00	0.0019407
696.00	0.0017287
697.00	0.00082485
698.00	0.00058336
699.00	0.00097974
700.00	0.0012462
