Wavelength (nm)	Q15 abs N
385.75	0.20150
386.00	0.20158
386.25	0.20446
386.50	0.20707
386.75	0.20677
387.00	0.21060
387.25	0.21432
387.50	0.21513
387.75	0.21463
388.00	0.21783
388.25	0.22147
388.50	0.22114
388.75	0.22834
389.00	0.22998
389.25	0.23182
389.50	0.23706
389.75	0.23576
390.00	0.23804
390.25	0.24303
390.50	0.24357
390.75	0.24817
391.00	0.25058
391.25	0.25595
391.50	0.25950
391.75	0.26330
392.00	0.26758
392.25	0.27080
392.50	0.27615
392.75	0.28158
393.00	0.28517
393.25	0.28907
393.50	0.29527
393.75	0.29892
394.00	0.30284
394.25	0.30819
394.50	0.31219
394.75	0.31912
395.00	0.32107
395.25	0.32589
395.50	0.32922
395.75	0.33621
396.00	0.33797
396.25	0.34278
396.50	0.34918
396.75	0.35437
397.00	0.35830
397.25	0.36520
397.50	0.36556
397.75	0.37111
398.00	0.37596
398.25	0.37894
398.50	0.38406
398.75	0.38760
399.00	0.39113
399.25	0.39649
399.50	0.39789
399.75	0.40413
400.00	0.40788
400.25	0.41146
400.50	0.41704
400.75	0.42174
401.00	0.42187
401.25	0.43157
401.50	0.43467
401.75	0.43717
402.00	0.44395
402.25	0.44816
402.50	0.45338
402.75	0.45392
403.00	0.45940
403.25	0.46291
403.50	0.46991
403.75	0.47620
404.00	0.47972
404.25	0.48652
404.50	0.49245
404.75	0.49807
405.00	0.49873
405.25	0.51065
405.50	0.51304
405.75	0.51692
406.00	0.52633
406.25	0.52950
406.50	0.54081
406.75	0.54676
407.00	0.55161
407.25	0.55877
407.50	0.56383
407.75	0.57502
408.00	0.58322
408.25	0.58782
408.50	0.59835
408.75	0.61058
409.00	0.61618
409.25	0.62421
409.50	0.63358
409.75	0.64332
410.00	0.65498
410.25	0.66051
410.50	0.67275
410.75	0.68100
411.00	0.69351
411.25	0.70309
411.50	0.71269
411.75	0.71998
412.00	0.72449
412.25	0.73108
412.50	0.74133
412.75	0.75328
413.00	0.76136
413.25	0.77220
413.50	0.78223
413.75	0.78871
414.00	0.80458
414.25	0.81612
414.50	0.82993
414.75	0.83915
415.00	0.84946
415.25	0.85737
415.50	0.87397
415.75	0.87823
416.00	0.89187
416.25	0.90181
416.50	0.90993
416.75	0.92383
417.00	0.93204
417.25	0.94354
417.50	0.94503
417.75	0.95388
418.00	0.96047
418.25	0.96203
418.50	0.97162
418.75	0.97984
419.00	0.98786
419.25	0.99015
419.50	0.98923
419.75	0.99434
420.00	0.98921
420.25	0.99368
420.50	0.99591
420.75	1.0000
421.00	0.99810
421.25	0.99163
421.50	0.99089
421.75	0.98654
422.00	0.98401
422.25	0.98167
422.50	0.97875
422.75	0.97087
423.00	0.96440
423.25	0.95616
423.50	0.94532
423.75	0.93403
424.00	0.93042
424.25	0.91954
424.50	0.90930
424.75	0.89985
425.00	0.88937
425.25	0.87921
425.50	0.86978
425.75	0.85413
426.00	0.84546
426.25	0.83548
426.50	0.81952
426.75	0.80642
427.00	0.79414
427.25	0.78098
427.50	0.76452
427.75	0.75053
428.00	0.73761
428.25	0.72593
428.50	0.71001
428.75	0.69608
429.00	0.68279
429.25	0.66555
429.50	0.65085
429.75	0.63526
430.00	0.62360
430.25	0.60922
430.50	0.59315
430.75	0.58073
431.00	0.56779
431.25	0.55412
431.50	0.53953
431.75	0.52296
432.00	0.50770
432.25	0.49111
432.50	0.47497
432.75	0.45944
433.00	0.44641
433.25	0.43620
433.50	0.41939
433.75	0.40677
434.00	0.39276
434.25	0.38184
434.50	0.37126
434.75	0.35888
435.00	0.35093
435.25	0.34033
435.50	0.32884
435.75	0.31937
436.00	0.31064
436.25	0.30073
436.50	0.29485
436.75	0.28280
437.00	0.27856
437.25	0.26978
437.50	0.25954
437.75	0.25372
438.00	0.24930
438.25	0.23961
438.50	0.23498
438.75	0.22945
439.00	0.22342
439.25	0.21504
439.50	0.21037
439.75	0.20419
440.00	0.19960
440.25	0.19249
440.50	0.18811
440.75	0.18357
441.00	0.17996
441.25	0.17481
441.50	0.16895
441.75	0.16589
442.00	0.15994
442.25	0.15668
442.50	0.15322
442.75	0.14780
443.00	0.14454
443.25	0.14042
443.50	0.13462
443.75	0.13357
444.00	0.12937
444.25	0.12709
444.50	0.12443
444.75	0.12009
445.00	0.11812
445.25	0.11744
445.50	0.11215
445.75	0.10986
446.00	0.10638
446.25	0.10243
446.50	0.10185
446.75	0.098647
447.00	0.096559
447.25	0.094199
447.50	0.092497
447.75	0.089232
448.00	0.089508
448.25	0.087846
448.50	0.083736
448.75	0.081792
449.00	0.081188
449.25	0.078268
449.50	0.076940
449.75	0.074984
450.00	0.071569
450.25	0.071506
450.50	0.070291
450.75	0.068528
451.00	0.067653
451.25	0.065097
451.50	0.064897
451.75	0.063438
452.00	0.063345
452.25	0.061728
452.50	0.060958
452.75	0.060395
453.00	0.057827
453.25	0.057024
453.50	0.056989
453.75	0.054601
454.00	0.054043
454.25	0.053163
454.50	0.050294
454.75	0.049953
455.00	0.050738
455.25	0.049319
455.50	0.047545
455.75	0.046709
456.00	0.046544
456.25	0.044723
456.50	0.042452
456.75	0.042094
457.00	0.041955
457.25	0.041219
457.50	0.040539
457.75	0.039907
458.00	0.039005
458.25	0.037665
458.50	0.037844
458.75	0.036744
459.00	0.035602
459.25	0.034434
459.50	0.034933
459.75	0.033726
460.00	0.035039
460.25	0.033285
460.50	0.031430
460.75	0.031649
461.00	0.032162
461.25	0.031525
461.50	0.030557
461.75	0.029775
462.00	0.028128
462.25	0.028906
462.50	0.029191
462.75	0.028026
463.00	0.027755
463.25	0.026249
463.50	0.027251
463.75	0.025783
464.00	0.026234
464.25	0.026125
464.50	0.026546
464.75	0.025094
465.00	0.025957
465.25	0.024800
465.50	0.025028
465.75	0.024353
466.00	0.023317
466.25	0.023180
466.50	0.021189
466.75	0.023978
467.00	0.021526
467.25	0.021904
467.50	0.022087
467.75	0.022023
468.00	0.021492
468.25	0.021437
468.50	0.021204
468.75	0.021828
469.00	0.021099
469.25	0.020718
469.50	0.019220
469.75	0.019095
470.00	0.020352
470.25	0.018968
470.50	0.019459
470.75	0.019047
471.00	0.021054
471.25	0.019876
471.50	0.018512
471.75	0.018361
472.00	0.018331
472.25	0.020002
472.50	0.019259
472.75	0.018370
473.00	0.019242
473.25	0.019836
473.50	0.018594
473.75	0.018904
474.00	0.018458
474.25	0.018744
474.50	0.019482
474.75	0.018102
475.00	0.018328
475.25	0.017628
475.50	0.018099
475.75	0.017631
476.00	0.019278
476.25	0.018470
476.50	0.017243
476.75	0.018715
477.00	0.017616
477.25	0.017565
477.50	0.017302
477.75	0.018837
478.00	0.017307
478.25	0.017759
478.50	0.017219
478.75	0.018509
479.00	0.018889
479.25	0.016936
479.50	0.016130
479.75	0.016616
480.00	0.017176
480.25	0.016511
480.50	0.016760
480.75	0.016735
481.00	0.018020
481.25	0.017538
481.50	0.016188
481.75	0.015614
482.00	0.017476
482.25	0.017450
482.50	0.015622
482.75	0.016399
483.00	0.016068
483.25	0.014704
483.50	0.016548
483.75	0.016097
484.00	0.017150
484.25	0.015381
484.50	0.015532
484.75	0.016689
485.00	0.016874
485.25	0.015411
485.50	0.016637
485.75	0.015281
486.00	0.016734
486.25	0.015363
486.50	0.016559
486.75	0.015546
487.00	0.016755
487.25	0.016801
487.50	0.015290
487.75	0.015774
488.00	0.014764
488.25	0.015062
488.50	0.015523
488.75	0.016069
489.00	0.014313
489.25	0.013791
489.50	0.015669
489.75	0.015765
490.00	0.015016
490.25	0.015489
490.50	0.015008
490.75	0.016107
491.00	0.014185
491.25	0.015778
491.50	0.015722
491.75	0.017044
492.00	0.015308
492.25	0.015203
492.50	0.015938
492.75	0.015717
493.00	0.016707
493.25	0.017146
493.50	0.015915
493.75	0.016782
494.00	0.018515
494.25	0.017633
494.50	0.019207
494.75	0.020026
495.00	0.021419
495.25	0.019435
495.50	0.019927
495.75	0.021572
496.00	0.023028
496.25	0.023150
496.50	0.022894
496.75	0.023505
497.00	0.024166
497.25	0.025341
497.50	0.025410
497.75	0.025240
498.00	0.027895
498.25	0.027763
498.50	0.027528
498.75	0.030214
499.00	0.029638
499.25	0.030634
499.50	0.031206
499.75	0.032795
500.00	0.035277
500.25	0.033612
500.50	0.035448
500.75	0.038114
501.00	0.037660
501.25	0.037124
501.50	0.039951
501.75	0.040813
502.00	0.040511
502.25	0.041161
502.50	0.041703
502.75	0.044907
503.00	0.045271
503.25	0.045275
503.50	0.047311
503.75	0.048779
504.00	0.049266
504.25	0.049021
