Wavelength (nm)	R06 abs N
388.25	0.15616
388.50	0.15674
388.75	0.15611
389.00	0.15306
389.25	0.15337
389.50	0.15432
389.75	0.15154
390.00	0.14890
390.25	0.14613
390.50	0.14736
390.75	0.14711
391.00	0.14204
391.25	0.14228
391.50	0.14058
391.75	0.14199
392.00	0.13960
392.25	0.14217
392.50	0.13746
392.75	0.13740
393.00	0.13806
393.25	0.13461
393.50	0.13805
393.75	0.13722
394.00	0.13813
394.25	0.13465
394.50	0.13560
394.75	0.13599
395.00	0.13567
395.25	0.13440
395.50	0.13435
395.75	0.13349
396.00	0.13290
396.25	0.13553
396.50	0.13268
396.75	0.13309
397.00	0.13359
397.25	0.13457
397.50	0.13420
397.75	0.13222
398.00	0.13378
398.25	0.13099
398.50	0.13133
398.75	0.13091
399.00	0.12986
399.25	0.13184
399.50	0.13506
399.75	0.13053
400.00	0.13403
400.25	0.13432
400.50	0.13297
400.75	0.13246
401.00	0.13200
401.25	0.13319
401.50	0.13051
401.75	0.13264
402.00	0.13417
402.25	0.13296
402.50	0.13171
402.75	0.13166
403.00	0.13355
403.25	0.13416
403.50	0.13235
403.75	0.13328
404.00	0.13107
404.25	0.13195
404.50	0.13213
404.75	0.13517
405.00	0.13244
405.25	0.13453
405.50	0.13215
405.75	0.13467
406.00	0.13288
406.25	0.13595
406.50	0.13302
406.75	0.13376
407.00	0.13231
407.25	0.13247
407.50	0.13550
407.75	0.13216
408.00	0.13408
408.25	0.13616
408.50	0.13471
408.75	0.13523
409.00	0.13269
409.25	0.13099
409.50	0.13340
409.75	0.13267
410.00	0.13396
410.25	0.13398
410.50	0.13243
410.75	0.13289
411.00	0.13107
411.25	0.13200
411.50	0.13142
411.75	0.13099
412.00	0.13102
412.25	0.13218
412.50	0.13106
412.75	0.13086
413.00	0.13033
413.25	0.13103
413.50	0.12859
413.75	0.12914
414.00	0.12999
414.25	0.12973
414.50	0.12735
414.75	0.12832
415.00	0.13009
415.25	0.12942
415.50	0.12661
415.75	0.12714
416.00	0.12813
416.25	0.12444
416.50	0.12671
416.75	0.12514
417.00	0.12507
417.25	0.12455
417.50	0.12557
417.75	0.12234
418.00	0.12173
418.25	0.12271
418.50	0.12161
418.75	0.12124
419.00	0.12094
419.25	0.11991
419.50	0.12056
419.75	0.11973
420.00	0.12016
420.25	0.11865
