Wavelength (nm)	E26 ems
523.50	0.33407
524.00	0.33266
524.50	0.32672
525.00	0.32269
525.50	0.31844
526.00	0.31438
526.50	0.31134
527.00	0.30789
527.50	0.30120
528.00	0.30141
528.50	0.29450
529.00	0.29144
529.50	0.28616
530.00	0.28509
530.50	0.28049
531.00	0.27694
531.50	0.27241
532.00	0.26962
532.50	0.26684
533.00	0.26324
533.50	0.25911
534.00	0.25647
534.50	0.25385
535.00	0.25097
535.50	0.24643
536.00	0.24440
536.50	0.24144
537.00	0.23885
537.50	0.23453
538.00	0.23377
538.50	0.23031
539.00	0.22790
539.50	0.22427
540.00	0.22181
540.50	0.21857
541.00	0.21683
541.50	0.21328
542.00	0.21176
542.50	0.20858
543.00	0.20661
543.50	0.20191
544.00	0.20065
544.50	0.19809
545.00	0.19634
545.50	0.19251
546.00	0.19059
546.50	0.18749
547.00	0.18610
547.50	0.18331
548.00	0.18113
548.50	0.17802
549.00	0.17763
549.50	0.17379
550.00	0.17213
550.50	0.17018
551.00	0.16756
551.50	0.16482
552.00	0.16270
552.50	0.16042
553.00	0.15776
553.50	0.15605
554.00	0.15445
554.50	0.15146
555.00	0.14958
555.50	0.14757
556.00	0.14619
556.50	0.14393
557.00	0.14305
557.50	0.14048
558.00	0.13893
558.50	0.13695
559.00	0.13507
559.50	0.13306
560.00	0.13205
560.50	0.13022
561.00	0.12887
561.50	0.12636
562.00	0.12515
562.50	0.12379
563.00	0.12241
563.50	0.11973
564.00	0.11885
564.50	0.11702
565.00	0.11630
565.50	0.11460
566.00	0.11254
566.50	0.11139
567.00	0.10975
567.50	0.10771
568.00	0.10754
568.50	0.10540
569.00	0.10520
569.50	0.10279
570.00	0.10193
570.50	0.10029
571.00	0.099321
571.50	0.097591
572.00	0.096208
572.50	0.094670
573.00	0.093790
573.50	0.092448
574.00	0.092399
574.50	0.090580
575.00	0.089141
575.50	0.088088
576.00	0.086971
576.50	0.085655
577.00	0.084610
577.50	0.083334
578.00	0.082579
578.50	0.080276
579.00	0.080089
579.50	0.078118
580.00	0.077707
580.50	0.077008
581.00	0.076199
581.50	0.074318
582.00	0.073718
582.50	0.073093
583.00	0.072299
583.50	0.070795
584.00	0.070593
584.50	0.069271
585.00	0.068122
585.50	0.067568
586.00	0.066613
586.50	0.065658
587.00	0.064753
587.50	0.063687
588.00	0.063150
588.50	0.061810
589.00	0.061645
589.50	0.060681
590.00	0.059356
590.50	0.059569
591.00	0.058816
591.50	0.057453
592.00	0.057020
592.50	0.056341
593.00	0.055041
593.50	0.055088
594.00	0.054046
594.50	0.053685
595.00	0.052687
595.50	0.052198
596.00	0.051291
596.50	0.050551
597.00	0.049979
597.50	0.048765
598.00	0.048823
598.50	0.047613
599.00	0.047534
599.50	0.046898
600.00	0.045565
