Wavelength (nm)	Q28 abs N
700.00	0.0044923
701.00	0.0040696
702.00	0.0038632
703.00	0.0037059
704.00	0.0033717
705.00	0.0031652
706.00	0.0029785
707.00	0.0029588
708.00	0.0028212
709.00	0.0027426
710.00	0.0025460
711.00	0.0024477
712.00	0.0025066
713.00	0.0023985
714.00	0.0023494
715.00	0.0022314
716.00	0.0022609
717.00	0.0022117
718.00	0.0021429
719.00	0.0020348
720.00	0.0019856
721.00	0.0019955
722.00	0.0019758
723.00	0.0018480
724.00	0.0018480
725.00	0.0018677
726.00	0.0017694
727.00	0.0017792
728.00	0.0018382
729.00	0.0017497
730.00	0.0015925
731.00	0.0016613
732.00	0.0017202
733.00	0.0015630
734.00	0.0016121
735.00	0.0014352
736.00	0.0015728
737.00	0.0014843
738.00	0.0016121
739.00	0.0016121
740.00	0.0014745
741.00	0.0014057
742.00	0.0015236
743.00	0.0013860
744.00	0.0014647
745.00	0.0014352
746.00	0.0013664
747.00	0.0012976
748.00	0.0013565
749.00	0.0012976
750.00	0.0013467
751.00	0.0014057
752.00	0.0013467
753.00	0.0012779
754.00	0.0012779
755.00	0.0012484
756.00	0.0013664
757.00	0.0013664
758.00	0.0013172
759.00	0.0013369
760.00	0.0011894
761.00	0.0013565
762.00	0.0012287
763.00	0.0013172
764.00	0.0012877
765.00	0.0014253
766.00	0.0013762
767.00	0.0014057
768.00	0.0014155
769.00	0.0012779
770.00	0.0013860
771.00	0.0014647
772.00	0.0012779
773.00	0.0014548
774.00	0.0014647
775.00	0.0013664
776.00	0.0013959
777.00	0.0014745
778.00	0.0014057
779.00	0.0014057
780.00	0.0013270
781.00	0.0014745
782.00	0.0014155
783.00	0.0014843
784.00	0.0015630
785.00	0.0015630
786.00	0.0015728
787.00	0.0015138
788.00	0.0016219
789.00	0.0016121
790.00	0.0015630
791.00	0.0016219
792.00	0.0016121
793.00	0.0016711
794.00	0.0016318
795.00	0.0017006
796.00	0.0015925
797.00	0.0016219
798.00	0.0017104
799.00	0.0017006
800.00	0.0015925
