Wavelength (nm)	S05 abs N
636.00	0.080204
637.00	0.082873
638.00	0.085787
639.00	0.089016
640.00	0.092566
641.00	0.096693
642.00	0.10175
643.00	0.10672
644.00	0.11256
645.00	0.11927
646.00	0.12651
647.00	0.13333
648.00	0.14163
649.00	0.15015
650.00	0.15759
651.00	0.16571
652.00	0.17272
653.00	0.18039
654.00	0.18791
655.00	0.19895
656.00	0.20286
657.00	0.20621
658.00	0.21182
659.00	0.21790
660.00	0.22179
661.00	0.22507
662.00	0.22837
663.00	0.23264
664.00	0.23399
665.00	0.23582
666.00	0.23828
667.00	0.23899
668.00	0.24001
669.00	0.24146
670.00	0.24106
671.00	0.24108
672.00	0.24104
673.00	0.24159
674.00	0.24217
675.00	0.24145
676.00	0.24173
677.00	0.24297
678.00	0.24255
679.00	0.24321
680.00	0.24409
681.00	0.24496
682.00	0.24634
683.00	0.24869
684.00	0.25035
685.00	0.25180
686.00	0.25473
687.00	0.25675
688.00	0.25896
689.00	0.26209
690.00	0.26390
691.00	0.26545
692.00	0.26773
693.00	0.26891
694.00	0.26991
695.00	0.27067
696.00	0.27158
697.00	0.27142
698.00	0.27090
699.00	0.27072
700.00	0.27060
701.00	0.27049
702.00	0.26966
703.00	0.26882
704.00	0.26961
705.00	0.27092
706.00	0.27194
707.00	0.27445
708.00	0.27806
709.00	0.28328
710.00	0.28954
711.00	0.29849
712.00	0.30827
713.00	0.31982
714.00	0.33425
715.00	0.35043
716.00	0.36656
717.00	0.38857
718.00	0.41050
719.00	0.43419
720.00	0.46058
721.00	0.48824
722.00	0.51636
723.00	0.54567
724.00	0.57496
725.00	0.60740
726.00	0.63638
727.00	0.66434
728.00	0.69155
729.00	0.71806
730.00	0.74211
731.00	0.76430
732.00	0.78393
733.00	0.79864
734.00	0.81571
735.00	0.82606
736.00	0.83250
737.00	0.83912
738.00	0.84087
739.00	0.84202
740.00	0.84406
741.00	0.84291
742.00	0.84008
743.00	0.83686
744.00	0.83674
745.00	0.83605
746.00	0.83446
747.00	0.83747
748.00	0.83969
749.00	0.84961
750.00	0.85723
751.00	0.86827
752.00	0.87876
753.00	0.89395
754.00	0.91054
755.00	0.92522
756.00	0.94229
757.00	0.95470
758.00	0.96985
759.00	0.98155
760.00	0.98998
761.00	0.99859
762.00	0.99987
763.00	1.0000
764.00	0.99022
765.00	0.98333
766.00	0.96816
767.00	0.94683
768.00	0.92189
769.00	0.89288
770.00	0.86549
771.00	0.83206
772.00	0.79740
773.00	0.75549
774.00	0.71763
775.00	0.67806
776.00	0.63756
777.00	0.59364
778.00	0.55549
779.00	0.51474
780.00	0.47875
781.00	0.44148
782.00	0.40587
783.00	0.37249
784.00	0.34185
785.00	0.31226
786.00	0.28309
787.00	0.25732
788.00	0.23347
789.00	0.21176
790.00	0.19108
791.00	0.17226
792.00	0.15557
793.00	0.13992
794.00	0.12481
795.00	0.11276
796.00	0.10265
797.00	0.091250
798.00	0.082176
799.00	0.073400
800.00	0.066391
801.00	0.059928
802.00	0.054301
803.00	0.048194
804.00	0.043279
805.00	0.040085
806.00	0.035434
807.00	0.032228
808.00	0.028715
809.00	0.026063
810.00	0.024246
811.00	0.021829
812.00	0.019805
813.00	0.017858
814.00	0.016064
815.00	0.014620
816.00	0.013869
817.00	0.012165
818.00	0.011524
819.00	0.010632
820.00	0.0099498
821.00	0.0085319
822.00	0.0079932
823.00	0.0073625
824.00	0.0063682
825.00	0.0064942
826.00	0.0063276
827.00	0.0053567
828.00	0.0044536
829.00	0.0042627
830.00	0.0042599
831.00	0.0041945
832.00	0.0040337
833.00	0.0035528
834.00	0.0031449
835.00	0.0025685
836.00	0.0025289
837.00	0.0024435
838.00	0.0026177
839.00	0.0023376
840.00	0.0024039
841.00	0.0020790
842.00	0.0018176
843.00	0.0016587
844.00	0.0021802
845.00	0.0021835
846.00	0.0017570
847.00	0.0021110
848.00	0.0013491
849.00	0.0016711
850.00	0.0015475
851.00	0.0017861
852.00	0.0011783
853.00	0.0012403
854.00	0.0013763
855.00	0.0012660
856.00	0.0015103
857.00	0.0012097
858.00	0.0014473
859.00	0.0012035
860.00	0.00098408
861.00	0.0013748
862.00	0.0011701
863.00	0.0010986
864.00	0.00049552
865.00	0.0010981
866.00	0.00089057
867.00	0.00065488
868.00	0.00083331
869.00	0.0012212
870.00	0.0011148
871.00	0.00066251
872.00	0.0015046
873.00	0.00049886
874.00	0.00097740
875.00	0.00074123
876.00	0.00089772
877.00	0.00054132
878.00	0.00030802
879.00	0.0010451
880.00	0.00050936
881.00	0.0011635
882.00	0.00054944
883.00	0.0012722
884.00	0.00025029
885.00	0.00064295
886.00	0.00081041
887.00	0.00080946
888.00	0.00089295
889.00	0.0011177
890.00	0.00091347
891.00	0.0012847
892.00	0.00087578
893.00	0.00081566
894.00	0.00051270
895.00	0.0011320
896.00	0.00058236
897.00	0.0015814
898.00	0.00062386
899.00	0.00077749
900.00	0.0011682
