Wavelength (nm)	L10 abs N
553.00	0.70238
554.00	0.71754
555.00	0.73535
556.00	0.75320
557.00	0.77158
558.00	0.78893
559.00	0.80764
560.00	0.82581
561.00	0.84410
562.00	0.86301
563.00	0.88218
564.00	0.90072
565.00	0.91719
566.00	0.93157
567.00	0.95304
568.00	0.96734
569.00	0.97885
570.00	0.98932
571.00	0.99520
572.00	0.99773
573.00	1.0000
574.00	0.99693
575.00	0.99100
576.00	0.97996
577.00	0.96368
578.00	0.94749
579.00	0.92729
580.00	0.89940
581.00	0.86799
582.00	0.84106
583.00	0.80955
584.00	0.76601
585.00	0.72873
586.00	0.69455
587.00	0.64985
588.00	0.61039
589.00	0.57422
590.00	0.53268
591.00	0.49411
592.00	0.45462
593.00	0.41899
594.00	0.38691
595.00	0.35505
596.00	0.32724
597.00	0.29695
598.00	0.26952
599.00	0.24526
600.00	0.22294
601.00	0.20223
602.00	0.18343
603.00	0.16515
604.00	0.15052
605.00	0.13568
606.00	0.12222
607.00	0.11047
608.00	0.099429
609.00	0.090074
610.00	0.080383
611.00	0.073025
612.00	0.065599
613.00	0.058935
614.00	0.053204
615.00	0.047980
616.00	0.043317
617.00	0.039216
618.00	0.035315
619.00	0.031925
620.00	0.028501
621.00	0.026011
622.00	0.023548
623.00	0.021210
624.00	0.019327
625.00	0.017388
626.00	0.016018
627.00	0.014411
628.00	0.013250
629.00	0.011752
630.00	0.010751
631.00	0.0099448
632.00	0.0090982
633.00	0.0084720
634.00	0.0079710
635.00	0.0074811
636.00	0.0067565
637.00	0.0060208
638.00	0.0056164
639.00	0.0052398
640.00	0.0047240
641.00	0.0048284
642.00	0.0038598
643.00	0.0034097
644.00	0.0035460
645.00	0.0033501
646.00	0.0027373
647.00	0.0028634
648.00	0.0018860
649.00	0.0028015
650.00	0.0020524
651.00	0.0016226
652.00	0.0019891
653.00	0.0019452
654.00	0.0014867
655.00	0.0013360
656.00	0.0012949
657.00	0.0018453
658.00	0.0017663
659.00	0.0013832
660.00	0.0017011
661.00	0.00099314
662.00	0.00081707
663.00	0.0016762
664.00	0.0010204
665.00	0.00098991
666.00	0.0017672
667.00	0.0017270
668.00	0.00083001
669.00	0.0015745
670.00	0.0011433
671.00	0.00096079
672.00	0.00056705
673.00	0.00068536
674.00	0.0011433
675.00	0.00050697
676.00	0.0012076
677.00	0.00095848
678.00	0.00086328
679.00	0.00063175
680.00	0.00081337
681.00	0.0012187
682.00	0.00092705
683.00	0.00079812
684.00	0.00075283
685.00	0.00070985
686.00	0.0011604
687.00	0.00092059
688.00	0.0010440
689.00	0.0011392
690.00	0.00070615
691.00	0.00074682
692.00	0.00073388
693.00	0.00074081
694.00	0.0010366
695.00	0.00081429
696.00	0.00069691
697.00	0.00080644
698.00	0.00070199
699.00	0.00059431
700.00	0.00056474
