Wavelength (nm)	D09 abs N
215.00	0.99712
216.00	0.99808
217.00	0.99765
218.00	0.99706
219.00	0.99900
220.00	0.99826
221.00	0.99813
222.00	0.99840
223.00	0.99814
224.00	0.99673
225.00	0.99512
226.00	0.99365
227.00	0.99014
228.00	0.98710
229.00	0.98348
230.00	0.97885
231.00	0.97592
232.00	0.97113
233.00	0.96537
234.00	0.96118
235.00	0.95606
236.00	0.94987
237.00	0.94440
238.00	0.93786
239.00	0.93282
240.00	0.92556
241.00	0.91764
242.00	0.90955
243.00	0.90138
244.00	0.89196
245.00	0.88183
246.00	0.87252
247.00	0.86207
248.00	0.85098
249.00	0.83930
250.00	0.82716
251.00	0.81483
252.00	0.80243
253.00	0.78957
254.00	0.77658
255.00	0.76400
256.00	0.75154
257.00	0.74049
258.00	0.72953
259.00	0.72005
260.00	0.71119
261.00	0.70491
262.00	0.69917
263.00	0.69519
264.00	0.69250
265.00	0.69186
266.00	0.69108
267.00	0.69215
268.00	0.69310
269.00	0.69568
270.00	0.69818
271.00	0.70081
272.00	0.70473
273.00	0.70793
274.00	0.71151
275.00	0.71572
276.00	0.72000
277.00	0.72354
278.00	0.72698
279.00	0.73041
280.00	0.73326
281.00	0.73489
282.00	0.73606
283.00	0.73769
284.00	0.73847
285.00	0.73939
286.00	0.73982
287.00	0.73988
288.00	0.74025
289.00	0.74077
290.00	0.74175
291.00	0.74277
292.00	0.74423
293.00	0.74621
294.00	0.74740
295.00	0.74890
296.00	0.75001
297.00	0.75108
298.00	0.75137
299.00	0.75196
300.00	0.75280
301.00	0.75476
302.00	0.75759
303.00	0.76053
304.00	0.76589
305.00	0.77227
306.00	0.77977
307.00	0.78831
308.00	0.79733
309.00	0.80647
310.00	0.81476
311.00	0.82247
312.00	0.82890
313.00	0.83606
314.00	0.84148
315.00	0.84748
316.00	0.85203
317.00	0.85993
318.00	0.86673
319.00	0.87587
320.00	0.88508
321.00	0.89490
322.00	0.90547
323.00	0.91435
324.00	0.92504
325.00	0.93464
326.00	0.94079
327.00	0.94648
328.00	0.94975
329.00	0.95265
330.00	0.95442
331.00	0.95682
332.00	0.95676
333.00	0.95702
334.00	0.95857
335.00	0.95985
336.00	0.96067
337.00	0.96068
338.00	0.96185
339.00	0.96288
340.00	0.96154
341.00	0.96345
342.00	0.96323
343.00	0.96180
344.00	0.96175
345.00	0.96099
346.00	0.96026
347.00	0.95946
348.00	0.95882
349.00	0.95836
350.00	0.95754
351.00	0.95789
352.00	0.95938
353.00	0.96096
354.00	0.96169
355.00	0.96377
356.00	0.96667
357.00	0.97001
358.00	0.97383
359.00	0.97701
360.00	0.98071
361.00	0.98127
362.00	0.98286
363.00	0.98717
364.00	0.98879
365.00	0.98894
366.00	0.99422
367.00	0.99365
368.00	0.99306
369.00	0.99377
370.00	0.99575
371.00	0.99828
372.00	1.0000
373.00	0.99879
374.00	0.99858
375.00	0.99675
376.00	0.99911
377.00	0.99821
378.00	0.99778
379.00	0.99727
380.00	0.99557
381.00	0.99086
382.00	0.98331
383.00	0.98229
384.00	0.97797
385.00	0.97522
386.00	0.96702
387.00	0.96092
388.00	0.95450
389.00	0.94498
390.00	0.93597
391.00	0.92553
392.00	0.91376
393.00	0.90112
394.00	0.89030
395.00	0.87937
396.00	0.86317
397.00	0.84980
398.00	0.83515
399.00	0.82123
400.00	0.80544
401.00	0.78771
402.00	0.77250
403.00	0.75603
404.00	0.73773
405.00	0.72226
406.00	0.70533
407.00	0.68794
408.00	0.66891
409.00	0.65044
410.00	0.63447
411.00	0.61573
412.00	0.59668
413.00	0.57901
414.00	0.56020
415.00	0.54191
416.00	0.52383
417.00	0.50653
418.00	0.48917
419.00	0.47173
420.00	0.45441
421.00	0.43673
422.00	0.42077
423.00	0.40513
424.00	0.38982
425.00	0.37388
426.00	0.35781
427.00	0.34144
428.00	0.32828
429.00	0.31329
430.00	0.29899
431.00	0.28638
432.00	0.27360
433.00	0.25989
434.00	0.24721
435.00	0.23576
436.00	0.22403
437.00	0.21246
438.00	0.20157
439.00	0.19152
440.00	0.18107
441.00	0.17066
442.00	0.16225
443.00	0.15315
444.00	0.14425
445.00	0.13624
446.00	0.12844
447.00	0.12108
448.00	0.11380
