Wavelength (nm)	A17 ems
300.00	0.026512
301.00	0.025665
302.00	0.027134
303.00	0.025712
304.00	0.025010
305.00	0.033779
306.00	0.035832
307.00	0.046883
308.00	0.063819
309.00	0.094400
310.00	0.13086
311.00	0.18539
312.00	0.26181
313.00	0.34182
314.00	0.43985
315.00	0.55333
316.00	0.64961
317.00	0.72584
318.00	0.75872
319.00	0.77399
320.00	0.78774
321.00	0.83045
322.00	0.85803
323.00	0.88803
324.00	0.92162
325.00	0.94716
326.00	0.96741
327.00	0.98425
328.00	0.99542
329.00	0.99505
330.00	0.99770
331.00	0.98740
332.00	1.0000
333.00	0.99009
334.00	0.97749
335.00	0.95774
336.00	0.94590
337.00	0.92209
338.00	0.90387
339.00	0.87467
340.00	0.83706
341.00	0.80944
342.00	0.79065
343.00	0.76606
344.00	0.73612
345.00	0.71258
346.00	0.68305
347.00	0.66322
348.00	0.63131
349.00	0.60784
350.00	0.57901
351.00	0.55336
352.00	0.53252
353.00	0.50468
354.00	0.48611
355.00	0.45946
356.00	0.44467
357.00	0.41789
358.00	0.39917
359.00	0.38328
360.00	0.35974
361.00	0.33950
362.00	0.32458
363.00	0.30575
364.00	0.29136
365.00	0.27211
366.00	0.25768
367.00	0.24157
368.00	0.22628
369.00	0.21249
370.00	0.20433
371.00	0.18698
372.00	0.17623
373.00	0.16878
374.00	0.15764
375.00	0.14662
376.00	0.13890
377.00	0.13158
378.00	0.12328
379.00	0.11428
380.00	0.10625
381.00	0.10005
382.00	0.092569
383.00	0.087538
384.00	0.082335
385.00	0.074491
386.00	0.072421
387.00	0.068174
388.00	0.061496
389.00	0.057516
390.00	0.054350
391.00	0.049873
392.00	0.047026
393.00	0.043335
394.00	0.040715
395.00	0.037558
396.00	0.035273
397.00	0.033099
398.00	0.030051
399.00	0.029336
400.00	0.025081
401.00	0.023888
402.00	0.021841
403.00	0.020350
404.00	0.019429
405.00	0.017273
406.00	0.015796
407.00	0.014726
408.00	0.013827
409.00	0.012388
410.00	0.011297
411.00	0.010727
412.00	0.0094445
413.00	0.0085383
414.00	0.0074830
415.00	0.0077721
416.00	0.0065354
417.00	0.0060357
418.00	0.0055471
419.00	0.0055558
420.00	0.0039852
421.00	0.0037992
422.00	0.0033881
423.00	0.0028931
424.00	0.0026646
425.00	0.0020603
