Wavelength (nm)	C02 ems
531.50	0.0016442
532.00	0.0016864
532.50	0.0016426
533.00	0.0015898
533.50	0.0015778
534.00	0.0015495
534.50	0.0015335
535.00	0.0015123
535.50	0.0014816
536.00	0.0014847
536.50	0.0014663
537.00	0.0015114
537.50	0.0014420
538.00	0.0014556
538.50	0.0014500
539.00	0.0014731
539.50	0.0014111
540.00	0.0014446
540.50	0.0013933
541.00	0.0013967
541.50	0.0013375
542.00	0.0013584
542.50	0.0013823
543.00	0.0013973
543.50	0.0013473
544.00	0.0013352
544.50	0.0013468
545.00	0.0013689
545.50	0.0013116
546.00	0.0013282
546.50	0.0013283
547.00	0.0012479
547.50	0.0012576
548.00	0.0012704
548.50	0.0012648
549.00	0.0012402
549.50	0.0012656
550.00	0.0012241
