Wavelength (nm)	Q-27, H2TBP(CO2Me)Ph.ems
904.00	0.034022
905.00	0.033544
906.00	0.032393
907.00	0.032684
908.00	0.036520
909.00	0.030086
910.00	0.025988
911.00	0.034615
912.00	0.027730
913.00	0.026267
914.00	0.025259
915.00	0.027265
916.00	0.027098
917.00	0.023310
918.00	0.024954
919.00	0.025797
920.00	0.023108
921.00	0.024901
922.00	0.024955
923.00	0.024350
924.00	0.027943
925.00	0.026846
926.00	0.023552
927.00	0.024353
928.00	0.022825
929.00	0.023763
930.00	0.018751
931.00	0.023776
932.00	0.020750
933.00	0.021162
934.00	0.019629
935.00	0.015989
936.00	0.020515
937.00	0.018464
938.00	0.019462
939.00	0.015830
940.00	0.016131
941.00	0.017990
942.00	0.019690
943.00	0.017222
944.00	0.018774
945.00	0.013414
946.00	0.015938
947.00	0.016007
948.00	0.011405
949.00	0.015227
950.00	0.012033
951.00	0.017200
952.00	0.013185
953.00	0.011810
954.00	0.011560
955.00	0.013122
956.00	0.013081
957.00	0.014711
958.00	0.012899
959.00	0.014917
960.00	0.012759
961.00	0.0096447
962.00	0.0096786
963.00	0.010114
964.00	0.012109
965.00	0.011987
966.00	0.011357
967.00	0.0099150
968.00	0.0086663
969.00	0.011783
970.00	0.0072902
971.00	0.0094878
972.00	0.011140
973.00	0.0059104
974.00	0.011320
975.00	0.0070663
976.00	0.011352
977.00	0.0078574
978.00	0.0060612
979.00	0.0057740
980.00	0.0052531
981.00	0.0063394
982.00	0.010029
983.00	0.011692
984.00	0.0062048
985.00	0.0071091
986.00	0.0026970
987.00	0.0076951
988.00	0.0090035
989.00	0.010107
990.00	0.0058837
991.00	0.0042373
992.00	0.0050150
993.00	0.0063867
994.00	0.0017311
995.00	0.0033606
996.00	0.0066971
997.00	0.0061602
998.00	0.0062065
999.00	0.0046181
1000.0	0.0096438
