Wavelength (nm)	A12 ems
272.00	0.031131
273.00	0.035346
274.00	0.058706
275.00	0.10642
276.00	0.18610
277.00	0.29528
278.00	0.35389
279.00	0.40889
280.00	0.45352
281.00	0.49047
282.00	0.49881
283.00	0.55870
284.00	0.64310
285.00	0.78245
286.00	0.86762
287.00	0.91775
288.00	0.94526
289.00	0.93626
290.00	0.92247
291.00	0.89344
292.00	0.91802
293.00	0.91892
294.00	0.98174
295.00	1.00000
296.00	0.98818
297.00	0.94981
298.00	0.87863
299.00	0.81286
300.00	0.76415
301.00	0.67769
302.00	0.64831
303.00	0.59212
304.00	0.55493
305.00	0.52200
306.00	0.49177
307.00	0.45860
308.00	0.43301
309.00	0.38832
310.00	0.35798
311.00	0.32590
312.00	0.29707
313.00	0.26946
314.00	0.24879
315.00	0.23109
316.00	0.21270
317.00	0.18853
318.00	0.16927
319.00	0.15401
320.00	0.14331
321.00	0.13736
322.00	0.11876
323.00	0.10778
324.00	0.10532
325.00	0.094602
326.00	0.085446
327.00	0.081213
328.00	0.074017
329.00	0.065575
330.00	0.060618
331.00	0.059186
332.00	0.050719
333.00	0.046852
334.00	0.045116
335.00	0.039548
336.00	0.037132
337.00	0.035141
338.00	0.032716
339.00	0.029713
340.00	0.027441
341.00	0.025147
342.00	0.022933
343.00	0.021994
344.00	0.020640
345.00	0.019479
346.00	0.017755
347.00	0.017108
348.00	0.015028
349.00	0.014860
350.00	0.013217
351.00	0.012299
352.00	0.011501
353.00	0.011092
354.00	0.010007
355.00	0.010097
356.00	0.010030
357.00	0.0090269
358.00	0.0074289
359.00	0.0081771
360.00	0.0076431
361.00	0.0072586
362.00	0.0072724
363.00	0.0070898
364.00	0.0062957
365.00	0.0063138
366.00	0.0054603
367.00	0.0061863
368.00	0.0055623
369.00	0.0049896
370.00	0.0049988
371.00	0.0051443
372.00	0.0049184
373.00	0.0048219
374.00	0.0040509
375.00	0.0043932
376.00	0.0042167
377.00	0.0043187
378.00	0.0031251
379.00	0.0041489
380.00	0.0041399
381.00	0.0038656
382.00	0.0034987
383.00	0.0032693
384.00	0.0036313
385.00	0.0028558
386.00	0.0038409
387.00	0.0036795
388.00	0.0034798
389.00	0.0027696
390.00	0.0034640
391.00	0.0028900
392.00	0.0027095
393.00	0.0031890
394.00	0.0029957
395.00	0.0032009
396.00	0.0031619
397.00	0.0030344
398.00	0.0026675
399.00	0.0028073
400.00	0.0026323
