Wavelength (nm)	D06 ems
520.50	0.29629
521.00	0.29503
521.50	0.29156
522.00	0.28768
522.50	0.28398
523.00	0.28250
523.50	0.27663
524.00	0.27534
524.50	0.27058
525.00	0.26859
525.50	0.26368
526.00	0.26134
526.50	0.25843
527.00	0.25465
527.50	0.25103
528.00	0.24895
528.50	0.24521
529.00	0.24183
529.50	0.23747
530.00	0.23515
530.50	0.23200
531.00	0.22842
531.50	0.22432
532.00	0.22334
532.50	0.21947
533.00	0.21654
533.50	0.21425
534.00	0.21254
534.50	0.20891
535.00	0.20639
535.50	0.20337
536.00	0.20125
536.50	0.19840
537.00	0.19683
537.50	0.19408
538.00	0.19135
538.50	0.18920
539.00	0.18744
539.50	0.18389
540.00	0.18267
540.50	0.17944
541.00	0.17707
541.50	0.17510
542.00	0.17455
542.50	0.17083
543.00	0.16908
543.50	0.16740
544.00	0.16513
544.50	0.16307
545.00	0.16259
545.50	0.15942
546.00	0.15757
546.50	0.15568
547.00	0.15343
547.50	0.15148
548.00	0.15021
548.50	0.14837
549.00	0.14699
549.50	0.14510
550.00	0.14327
550.50	0.14179
551.00	0.13994
551.50	0.13759
552.00	0.13675
552.50	0.13498
553.00	0.13261
553.50	0.13069
554.00	0.12944
554.50	0.12824
555.00	0.12692
555.50	0.12501
556.00	0.12316
556.50	0.12275
557.00	0.12089
557.50	0.11920
558.00	0.11811
558.50	0.11652
559.00	0.11500
559.50	0.11326
560.00	0.11301
560.50	0.11077
561.00	0.11002
561.50	0.10856
562.00	0.10754
562.50	0.10678
563.00	0.10446
563.50	0.10292
564.00	0.10213
564.50	0.10037
565.00	0.099844
565.50	0.097934
566.00	0.097984
566.50	0.095694
567.00	0.094747
567.50	0.093652
568.00	0.092775
568.50	0.091009
569.00	0.090134
569.50	0.089439
570.00	0.087454
570.50	0.086259
571.00	0.085350
571.50	0.084000
572.00	0.083642
572.50	0.082463
573.00	0.081117
573.50	0.080013
574.00	0.079287
574.50	0.077938
575.00	0.076606
575.50	0.074969
576.00	0.074504
576.50	0.073322
577.00	0.072324
577.50	0.070735
578.00	0.070272
578.50	0.069288
579.00	0.068968
579.50	0.067210
580.00	0.067007
580.50	0.065921
581.00	0.065079
581.50	0.063536
582.00	0.063057
582.50	0.062477
583.00	0.061440
583.50	0.060120
584.00	0.060549
584.50	0.059366
585.00	0.058767
585.50	0.057743
586.00	0.057011
586.50	0.056961
587.00	0.055434
587.50	0.054731
588.00	0.053853
588.50	0.053115
589.00	0.052811
589.50	0.051666
590.00	0.051848
590.50	0.050238
591.00	0.050377
591.50	0.048782
592.00	0.048997
592.50	0.048250
593.00	0.047307
593.50	0.047056
594.00	0.046905
594.50	0.045487
595.00	0.045251
595.50	0.044197
596.00	0.043758
596.50	0.043099
597.00	0.043124
597.50	0.042272
598.00	0.041651
598.50	0.041062
599.00	0.040446
599.50	0.039892
600.00	0.039501
0.0000	
