Wavelength (nm)	C06 ems
500.50	0.0075883
501.00	0.0077027
501.50	0.0069666
502.00	0.0069510
502.50	0.0066031
503.00	0.0070364
503.50	0.0062606
504.00	0.0067258
504.50	0.0057904
505.00	0.0063683
505.50	0.0056591
506.00	0.0060273
506.50	0.0058774
507.00	0.0056890
507.50	0.0054745
508.00	0.0049689
508.50	0.0047958
509.00	0.0049511
509.50	0.0050372
510.00	0.0045829
510.50	0.0043717
511.00	0.0045559
511.50	0.0041639
512.00	0.0039690
512.50	0.0038954
513.00	0.0036469
513.50	0.0040059
514.00	0.0040678
514.50	0.0034921
515.00	0.0035985
515.50	0.0037408
516.00	0.0035228
516.50	0.0034022
517.00	0.0031818
517.50	0.0028012
518.00	0.0028962
518.50	0.0023461
519.00	0.0028271
519.50	0.0028355
520.00	0.0023743
520.50	0.0031027
521.00	0.0024382
521.50	0.0026225
522.00	0.0025091
522.50	0.0022248
523.00	0.0018840
523.50	0.0024107
524.00	0.0020340
524.50	0.0018684
525.00	0.0019919
525.50	0.0020614
526.00	0.0021521
526.50	0.0016022
527.00	0.0017617
527.50	0.0014174
528.00	0.0019706
528.50	0.0017868
529.00	0.0012696
529.50	0.0019474
530.00	0.0016549
530.50	0.0016898
531.00	0.0014457
531.50	0.0011856
532.00	0.0014205
532.50	0.0011730
533.00	0.0014162
533.50	0.0017770
534.00	0.0017320
534.50	0.0010509
535.00	0.0012816
535.50	0.0012664
536.00	0.0012804
536.50	0.0015904
537.00	0.0011078
537.50	0.0011135
538.00	0.00096965
538.50	0.0010572
539.00	0.0011678
539.50	0.0010826
540.00	0.0012316
540.50	0.00071203
541.00	0.00097406
541.50	0.00093946
542.00	0.0012419
542.50	0.00098463
543.00	0.00081821
543.50	0.00075127
544.00	0.0012816
544.50	0.00091953
545.00	0.00096911
545.50	0.00048919
546.00	0.00044625
546.50	0.00056077
547.00	0.0010721
547.50	0.00048172
548.00	0.00039767
548.50	0.00076132
549.00	0.00050864
549.50	0.00071369
550.00	0.00046688
