Wavelength (nm)	R04 abs N
250.00	0.22322
250.25	0.22381
250.50	0.22177
250.75	0.22281
251.00	0.21570
251.25	0.21447
251.50	0.21089
251.75	0.20491
252.00	0.20463
252.25	0.20344
252.50	0.20082
252.75	0.20105
253.00	0.20167
253.25	0.19661
253.50	0.19482
253.75	0.19259
254.00	0.19094
254.25	0.18847
254.50	0.18857
254.75	0.18280
255.00	0.18525
255.25	0.18328
255.50	0.18173
255.75	0.17983
256.00	0.18128
256.25	0.17799
256.50	0.17559
256.75	0.17829
257.00	0.17629
257.25	0.17366
257.50	0.16816
257.75	0.16585
258.00	0.16812
258.25	0.16978
258.50	0.16675
258.75	0.16662
259.00	0.16331
259.25	0.16382
259.50	0.16160
259.75	0.16291
260.00	0.16213
260.25	0.16223
260.50	0.16078
260.75	0.16382
261.00	0.16001
261.25	0.16120
261.50	0.15933
261.75	0.15829
262.00	0.15902
262.25	0.16182
262.50	0.16007
262.75	0.15840
263.00	0.15733
263.25	0.15924
263.50	0.15552
263.75	0.15634
264.00	0.15776
264.25	0.16070
264.50	0.15710
264.75	0.15688
265.00	0.15706
265.25	0.15845
265.50	0.15526
265.75	0.15500
266.00	0.15863
266.25	0.15602
266.50	0.15465
266.75	0.15410
267.00	0.15613
267.25	0.15584
267.50	0.15569
267.75	0.15409
268.00	0.15449
268.25	0.15638
268.50	0.15539
268.75	0.15649
269.00	0.15537
269.25	0.15431
269.50	0.15529
269.75	0.15714
270.00	0.15721
270.25	0.15832
270.50	0.15388
270.75	0.15519
271.00	0.15635
271.25	0.15551
271.50	0.15455
271.75	0.15582
272.00	0.15668
272.25	0.15531
272.50	0.15572
272.75	0.15858
273.00	0.15594
273.25	0.15590
273.50	0.15677
273.75	0.15584
274.00	0.15385
274.25	0.15858
274.50	0.15451
274.75	0.15612
275.00	0.15915
275.25	0.15742
275.50	0.15779
275.75	0.15250
276.00	0.15731
276.25	0.15424
276.50	0.15756
276.75	0.15743
277.00	0.15455
277.25	0.15542
277.50	0.15665
277.75	0.15608
278.00	0.15734
278.25	0.15219
278.50	0.15679
278.75	0.15615
279.00	0.15769
279.25	0.15416
279.50	0.15553
279.75	0.15368
280.00	0.15747
280.25	0.15432
280.50	0.15497
280.75	0.15548
281.00	0.15291
281.25	0.15530
281.50	0.15153
281.75	0.15341
282.00	0.15275
282.25	0.15799
282.50	0.15318
282.75	0.15355
283.00	0.15505
283.25	0.15622
283.50	0.15007
283.75	0.15115
284.00	0.15653
284.25	0.15203
284.50	0.15148
284.75	0.14994
285.00	0.15164
285.25	0.14978
285.50	0.15144
285.75	0.15007
286.00	0.15021
286.25	0.15450
286.50	0.14967
286.75	0.15165
287.00	0.15065
287.25	0.15026
287.50	0.15021
287.75	0.14977
288.00	0.14784
288.25	0.14965
288.50	0.15085
288.75	0.14845
289.00	0.14650
289.25	0.14710
289.50	0.14783
289.75	0.14812
290.00	0.14367
290.25	0.14541
290.50	0.14742
290.75	0.14720
291.00	0.14804
291.25	0.14491
291.50	0.14434
291.75	0.14246
292.00	0.14370
292.25	0.14499
292.50	0.14290
292.75	0.14639
293.00	0.14354
293.25	0.13972
293.50	0.14229
293.75	0.14122
294.00	0.14132
294.25	0.13909
294.50	0.14084
294.75	0.14453
295.00	0.14251
295.25	0.14067
295.50	0.14202
295.75	0.14132
296.00	0.13948
296.25	0.13944
296.50	0.13710
296.75	0.13885
297.00	0.14217
297.25	0.13985
297.50	0.13531
297.75	0.13715
298.00	0.13862
298.25	0.13917
298.50	0.13829
298.75	0.13919
299.00	0.13813
299.25	0.13459
299.50	0.13558
299.75	0.13629
300.00	0.13451
300.25	0.13593
300.50	0.13381
300.75	0.13854
301.00	0.13458
301.25	0.13167
301.50	0.13659
301.75	0.13595
302.00	0.13291
302.25	0.13196
302.50	0.13375
302.75	0.12908
303.00	0.13411
303.25	0.13024
303.50	0.13186
303.75	0.13324
304.00	0.13503
304.25	0.13186
304.50	0.13222
304.75	0.13157
305.00	0.12934
305.25	0.12845
305.50	0.13245
305.75	0.13057
306.00	0.12759
306.25	0.12406
306.50	0.12801
306.75	0.12766
307.00	0.12865
307.25	0.12934
307.50	0.12597
307.75	0.12458
308.00	0.12302
308.25	0.12592
308.50	0.12511
308.75	0.12930
309.00	0.12603
309.25	0.12588
309.50	0.12462
309.75	0.12453
310.00	0.12435
310.25	0.12611
310.50	0.12423
310.75	0.11912
311.00	0.11979
311.25	0.12085
311.50	0.12213
311.75	0.12236
312.00	0.12111
312.25	0.11959
312.50	0.12175
312.75	0.12015
313.00	0.11906
313.25	0.12065
