Wavelength (nm)	E15 ems
270.00	0.16062
270.50	0.17527
271.00	0.18991
271.50	0.22566
272.00	0.24528
272.50	0.29515
273.00	0.33524
273.50	0.39965
274.00	0.43508
274.50	0.49904
275.00	0.52994
275.50	0.57309
276.00	0.58390
276.50	0.60719
277.00	0.61465
277.50	0.64538
278.00	0.66124
278.50	0.69456
279.00	0.72222
279.50	0.78083
280.00	0.81360
280.50	0.86024
281.00	0.89069
281.50	0.91530
282.00	0.92740
282.50	0.92635
283.00	0.92313
283.50	0.91429
284.00	0.91558
284.50	0.92224
285.00	0.91810
285.50	0.92376
286.00	0.92289
286.50	0.92012
287.00	0.93025
287.50	0.94258
288.00	0.94042
288.50	0.95375
289.00	0.95989
289.50	0.97459
290.00	0.96771
290.50	0.96458
291.00	0.96307
291.50	0.94721
292.00	0.94041
292.50	0.93957
293.00	0.93781
293.50	0.92982
294.00	0.93330
294.50	0.93413
295.00	0.92977
295.50	0.94289
296.00	0.94527
296.50	0.95339
297.00	0.96330
297.50	0.97201
298.00	0.97905
298.50	0.99250
299.00	0.99329
299.50	0.99806
300.00	1.0000
300.50	0.99260
301.00	0.99320
301.50	0.98910
302.00	0.98343
302.50	0.97650
303.00	0.97714
303.50	0.96831
304.00	0.96081
304.50	0.95188
305.00	0.94566
305.50	0.92897
306.00	0.92138
306.50	0.89971
307.00	0.88412
307.50	0.86993
308.00	0.85901
308.50	0.85092
309.00	0.84012
309.50	0.82523
310.00	0.81248
310.50	0.79449
311.00	0.79117
311.50	0.76932
312.00	0.76900
312.50	0.76272
313.00	0.75134
313.50	0.74587
314.00	0.74823
314.50	0.75150
315.00	0.75522
315.50	0.76624
316.00	0.77604
316.50	0.80021
317.00	0.80444
317.50	0.82258
318.00	0.82570
318.50	0.84167
319.00	0.84259
319.50	0.85249
320.00	0.85797
320.50	0.86819
321.00	0.86474
321.50	0.87571
322.00	0.87280
322.50	0.86067
323.00	0.85919
323.50	0.85591
324.00	0.84781
324.50	0.84005
325.00	0.82786
325.50	0.82241
326.00	0.80852
326.50	0.79530
327.00	0.78576
327.50	0.76946
328.00	0.76253
328.50	0.75094
329.00	0.73847
329.50	0.72818
330.00	0.72735
330.50	0.72177
331.00	0.72440
331.50	0.72161
332.00	0.71658
332.50	0.71774
333.00	0.70956
333.50	0.70857
334.00	0.70521
334.50	0.69846
335.00	0.68945
335.50	0.68170
336.00	0.68629
336.50	0.67870
337.00	0.67362
337.50	0.65896
338.00	0.65620
338.50	0.64398
339.00	0.62961
339.50	0.61449
340.00	0.60572
340.50	0.59331
341.00	0.57993
341.50	0.56373
342.00	0.56304
342.50	0.54375
343.00	0.53750
343.50	0.52095
344.00	0.51252
344.50	0.50236
345.00	0.49312
345.50	0.48337
346.00	0.47797
346.50	0.47043
347.00	0.46216
347.50	0.45837
348.00	0.45315
348.50	0.44785
349.00	0.44159
349.50	0.43294
350.00	0.42500
350.50	0.42492
351.00	0.42233
351.50	0.41322
352.00	0.40516
352.50	0.39782
353.00	0.39147
353.50	0.38944
354.00	0.38660
354.50	0.37526
355.00	0.37466
355.50	0.35958
356.00	0.35640
356.50	0.34768
357.00	0.34046
357.50	0.32893
358.00	0.32524
358.50	0.31588
359.00	0.30857
359.50	0.30404
