Wavelength (nm)	L08 abs N
200.00	0.45093
201.00	0.44024
202.00	0.53692
203.00	0.54809
204.00	0.53538
205.00	0.56285
206.00	0.48596
207.00	0.53966
208.00	0.54519
209.00	0.49327
210.00	0.49415
211.00	0.54392
212.00	0.55531
213.00	0.58115
214.00	0.63767
215.00	0.69831
216.00	0.69856
217.00	0.67511
218.00	0.64735
219.00	0.62001
220.00	0.59647
221.00	0.57789
222.00	0.56309
223.00	0.55204
224.00	0.54346
225.00	0.53673
226.00	0.53213
227.00	0.52832
228.00	0.52535
229.00	0.52360
230.00	0.52211
231.00	0.52113
232.00	0.52062
233.00	0.52055
234.00	0.52068
235.00	0.52094
236.00	0.52058
237.00	0.51961
238.00	0.51833
239.00	0.51585
240.00	0.51284
241.00	0.50972
242.00	0.50662
243.00	0.50357
244.00	0.50148
245.00	0.49998
246.00	0.49844
247.00	0.49750
248.00	0.49627
249.00	0.49509
250.00	0.49302
251.00	0.48997
252.00	0.48576
253.00	0.47999
254.00	0.47281
255.00	0.46438
256.00	0.45441
257.00	0.44335
258.00	0.43129
259.00	0.41826
260.00	0.40545
261.00	0.39182
262.00	0.37920
263.00	0.36628
264.00	0.35459
265.00	0.34361
266.00	0.33390
267.00	0.32505
268.00	0.31802
269.00	0.31175
270.00	0.30690
271.00	0.30306
272.00	0.29973
273.00	0.29711
274.00	0.29514
275.00	0.29372
276.00	0.29302
277.00	0.29256
278.00	0.29243
279.00	0.29231
280.00	0.29226
281.00	0.29272
282.00	0.29324
283.00	0.29374
284.00	0.29398
285.00	0.29445
286.00	0.29511
287.00	0.29532
288.00	0.29568
289.00	0.29550
290.00	0.29466
291.00	0.29369
292.00	0.29175
293.00	0.28916
294.00	0.28600
295.00	0.28199
296.00	0.27751
297.00	0.27185
298.00	0.26543
299.00	0.25852
300.00	0.25030
301.00	0.24158
302.00	0.23156
303.00	0.22100
304.00	0.20935
305.00	0.19737
306.00	0.18506
307.00	0.17266
308.00	0.16050
309.00	0.14903
310.00	0.13823
311.00	0.12807
312.00	0.11894
313.00	0.11076
314.00	0.10374
315.00	0.097235
316.00	0.091871
317.00	0.086955
318.00	0.083055
319.00	0.079348
320.00	0.076406
321.00	0.073928
322.00	0.071789
323.00	0.069948
324.00	0.068553
325.00	0.067533
326.00	0.066576
327.00	0.065898
328.00	0.065523
329.00	0.065328
330.00	0.065402
331.00	0.065718
332.00	0.066359
333.00	0.066949
334.00	0.067879
335.00	0.068889
336.00	0.070205
337.00	0.071566
338.00	0.073299
339.00	0.074729
340.00	0.076838
341.00	0.078876
342.00	0.081122
343.00	0.083588
344.00	0.085908
345.00	0.088731
346.00	0.091447
347.00	0.094220
348.00	0.097317
349.00	0.10047
350.00	0.10384
351.00	0.10717
352.00	0.11067
353.00	0.11466
354.00	0.11830
355.00	0.12211
356.00	0.12577
357.00	0.12951
358.00	0.13337
359.00	0.13669
360.00	0.14031
361.00	0.14398
362.00	0.14772
363.00	0.15125
364.00	0.15499
365.00	0.15811
366.00	0.16144
367.00	0.16438
368.00	0.16692
369.00	0.16941
370.00	0.17190
371.00	0.17368
372.00	0.17525
373.00	0.17657
374.00	0.17751
375.00	0.17833
376.00	0.17866
377.00	0.17779
378.00	0.17714
379.00	0.17587
380.00	0.17377
381.00	0.17118
382.00	0.16795
383.00	0.16402
384.00	0.15991
385.00	0.15512
386.00	0.14977
387.00	0.14392
388.00	0.13807
389.00	0.13185
390.00	0.12483
391.00	0.11806
392.00	0.11120
393.00	0.10420
394.00	0.097806
395.00	0.091400
396.00	0.084717
397.00	0.078189
398.00	0.071803
399.00	0.066448
400.00	0.061554
401.00	0.056156
402.00	0.051379
403.00	0.046975
404.00	0.043138
405.00	0.039624
406.00	0.036369
407.00	0.033898
408.00	0.031522
409.00	0.028900
410.00	0.027034
411.00	0.025263
412.00	0.024117
413.00	0.022936
414.00	0.022002
415.00	0.021178
416.00	0.020765
417.00	0.020317
418.00	0.020149
419.00	0.019987
420.00	0.020098
421.00	0.020228
422.00	0.020131
423.00	0.020340
424.00	0.021131
425.00	0.021524
426.00	0.021930
427.00	0.023102
428.00	0.023381
429.00	0.024433
430.00	0.025453
431.00	0.026030
432.00	0.026834
433.00	0.028124
434.00	0.029173
435.00	0.030006
436.00	0.031494
437.00	0.032376
438.00	0.033652
439.00	0.034663
440.00	0.036434
441.00	0.038044
442.00	0.038756
443.00	0.040302
444.00	0.042047
445.00	0.043375
446.00	0.044917
447.00	0.046722
448.00	0.048540
449.00	0.050279
450.00	0.052102
451.00	0.054041
452.00	0.056207
453.00	0.058185
