Wavelength (nm)	C08 ems
534.00	0.012935
534.50	0.012470
535.00	0.012288
535.50	0.011907
536.00	0.011639
536.50	0.011391
537.00	0.011114
537.50	0.010727
538.00	0.010680
538.50	0.010307
539.00	0.010180
539.50	0.0098986
540.00	0.0097023
540.50	0.0093804
541.00	0.0092770
541.50	0.0088827
542.00	0.0087370
542.50	0.0086136
543.00	0.0085288
543.50	0.0082367
544.00	0.0080068
544.50	0.0077675
545.00	0.0077182
545.50	0.0072726
546.00	0.0074029
546.50	0.0071395
547.00	0.0069371
547.50	0.0068449
548.00	0.0068196
548.50	0.0065471
549.00	0.0064884
549.50	0.0063315
550.00	0.0063894
550.50	0.0060501
551.00	0.0059533
551.50	0.0058644
552.00	0.0057281
552.50	0.0055867
553.00	0.0054159
553.50	0.0053270
554.00	0.0053411
554.50	0.0050656
555.00	0.0050902
555.50	0.0049399
556.00	0.0048936
556.50	0.0048405
557.00	0.0047645
557.50	0.0046105
558.00	0.0046566
558.50	0.0044574
559.00	0.0044170
559.50	0.0044236
560.00	0.0043322
560.50	0.0041072
561.00	0.0041593
561.50	0.0040608
562.00	0.0040760
562.50	0.0039403
563.00	0.0038102
563.50	0.0037455
564.00	0.0036994
564.50	0.0036793
565.00	0.0035943
565.50	0.0035825
566.00	0.0035066
566.50	0.0033598
567.00	0.0033049
567.50	0.0032638
568.00	0.0032835
568.50	0.0032423
569.00	0.0031385
569.50	0.0031452
570.00	0.0030722
570.50	0.0030640
571.00	0.0029323
571.50	0.0028811
572.00	0.0027800
572.50	0.0027855
573.00	0.0028182
573.50	0.0027179
574.00	0.0026893
574.50	0.0026151
575.00	0.0026097
575.50	0.0025569
576.00	0.0025594
576.50	0.0025919
577.00	0.0024283
577.50	0.0024417
578.00	0.0023942
578.50	0.0023141
579.00	0.0022343
579.50	0.0022469
580.00	0.0022231
580.50	0.0021877
581.00	0.0021203
581.50	0.0021292
582.00	0.0021299
582.50	0.0021194
583.00	0.0020748
583.50	0.0019969
584.00	0.0020674
584.50	0.0019307
585.00	0.0019969
585.50	0.0019608
586.00	0.0019078
586.50	0.0019389
587.00	0.0019306
587.50	0.0019315
588.00	0.0018675
588.50	0.0018616
589.00	0.0018120
589.50	0.0018175
590.00	0.0017930
590.50	0.0017585
591.00	0.0017744
591.50	0.0017429
592.00	0.0017392
592.50	0.0017066
593.00	0.0016095
593.50	0.0017316
594.00	0.0016476
594.50	0.0016316
595.00	0.0016489
595.50	0.0016472
596.00	0.0016313
596.50	0.0015707
597.00	0.0015809
597.50	0.0016178
598.00	0.0016463
598.50	0.0016059
599.00	0.0015330
599.50	0.0015316
600.00	0.0015193
