Wavelength (nm)	J16 abs N
631.00	0.0016302
632.00	0.0019377
633.00	0.0020228
634.00	0.0022431
635.00	0.0022183
636.00	0.0021197
637.00	0.0018133
638.00	0.0016507
639.00	0.0016006
640.00	0.0014504
641.00	0.0010895
642.00	0.00085850
643.00	0.00072872
644.00	0.00062855
645.00	0.00076103
646.00	0.00076049
647.00	0.00065278
648.00	0.00077719
649.00	0.00035928
650.00	0.00046645
651.00	0.00068133
652.00	0.00060809
653.00	0.00067486
654.00	0.00074003
655.00	0.00069479
656.00	0.00047561
657.00	0.00074272
658.00	0.00084181
659.00	0.00048045
660.00	0.00038890
661.00	0.00041906
662.00	0.00028927
663.00	0.00055154
664.00	0.00069533
665.00	0.00068725
666.00	0.00079119
667.00	0.00024404
668.00	0.00035713
669.00	0.00042606
670.00	0.00050307
671.00	0.00063932
672.00	0.00044060
673.00	0.00044060
674.00	0.00044760
675.00	0.00028066
676.00	0.00014064
677.00	0.00052515
678.00	0.00053915
679.00	0.00040290
680.00	0.00057524
681.00	0.00027581
682.00	0.00046376
683.00	0.00049715
684.00	0.00064901
685.00	0.00040829
686.00	0.00048692
687.00	0.00036844
688.00	0.00042283
689.00	0.00060216
690.00	0.00055800
691.00	0.00042014
692.00	0.00024511
693.00	0.00052031
694.00	0.00042768
695.00	0.00044760
696.00	0.00044276
697.00	0.00040075
698.00	0.00047184
699.00	0.00042983
700.00	0.00042229
