Wavelength (nm)	D05 abs N
308.25	0.64066
308.50	0.64538
308.75	0.65349
309.00	0.65640
309.25	0.66572
309.50	0.67561
309.75	0.68417
310.00	0.69195
310.25	0.69483
310.50	0.69588
310.75	0.71261
311.00	0.71129
311.25	0.72356
311.50	0.73498
311.75	0.73985
312.00	0.75201
312.25	0.76374
312.50	0.76492
312.75	0.78116
313.00	0.78636
313.25	0.79584
313.50	0.80088
313.75	0.79092
314.00	0.80962
314.25	0.82040
314.50	0.81509
314.75	0.81647
315.00	0.82729
315.25	0.82252
315.50	0.82317
315.75	0.82713
316.00	0.83093
316.25	0.82268
316.50	0.81781
316.75	0.82310
317.00	0.82269
317.25	0.82605
317.50	0.82010
317.75	0.82216
318.00	0.82136
318.25	0.81719
318.50	0.82008
318.75	0.80872
319.00	0.80690
319.25	0.80519
319.50	0.80532
319.75	0.80739
320.00	0.79663
320.25	0.79320
320.50	0.80438
320.75	0.80813
321.00	0.81194
321.25	0.80871
321.50	0.80653
321.75	0.80607
322.00	0.80738
322.25	0.80797
322.50	0.82221
322.75	0.82232
323.00	0.81614
323.25	0.82223
323.50	0.82063
323.75	0.82703
324.00	0.83901
324.25	0.82938
324.50	0.84931
324.75	0.84604
325.00	0.86114
325.25	0.85210
325.50	0.86107
325.75	0.88089
326.00	0.89508
326.25	0.89207
326.50	0.90558
326.75	0.91638
327.00	0.92199
327.25	0.92921
327.50	0.94414
327.75	0.94934
328.00	0.94161
328.25	0.95845
328.50	0.97062
328.75	0.97856
329.00	0.99313
329.25	0.99128
329.50	0.99819
329.75	0.99085
330.00	1.0000
330.25	0.98486
330.50	0.98001
330.75	0.98379
331.00	0.98034
331.25	0.96550
331.50	0.96761
331.75	0.94466
332.00	0.94079
332.25	0.93413
332.50	0.92492
332.75	0.89850
333.00	0.88680
333.25	0.88688
333.50	0.86492
333.75	0.85875
334.00	0.84528
334.25	0.82662
334.50	0.81931
334.75	0.80207
335.00	0.79837
335.25	0.77718
335.50	0.77083
335.75	0.75780
336.00	0.74494
336.25	0.74559
336.50	0.71807
336.75	0.71204
337.00	0.70189
337.25	0.69789
337.50	0.69071
337.75	0.67139
338.00	0.66468
338.25	0.65359
338.50	0.63600
338.75	0.62101
339.00	0.62600
339.25	0.61955
339.50	0.61938
339.75	0.61576
340.00	0.60354
340.25	0.61232
340.50	0.60419
340.75	0.59753
341.00	0.58924
341.25	0.58811
341.50	0.59087
341.75	0.59100
342.00	0.58895
342.25	0.59986
342.50	0.59164
342.75	0.59649
343.00	0.59145
343.25	0.58297
343.50	0.59190
343.75	0.58907
344.00	0.60063
344.25	0.59746
344.50	0.59608
344.75	0.61277
345.00	0.60641
345.25	0.61204
345.50	0.61367
345.75	0.61411
346.00	0.62065
346.25	0.62817
346.50	0.62956
346.75	0.62661
347.00	0.62987
347.25	0.63295
347.50	0.63029
347.75	0.62815
348.00	0.62216
348.25	0.62561
348.50	0.62132
348.75	0.61544
349.00	0.61490
349.25	0.59424
349.50	0.58810
349.75	0.58017
350.00	0.57082
350.25	0.55221
350.50	0.54035
350.75	0.52373
351.00	0.50741
