Wavelength (nm)	A05 ems
265.00	0.017722
266.00	0.017713
267.00	0.018549
268.00	0.023990
269.00	0.024010
270.00	0.025314
271.00	0.035923
272.00	0.055560
273.00	0.12219
274.00	0.20102
275.00	0.29225
276.00	0.34024
277.00	0.36298
278.00	0.38996
279.00	0.44788
280.00	0.57759
281.00	0.68827
282.00	0.76945
283.00	0.81925
284.00	0.85626
285.00	0.87808
286.00	0.87954
287.00	0.89353
288.00	0.92543
289.00	0.96618
290.00	0.97717
291.00	1.0000
292.00	0.99210
293.00	0.96510
294.00	0.97521
295.00	0.96465
296.00	0.91195
297.00	0.85423
298.00	0.79893
299.00	0.73693
300.00	0.67715
301.00	0.63368
302.00	0.58243
303.00	0.53688
304.00	0.48919
305.00	0.44200
306.00	0.41108
307.00	0.37271
308.00	0.34163
309.00	0.31370
310.00	0.28859
311.00	0.25858
312.00	0.22389
313.00	0.20422
314.00	0.18670
315.00	0.16946
316.00	0.14989
317.00	0.13667
318.00	0.11735
319.00	0.10671
320.00	0.095608
321.00	0.083840
322.00	0.077884
323.00	0.071519
324.00	0.062668
325.00	0.056311
326.00	0.050072
327.00	0.049003
328.00	0.040532
329.00	0.036631
330.00	0.033041
331.00	0.028664
332.00	0.027225
333.00	0.023700
334.00	0.021831
335.00	0.019831
336.00	0.016655
337.00	0.016609
338.00	0.013219
339.00	0.012691
340.00	0.011106
341.00	0.0082916
342.00	0.0084586
343.00	0.0088647
344.00	0.0069465
345.00	0.0065139
346.00	0.0051777
347.00	0.0049116
348.00	0.0047801
349.00	0.0032786
350.00	0.0028840
