Wavelength (nm)	R03 abs N
300.00	0.083749
301.00	0.085223
302.00	0.086835
303.00	0.088262
304.00	0.089950
305.00	0.091744
306.00	0.093818
307.00	0.095715
308.00	0.097702
309.00	0.099754
310.00	0.10197
311.00	0.10409
312.00	0.10591
313.00	0.10736
314.00	0.10859
315.00	0.10942
316.00	0.11015
317.00	0.11072
318.00	0.11100
319.00	0.11118
320.00	0.11123
321.00	0.11114
322.00	0.11123
323.00	0.11123
324.00	0.11108
325.00	0.11105
326.00	0.11108
327.00	0.11129
328.00	0.11148
329.00	0.11185
330.00	0.11239
331.00	0.11301
332.00	0.11378
333.00	0.11481
334.00	0.11560
335.00	0.11674
336.00	0.11795
337.00	0.11926
338.00	0.12076
339.00	0.12211
340.00	0.12367
341.00	0.12521
342.00	0.12694
343.00	0.12861
344.00	0.13027
345.00	0.13195
346.00	0.13358
347.00	0.13530
348.00	0.13703
349.00	0.13871
350.00	0.14028
351.00	0.14180
352.00	0.14347
353.00	0.14531
354.00	0.14708
355.00	0.14887
356.00	0.15063
357.00	0.15221
358.00	0.15446
359.00	0.15721
360.00	0.16070
361.00	0.16422
362.00	0.16791
363.00	0.17113
364.00	0.17156
365.00	0.17085
366.00	0.16975
367.00	0.17098
368.00	0.17500
369.00	0.17972
370.00	0.18351
371.00	0.18674
372.00	0.19056
373.00	0.19369
374.00	0.19662
375.00	0.20050
376.00	0.20421
377.00	0.20817
378.00	0.21206
379.00	0.21629
380.00	0.22029
381.00	0.22386
382.00	0.22779
383.00	0.23159
384.00	0.23534
385.00	0.23920
386.00	0.24258
387.00	0.24641
388.00	0.25011
389.00	0.25282
390.00	0.25578
391.00	0.25957
392.00	0.26335
393.00	0.26670
394.00	0.26902
395.00	0.27242
396.00	0.27606
397.00	0.28036
398.00	0.28400
399.00	0.28693
400.00	0.28949
401.00	0.29338
402.00	0.29730
403.00	0.30117
404.00	0.30488
405.00	0.30921
406.00	0.31288
407.00	0.31552
408.00	0.32022
409.00	0.32436
410.00	0.32756
411.00	0.33156
412.00	0.33589
413.00	0.34038
414.00	0.34363
415.00	0.34735
416.00	0.35107
417.00	0.35480
418.00	0.35869
419.00	0.36101
420.00	0.36323
421.00	0.36398
422.00	0.36440
423.00	0.36267
424.00	0.36075
425.00	0.35848
426.00	0.35614
427.00	0.35413
428.00	0.35167
429.00	0.34859
430.00	0.34656
431.00	0.34350
432.00	0.33984
433.00	0.33756
434.00	0.33620
435.00	0.33279
436.00	0.33107
437.00	0.32940
438.00	0.32690
439.00	0.32609
440.00	0.32470
441.00	0.32427
442.00	0.32405
443.00	0.32343
444.00	0.32388
445.00	0.32468
446.00	0.32548
447.00	0.32724
