Wavelength (nm)	B02 abs N
308.25	0.13973
308.50	0.13547
308.75	0.13225
309.00	0.12471
309.25	0.12035
309.50	0.11901
309.75	0.11099
310.00	0.11802
310.25	0.10905
310.50	0.11439
310.75	0.10428
311.00	0.095088
311.25	0.094282
311.50	0.094472
311.75	0.095507
312.00	0.087041
312.25	0.079816
312.50	0.082973
312.75	0.071179
313.00	0.081732
313.25	0.078646
313.50	0.074072
313.75	0.062516
314.00	0.052421
314.25	0.055155
314.50	0.061834
314.75	0.052197
315.00	0.055548
315.25	0.055350
315.50	0.041795
315.75	0.042829
316.00	0.044965
316.25	0.044662
316.50	0.035588
316.75	0.039220
317.00	0.038759
317.25	0.026929
317.50	0.035184
317.75	0.033225
318.00	0.028176
318.25	0.028902
318.50	0.022691
318.75	0.025944
319.00	0.025976
319.25	0.022581
319.50	0.025439
319.75	0.019808
320.00	0.019637
320.25	0.016243
320.50	0.023556
320.75	0.019854
321.00	0.020140
321.25	0.015628
321.50	0.014567
321.75	0.016112
322.00	0.014400
322.25	0.012899
322.50	0.014762
322.75	0.012380
323.00	0.013741
323.25	0.015357
323.50	0.0087049
323.75	0.012778
324.00	0.011233
324.25	0.011651
324.50	0.0093664
324.75	0.0053031
325.00	0.0097281
325.25	0.0080950
325.50	0.011049
325.75	0.010834
326.00	0.010002
326.25	0.010359
326.50	0.0056970
326.75	0.0087923
327.00	0.0094134
327.25	0.0060017
327.50	0.012012
327.75	0.0069884
328.00	0.0079969
328.25	0.0010631
328.50	0.0064038
328.75	0.0069280
329.00	0.0082094
329.25	0.0059864
329.50	0.0035256
329.75	0.0073430
330.00	0.0039841
330.25	0.0059347
330.50	0.0063357
330.75	0.0085153
331.00	0.0046721
331.25	0.0090089
331.50	0.0072878
331.75	0.0078472
332.00	0.0072356
332.25	0.0055761
332.50	0.0010636
332.75	0.0013149
333.00	0.0022706
333.25	0.0042564
333.50	-0.00096040
333.75	0.0058948
334.00	0.0050102
334.25	0.0023116
334.50	0.0026333
334.75	0.0024443
335.00	0.0062881
335.25	0.0074639
335.50	0.0036735
335.75	0.0027273
336.00	0.0061836
336.25	0.0020586
336.50	0.0048722
336.75	0.0043398
337.00	0.0025218
337.25	0.0058989
337.50	-0.00011040
337.75	0.0029761
338.00	0.0023557
338.25	0.0063139
338.50	0.0013172
338.75	0.0038402
339.00	0.0045229
339.25	0.0071956
339.50	0.0039424
339.75	0.0069145
340.00	0.0023580
340.25	0.0044055
340.50	0.0025787
340.75	0.0058326
341.00	0.0022183
341.25	0.0012104
341.50	-0.00034345
341.75	0.0064677
342.00	0.0061466
342.25	0.00071847
342.50	0.0055309
342.75	0.00059578
343.00	0.00015141
343.25	0.0032115
343.50	-0.0018380
343.75	-0.00037163
344.00	0.0058056
344.25	0.0038995
344.50	0.0038074
344.75	-9.4386e-06
345.00	0.0046444
345.25	0.0050806
345.50	0.0013783
345.75	0.0049403
346.00	0.0048129
346.25	0.0055925
346.50	0.0054123
346.75	0.0045012
347.00	0.0035373
347.25	0.0024238
347.50	0.0028247
347.75	0.0035690
348.00	0.0044895
348.25	0.0034199
348.50	0.0060310
348.75	0.0012808
349.00	0.0051510
349.25	0.0036236
349.50	0.0022899
349.75	0.0053765
350.00	0.0030037
350.25	0.0028675
350.50	0.0091416
350.75	0.0030266
351.00	0.0025558
351.25	0.0034146
351.50	0.0047049
