Wavelength (nm)	T06 Chl e6 abs N
450.00	0.018788
451.00	0.018487
452.00	0.017846
453.00	0.017653
454.00	0.017458
455.00	0.017549
456.00	0.017324
457.00	0.017210
458.00	0.017196
459.00	0.017215
460.00	0.017491
461.00	0.017320
462.00	0.017374
463.00	0.017452
464.00	0.017772
465.00	0.018110
466.00	0.018073
467.00	0.018084
468.00	0.018651
469.00	0.018836
470.00	0.019122
471.00	0.019631
472.00	0.020018
473.00	0.020416
474.00	0.020803
475.00	0.021355
476.00	0.021668
477.00	0.022295
478.00	0.022789
479.00	0.023396
480.00	0.024187
481.00	0.025391
482.00	0.026698
483.00	0.028672
484.00	0.030766
485.00	0.033966
486.00	0.037470
487.00	0.039500
488.00	0.043591
489.00	0.048906
490.00	0.053823
491.00	0.058935
492.00	0.063399
493.00	0.067810
494.00	0.071937
495.00	0.075205
496.00	0.078319
497.00	0.080092
498.00	0.081950
499.00	0.083431
500.00	0.084282
501.00	0.084874
502.00	0.085113
503.00	0.084403
504.00	0.083216
505.00	0.080998
506.00	0.077152
507.00	0.072983
508.00	0.067661
509.00	0.062227
510.00	0.056703
511.00	0.050981
512.00	0.045944
513.00	0.041072
514.00	0.036730
515.00	0.033122
516.00	0.029828
517.00	0.027008
518.00	0.024430
519.00	0.022625
520.00	0.021071
521.00	0.020205
522.00	0.019493
523.00	0.019473
524.00	0.019741
525.00	0.020449
526.00	0.021483
527.00	0.022603
528.00	0.023831
529.00	0.024962
530.00	0.025600
531.00	0.026059
532.00	0.025836
533.00	0.025097
534.00	0.023965
535.00	0.022590
536.00	0.020918
537.00	0.019161
538.00	0.017258
539.00	0.015757
540.00	0.014351
541.00	0.013102
542.00	0.012163
543.00	0.011281
544.00	0.010757
545.00	0.010430
546.00	0.010290
547.00	0.0099522
548.00	0.010087
549.00	0.010167
550.00	0.010300
551.00	0.010569
552.00	0.010679
553.00	0.011095
554.00	0.011307
555.00	0.011411
556.00	0.011464
557.00	0.011610
558.00	0.011631
559.00	0.011406
560.00	0.011244
561.00	0.011160
562.00	0.010964
563.00	0.010440
564.00	0.010052
565.00	0.0097055
566.00	0.0093368
567.00	0.0090457
568.00	0.0085945
569.00	0.0082803
570.00	0.0079433
571.00	0.0076446
572.00	0.0073197
573.00	0.0071749
574.00	0.0071065
575.00	0.0068289
576.00	0.0067735
577.00	0.0068216
578.00	0.0066856
579.00	0.0066352
580.00	0.0066987
581.00	0.0067825
582.00	0.0068248
583.00	0.0066856
584.00	0.0069364
585.00	0.0072579
586.00	0.0073311
587.00	0.0076665
588.00	0.0081452
589.00	0.0085733
590.00	0.0092369
591.00	0.0098463
592.00	0.010938
593.00	0.012019
594.00	0.013030
595.00	0.014379
596.00	0.015543
597.00	0.017068
598.00	0.018741
599.00	0.020301
600.00	0.021568
601.00	0.022946
602.00	0.024139
603.00	0.025277
604.00	0.026074
605.00	0.026657
606.00	0.027131
607.00	0.027385
608.00	0.027436
609.00	0.027434
610.00	0.026950
611.00	0.026583
612.00	0.026115
613.00	0.025414
614.00	0.024639
615.00	0.023973
616.00	0.023231
617.00	0.022483
618.00	0.021798
619.00	0.021210
620.00	0.020666
621.00	0.020238
622.00	0.019902
623.00	0.019720
624.00	0.019670
625.00	0.019719
626.00	0.019853
627.00	0.020166
628.00	0.020596
629.00	0.021072
630.00	0.021642
631.00	0.022047
632.00	0.022610
633.00	0.023313
634.00	0.024018
635.00	0.024549
636.00	0.025449
637.00	0.026488
638.00	0.027817
639.00	0.029398
640.00	0.031647
641.00	0.034536
642.00	0.038145
643.00	0.042167
644.00	0.047293
645.00	0.053713
646.00	0.061081
647.00	0.070087
648.00	0.080726
649.00	0.092625
650.00	0.10640
651.00	0.12210
652.00	0.13958
653.00	0.15911
654.00	0.17844
655.00	0.20805
656.00	0.23091
657.00	0.23530
658.00	0.26212
659.00	0.28490
660.00	0.30156
661.00	0.31482
662.00	0.32264
663.00	0.32538
664.00	0.32163
665.00	0.31083
666.00	0.29504
667.00	0.27469
668.00	0.25096
669.00	0.22468
670.00	0.19669
671.00	0.16945
672.00	0.14378
673.00	0.12105
674.00	0.10020
675.00	0.082090
676.00	0.066848
677.00	0.054389
678.00	0.043912
679.00	0.035620
680.00	0.028826
681.00	0.023456
682.00	0.019229
683.00	0.015840
684.00	0.013166
685.00	0.010886
686.00	0.0092233
687.00	0.0079302
688.00	0.0069624
689.00	0.0060890
690.00	0.0055452
691.00	0.0049739
692.00	0.0045799
693.00	0.0042013
694.00	0.0038920
695.00	0.0036706
696.00	0.0034273
697.00	0.0033361
698.00	0.0030968
699.00	0.0029169
700.00	0.0028526
701.00	0.0026669
702.00	0.0025424
703.00	0.0024407
704.00	0.0022331
705.00	0.0020988
706.00	0.0019417
707.00	0.0019255
708.00	0.0017269
709.00	0.0016495
710.00	0.0015364
711.00	0.0013141
712.00	0.0013369
713.00	0.0012685
714.00	0.0012279
715.00	0.0010252
716.00	0.0010162
717.00	0.00097633
718.00	0.00096086
719.00	0.00086155
720.00	0.00074108
721.00	0.00076632
722.00	0.00069062
723.00	0.00069468
724.00	0.00071585
725.00	0.00065317
726.00	0.00065073
727.00	0.00061410
728.00	0.00053270
729.00	0.00059619
730.00	0.00049932
731.00	0.00056038
732.00	0.00049770
733.00	0.00047246
734.00	0.00047735
735.00	0.00039676
736.00	0.00040165
737.00	0.00039269
738.00	0.00037072
739.00	0.00044235
740.00	0.00039921
741.00	0.00040409
742.00	0.00041793
743.00	0.00031374
744.00	0.00032839
745.00	0.00040816
746.00	0.00038862
747.00	0.00039351
748.00	0.00039758
749.00	0.00040979
750.00	0.00040083
751.00	0.00032432
752.00	0.00036095
753.00	0.00035606
754.00	0.00032106
755.00	0.00032269
756.00	0.00042525
757.00	0.00031374
758.00	0.00029257
759.00	0.00031699
760.00	0.00028606
761.00	0.00028199
762.00	0.00027141
763.00	0.00037316
764.00	0.00033490
765.00	0.00029990
766.00	0.00034467
767.00	0.00023315
768.00	0.00033246
769.00	0.00035281
770.00	0.00023641
771.00	0.00029013
772.00	0.00031943
773.00	0.00032106
774.00	0.00020141
775.00	0.00021850
776.00	0.00032025
777.00	0.00019571
778.00	0.00025350
779.00	0.00025594
780.00	0.00035769
781.00	0.00024618
782.00	0.00025513
783.00	0.00033816
784.00	0.00020304
785.00	0.00031781
786.00	0.00029746
787.00	0.00025432
788.00	0.00021443
789.00	0.00030397
790.00	0.00027385
791.00	0.00031699
792.00	0.00024781
793.00	0.00028280
794.00	0.00020466
795.00	0.00030397
796.00	0.00028118
797.00	0.00032350
798.00	0.00025594
799.00	0.00028443
800.00	0.00023885
