Wavelength (nm)	I08 abs N
553.00	0.021097
554.00	0.020609
555.00	0.020239
556.00	0.019751
557.00	0.019385
558.00	0.018962
559.00	0.018689
560.00	0.018300
561.00	0.017933
562.00	0.017569
563.00	0.017242
564.00	0.016953
565.00	0.016701
566.00	0.016455
567.00	0.016144
568.00	0.015861
569.00	0.015478
570.00	0.015222
571.00	0.014989
572.00	0.014717
573.00	0.014390
574.00	0.014143
575.00	0.013875
576.00	0.013505
577.00	0.013257
578.00	0.012875
579.00	0.012687
580.00	0.012396
581.00	0.012167
582.00	0.011767
583.00	0.011562
584.00	0.011355
585.00	0.011029
586.00	0.010775
587.00	0.010561
588.00	0.010234
589.00	0.010014
590.00	0.0097694
591.00	0.0095322
592.00	0.0093351
593.00	0.0090701
594.00	0.0088374
595.00	0.0085240
596.00	0.0083191
597.00	0.0081301
598.00	0.0079442
599.00	0.0076991
600.00	0.0075588
601.00	0.0073244
602.00	0.0071559
603.00	0.0069364
604.00	0.0067402
605.00	0.0065975
606.00	0.0064070
607.00	0.0062480
608.00	0.0060839
609.00	0.0058706
610.00	0.0057961
611.00	0.0056004
612.00	0.0054469
613.00	0.0053152
614.00	0.0051930
615.00	0.0050717
616.00	0.0049227
617.00	0.0048984
618.00	0.0046937
619.00	0.0045623
620.00	0.0045303
621.00	0.0043694
622.00	0.0043331
623.00	0.0042380
624.00	0.0041065
625.00	0.0040484
626.00	0.0039525
627.00	0.0039258
628.00	0.0038590
629.00	0.0037844
630.00	0.0037395
631.00	0.0036693
632.00	0.0036678
633.00	0.0037102
634.00	0.0037309
635.00	0.0036892
636.00	0.0036850
637.00	0.0035538
638.00	0.0034719
639.00	0.0033093
640.00	0.0031512
641.00	0.0030929
642.00	0.0030749
643.00	0.0030491
644.00	0.0029795
645.00	0.0030122
646.00	0.0029507
647.00	0.0029616
648.00	0.0029532
649.00	0.0028265
650.00	0.0027927
651.00	0.0028060
652.00	0.0027391
653.00	0.0027628
654.00	0.0025196
655.00	0.0025333
656.00	0.0026052
657.00	0.0026310
658.00	0.0026048
659.00	0.0026230
660.00	0.0025903
661.00	0.0025799
662.00	0.0024806
663.00	0.0024467
664.00	0.0024646
665.00	0.0024205
666.00	0.0023736
667.00	0.0023101
668.00	0.0023772
669.00	0.0023796
670.00	0.0022952
671.00	0.0023145
672.00	0.0023166
673.00	0.0023206
674.00	0.0023194
675.00	0.0023072
676.00	0.0022527
677.00	0.0022665
678.00	0.0021935
679.00	0.0022031
680.00	0.0022102
681.00	0.0021802
682.00	0.0021459
683.00	0.0021061
684.00	0.0020892
685.00	0.0021309
686.00	0.0020277
687.00	0.0021141
688.00	0.0020965
689.00	0.0020554
690.00	0.0020918
691.00	0.0020579
692.00	0.0020194
693.00	0.0020024
694.00	0.0020073
695.00	0.0019819
696.00	0.0019446
697.00	0.0019324
698.00	0.0019082
699.00	0.0019528
700.00	0.0019129
