Wavelength (nm)	Q-24, H2TBP(CO2Bu).ems
702.00	0.13027
703.00	0.12987
704.00	0.13065
705.00	0.13145
706.00	0.13310
707.00	0.13488
708.00	0.13708
709.00	0.13802
710.00	0.13762
711.00	0.13754
712.00	0.13679
713.00	0.13431
714.00	0.13192
715.00	0.12868
716.00	0.12466
717.00	0.12140
718.00	0.11807
719.00	0.11433
720.00	0.11174
721.00	0.10901
722.00	0.10718
723.00	0.10693
724.00	0.10669
725.00	0.10788
726.00	0.10986
727.00	0.11244
728.00	0.11655
729.00	0.12061
730.00	0.12473
731.00	0.13114
732.00	0.13513
733.00	0.14110
734.00	0.14567
735.00	0.15102
736.00	0.15481
737.00	0.15881
738.00	0.16181
739.00	0.16363
740.00	0.16466
741.00	0.16503
742.00	0.16595
743.00	0.16623
744.00	0.16587
745.00	0.16557
746.00	0.16540
747.00	0.16639
748.00	0.16575
749.00	0.16634
750.00	0.16625
751.00	0.16602
752.00	0.16616
753.00	0.16428
754.00	0.16398
755.00	0.16111
756.00	0.15853
757.00	0.15514
758.00	0.15049
759.00	0.14361
760.00	0.13708
761.00	0.13004
762.00	0.12072
763.00	0.11269
764.00	0.10328
765.00	0.093429
766.00	0.085795
767.00	0.077170
768.00	0.069585
769.00	0.062635
770.00	0.056351
771.00	0.050507
772.00	0.045122
773.00	0.040368
774.00	0.036654
775.00	0.032737
776.00	0.029921
777.00	0.027089
778.00	0.024956
779.00	0.022866
780.00	0.021041
781.00	0.019914
782.00	0.019074
783.00	0.017835
784.00	0.016942
785.00	0.016078
786.00	0.015683
787.00	0.015475
788.00	0.014881
789.00	0.014640
790.00	0.014371
791.00	0.014020
792.00	0.013481
793.00	0.013227
794.00	0.013355
795.00	0.013115
796.00	0.013068
797.00	0.012676
798.00	0.012420
799.00	0.011955
800.00	0.011913
801.00	0.011658
802.00	0.011224
803.00	0.011032
804.00	0.010654
805.00	0.010637
806.00	0.010006
807.00	0.010085
808.00	0.0098938
809.00	0.0095036
810.00	0.0094679
811.00	0.0092085
812.00	0.0087108
813.00	0.0085616
814.00	0.0081274
815.00	0.0080347
816.00	0.0079223
817.00	0.0077327
818.00	0.0074638
819.00	0.0078829
820.00	0.0076103
821.00	0.0074220
822.00	0.0073757
823.00	0.0065903
824.00	0.0067412
825.00	0.0069325
826.00	0.0063893
827.00	0.0065193
828.00	0.0064044
829.00	0.0062052
830.00	0.0062390
831.00	0.0063509
832.00	0.0059562
833.00	0.0059253
834.00	0.0059457
835.00	0.0052519
836.00	0.0053899
837.00	0.0051675
838.00	0.0054416
839.00	0.0055686
840.00	0.0052576
841.00	0.0052429
842.00	0.0049464
843.00	0.0052190
844.00	0.0049101
845.00	0.0048553
846.00	0.0045563
847.00	0.0045203
848.00	0.0045897
849.00	0.0042339
850.00	0.0043812
851.00	0.0042205
852.00	0.0039418
853.00	0.0035469
854.00	0.0036815
855.00	0.0035050
856.00	0.0038838
857.00	0.0036220
858.00	0.0034312
859.00	0.0033011
860.00	0.0033450
861.00	0.0032619
862.00	0.0031191
863.00	0.0028733
864.00	0.0029734
865.00	0.0029859
866.00	0.0027940
867.00	0.0027047
868.00	0.0023940
869.00	0.0029879
870.00	0.0022886
871.00	0.0023629
872.00	0.0021248
873.00	0.0021877
874.00	0.0020030
875.00	0.0026389
876.00	0.0022424
877.00	0.0020913
878.00	0.0021487
879.00	0.0019179
880.00	0.0019808
881.00	0.0019087
