Wavelength (nm)	P05 abs N
350.00	0.23429
350.25	0.23282
350.50	0.23543
350.75	0.23947
351.00	0.23616
351.25	0.23208
351.50	0.23836
351.75	0.23743
352.00	0.23883
352.25	0.24337
352.50	0.23966
352.75	0.24352
353.00	0.24091
353.25	0.23765
353.50	0.24510
353.75	0.24543
354.00	0.23947
354.25	0.24502
354.50	0.24122
354.75	0.23949
355.00	0.24236
355.25	0.24355
355.50	0.23870
355.75	0.24539
356.00	0.24394
356.25	0.24001
356.50	0.23855
356.75	0.24771
357.00	0.24258
357.25	0.23822
357.50	0.23953
357.75	0.23977
358.00	0.24358
358.25	0.24385
358.50	0.23630
358.75	0.24446
359.00	0.23862
359.25	0.23569
359.50	0.23646
359.75	0.23396
360.00	0.23523
360.25	0.23524
360.50	0.23438
360.75	0.23796
361.00	0.23935
361.25	0.22974
361.50	0.23440
361.75	0.23104
362.00	0.23237
362.25	0.23290
362.50	0.23420
362.75	0.23128
363.00	0.23095
363.25	0.22972
363.50	0.22912
363.75	0.22560
364.00	0.22336
364.25	0.22138
364.50	0.22714
364.75	0.22354
365.00	0.22047
365.25	0.22164
365.50	0.22095
365.75	0.22219
366.00	0.21698
366.25	0.21649
366.50	0.21373
366.75	0.21491
367.00	0.21108
367.25	0.21029
367.50	0.20881
367.75	0.21073
368.00	0.20928
368.25	0.20621
368.50	0.20626
368.75	0.20559
369.00	0.20331
369.25	0.20294
369.50	0.20478
369.75	0.20151
370.00	0.20415
370.25	0.19531
370.50	0.19544
370.75	0.18889
371.00	0.19342
371.25	0.18985
371.50	0.18771
371.75	0.18666
372.00	0.18743
372.25	0.18707
372.50	0.18170
372.75	0.18076
373.00	0.17909
373.25	0.17753
373.50	0.17290
373.75	0.17876
374.00	0.17564
374.25	0.17475
374.50	0.17281
374.75	0.17172
375.00	0.16770
375.25	0.16756
375.50	0.16556
375.75	0.16861
376.00	0.16015
376.25	0.16267
376.50	0.15869
376.75	0.16199
377.00	0.15825
377.25	0.15469
377.50	0.15777
377.75	0.15020
378.00	0.14955
378.25	0.14873
378.50	0.14682
378.75	0.14327
379.00	0.14725
379.25	0.13807
379.50	0.13467
379.75	0.13821
380.00	0.13848
380.25	0.13548
380.50	0.13328
380.75	0.13202
381.00	0.12876
381.25	0.12655
381.50	0.12392
381.75	0.12397
382.00	0.12233
382.25	0.12034
382.50	0.12062
382.75	0.11679
383.00	0.11346
383.25	0.11426
383.50	0.11040
383.75	0.11056
384.00	0.10826
384.25	0.10386
384.50	0.10527
384.75	0.10604
385.00	0.10077
385.25	0.098530
385.50	0.098123
385.75	0.094522
386.00	0.094560
386.25	0.092165
386.50	0.091794
386.75	0.088518
387.00	0.090400
387.25	0.088301
387.50	0.084763
387.75	0.084088
388.00	0.081194
388.25	0.080080
388.50	0.077264
388.75	0.078188
389.00	0.076585
389.25	0.073698
389.50	0.072458
389.75	0.068498
390.00	0.066711
390.25	0.069748
390.50	0.066446
390.75	0.065869
391.00	0.060764
391.25	0.061163
391.50	0.060740
391.75	0.061307
392.00	0.060124
392.25	0.060137
392.50	0.057398
392.75	0.056036
393.00	0.055276
393.25	0.053767
393.50	0.054582
393.75	0.049909
394.00	0.046774
394.25	0.044421
394.50	0.047711
394.75	0.045323
395.00	0.045344
395.25	0.042374
395.50	0.042108
395.75	0.039099
396.00	0.036824
396.25	0.036274
396.50	0.036225
396.75	0.034415
397.00	0.033339
397.25	0.036153
397.50	0.032491
397.75	0.030405
398.00	0.031348
398.25	0.032708
398.50	0.034462
398.75	0.026416
399.00	0.027955
399.25	0.028899
399.50	0.027393
399.75	0.027109
400.00	0.027743
400.25	0.026095
400.50	0.024853
400.75	0.025239
401.00	0.024265
401.25	0.024658
401.50	0.022973
401.75	0.025846
402.00	0.025695
402.25	0.023718
402.50	0.019681
402.75	0.023521
403.00	0.023361
403.25	0.023154
403.50	0.020491
403.75	0.022825
404.00	0.019682
404.25	0.018396
404.50	0.017033
404.75	0.017634
405.00	0.016640
405.25	0.016373
405.50	0.020607
405.75	0.016692
406.00	0.017723
406.25	0.017563
406.50	0.015584
406.75	0.016708
407.00	0.015150
407.25	0.014617
407.50	0.016134
407.75	0.012080
408.00	0.013789
408.25	0.015271
408.50	0.014997
408.75	0.012847
409.00	0.014216
409.25	0.013640
409.50	0.012018
409.75	0.011714
410.00	0.012903
410.25	0.013178
410.50	0.017567
410.75	0.015238
411.00	0.015075
411.25	0.016735
411.50	0.016290
411.75	0.016431
412.00	0.014384
412.25	0.016446
412.50	0.015923
412.75	0.018187
413.00	0.016668
413.25	0.014717
413.50	0.016442
413.75	0.018210
414.00	0.016082
414.25	0.017104
414.50	0.019209
414.75	0.015649
415.00	0.017966
415.25	0.019224
415.50	0.017557
415.75	0.021940
416.00	0.018555
416.25	0.020188
416.50	0.020046
416.75	0.021129
417.00	0.023840
417.25	0.023280
417.50	0.023479
417.75	0.024591
418.00	0.024106
418.25	0.025832
418.50	0.024763
418.75	0.021824
419.00	0.023297
419.25	0.025084
419.50	0.023972
419.75	0.024467
420.00	0.026031
420.25	0.024243
420.50	0.026293
420.75	0.026124
421.00	0.025527
421.25	0.026549
421.50	0.024860
421.75	0.024508
422.00	0.026399
422.25	0.026795
422.50	0.025727
422.75	0.025395
423.00	0.026792
423.25	0.026277
423.50	0.024490
423.75	0.022508
424.00	0.023331
424.25	0.023230
424.50	0.023446
424.75	0.022806
425.00	0.020912
425.25	0.022352
