Wavelength (nm)	H01 abs N
220.00	0.83840
221.00	0.73802
222.00	0.64868
223.00	0.57459
224.00	0.51393
225.00	0.46902
226.00	0.43243
227.00	0.40051
228.00	0.37097
229.00	0.34411
230.00	0.32059
231.00	0.30252
232.00	0.28707
233.00	0.26850
234.00	0.24688
235.00	0.22519
236.00	0.20852
237.00	0.19744
238.00	0.19077
239.00	0.18437
240.00	0.17658
241.00	0.17039
242.00	0.16946
243.00	0.17464
244.00	0.18442
245.00	0.19786
246.00	0.21443
247.00	0.23343
248.00	0.25473
249.00	0.27757
250.00	0.30224
251.00	0.32889
252.00	0.35625
253.00	0.38535
254.00	0.41631
255.00	0.44831
256.00	0.48175
257.00	0.51580
258.00	0.55177
259.00	0.58743
260.00	0.62427
261.00	0.66098
262.00	0.69536
263.00	0.72975
264.00	0.76343
265.00	0.79499
266.00	0.82549
267.00	0.85561
268.00	0.88294
269.00	0.91103
270.00	0.93685
271.00	0.95914
272.00	0.97607
273.00	0.98940
274.00	0.99881
275.00	1.00000
276.00	0.99541
277.00	0.98657
278.00	0.97361
279.00	0.96027
280.00	0.94674
281.00	0.93354
282.00	0.92058
283.00	0.90417
284.00	0.88428
285.00	0.85990
286.00	0.82734
287.00	0.78914
288.00	0.74644
289.00	0.70018
290.00	0.65357
291.00	0.61022
292.00	0.57098
293.00	0.53768
294.00	0.51053
295.00	0.48976
296.00	0.47458
297.00	0.46499
298.00	0.46064
299.00	0.45973
300.00	0.46254
301.00	0.46634
302.00	0.47154
303.00	0.47819
304.00	0.48411
305.00	0.48944
306.00	0.49482
307.00	0.49947
308.00	0.50265
309.00	0.50476
310.00	0.50546
311.00	0.50523
312.00	0.50432
313.00	0.50354
314.00	0.50072
315.00	0.49639
316.00	0.49080
317.00	0.48330
318.00	0.47374
319.00	0.46211
320.00	0.44914
321.00	0.43343
322.00	0.41606
323.00	0.39722
324.00	0.37835
325.00	0.35929
326.00	0.34022
327.00	0.32185
328.00	0.30377
329.00	0.28664
330.00	0.26927
331.00	0.25208
332.00	0.23443
333.00	0.21659
334.00	0.19776
335.00	0.17882
336.00	0.15973
337.00	0.14010
338.00	0.12069
339.00	0.10225
340.00	0.084295
341.00	0.068456
342.00	0.054260
343.00	0.042459
344.00	0.032658
345.00	0.025214
346.00	0.019215
347.00	0.014755
348.00	0.011695
349.00	0.0090574
350.00	0.0071656
351.00	0.0059122
352.00	0.0050848
353.00	0.0043321
354.00	0.0037809
355.00	0.0034001
356.00	0.0029581
357.00	0.0029798
358.00	0.0027005
359.00	0.0026176
360.00	0.0022915
361.00	0.0018118
362.00	0.0019262
363.00	0.0018953
364.00	0.0017917
365.00	0.0016037
366.00	0.0025336
367.00	0.0025774
368.00	0.0026639
369.00	0.0024270
370.00	0.0021884
371.00	0.0022137
372.00	0.0019751
373.00	0.0023358
374.00	0.0022229
375.00	0.0026330
376.00	0.0026928
377.00	0.0025243
378.00	0.0032373
379.00	0.0036459
380.00	0.0033914
381.00	0.0035444
382.00	0.0039272
383.00	0.0037536
384.00	0.0037984
385.00	0.0035444
386.00	0.0035902
387.00	0.0044202
388.00	0.0053352
389.00	0.0037330
390.00	0.0032219
391.00	0.0031482
392.00	0.0047927
393.00	0.0045943
394.00	0.0041564
395.00	0.0038633
396.00	0.0033996
397.00	0.0040173
398.00	0.0054475
399.00	0.0046891
400.00	0.0038406
