Wavelength (nm)	D03 ems
310.00	0.025191
311.00	0.029016
312.00	0.037522
313.00	0.050940
314.00	0.071985
315.00	0.095433
316.00	0.12238
317.00	0.14497
318.00	0.16805
319.00	0.18965
320.00	0.21648
321.00	0.25135
322.00	0.29860
323.00	0.35064
324.00	0.41172
325.00	0.46728
326.00	0.52485
327.00	0.56885
328.00	0.60205
329.00	0.62262
330.00	0.63148
331.00	0.63566
332.00	0.63531
333.00	0.63820
334.00	0.64495
335.00	0.65768
336.00	0.67984
337.00	0.70801
338.00	0.74661
339.00	0.78990
340.00	0.84148
341.00	0.88880
342.00	0.93183
343.00	0.96403
344.00	0.98764
345.00	1.0000
346.00	0.99468
347.00	0.98568
348.00	0.96547
349.00	0.94217
350.00	0.91651
351.00	0.89531
352.00	0.87276
353.00	0.84999
354.00	0.82984
355.00	0.81383
356.00	0.79790
357.00	0.78843
358.00	0.77944
359.00	0.77592
360.00	0.77172
361.00	0.76723
362.00	0.75675
363.00	0.74669
364.00	0.72956
365.00	0.71104
366.00	0.69200
367.00	0.67149
368.00	0.64793
369.00	0.62531
370.00	0.60086
371.00	0.57611
372.00	0.55231
373.00	0.52907
374.00	0.50615
375.00	0.48476
376.00	0.46591
377.00	0.44948
378.00	0.43317
379.00	0.41740
380.00	0.40246
381.00	0.38791
382.00	0.37208
383.00	0.35819
384.00	0.34242
385.00	0.32771
386.00	0.31488
387.00	0.30270
388.00	0.28925
389.00	0.27780
390.00	0.26583
391.00	0.25394
392.00	0.24142
393.00	0.23095
394.00	0.21984
395.00	0.20929
396.00	0.19786
397.00	0.18902
398.00	0.17960
399.00	0.17120
400.00	0.16294
401.00	0.15456
402.00	0.14685
403.00	0.13936
404.00	0.13147
405.00	0.12495
406.00	0.11882
407.00	0.11298
408.00	0.10663
409.00	0.10173
410.00	0.096432
411.00	0.090659
412.00	0.086197
413.00	0.081829
414.00	0.077168
415.00	0.073751
416.00	0.069411
417.00	0.066459
418.00	0.063342
419.00	0.059767
420.00	0.056345
421.00	0.053867
422.00	0.050992
423.00	0.048675
424.00	0.046278
425.00	0.044057
426.00	0.041585
427.00	0.039407
428.00	0.036904
429.00	0.035291
430.00	0.032849
431.00	0.031433
432.00	0.029378
433.00	0.028155
434.00	0.026388
435.00	0.025137
436.00	0.023283
437.00	0.022534
438.00	0.021199
439.00	0.020214
440.00	0.019131
441.00	0.018230
442.00	0.017276
443.00	0.016718
444.00	0.015726
445.00	0.015129
446.00	0.014457
447.00	0.013841
448.00	0.013156
449.00	0.012446
450.00	0.011791
451.00	0.011280
452.00	0.010550
453.00	0.010143
454.00	0.0096772
455.00	0.0089980
456.00	0.0086644
457.00	0.0082472
458.00	0.0078313
459.00	0.0073260
460.00	0.0070176
461.00	0.0067810
462.00	0.0064832
463.00	0.0061473
464.00	0.0060438
465.00	0.0056049
466.00	0.0055381
467.00	0.0053713
468.00	0.0050253
469.00	0.0048896
470.00	0.0047084
471.00	0.0045325
472.00	0.0043727
473.00	0.0041872
474.00	0.0040216
475.00	0.0039422
476.00	0.0038954
477.00	0.0037297
478.00	0.0035905
479.00	0.0035975
480.00	0.0032825
481.00	0.0032272
482.00	0.0031475
483.00	0.0029867
484.00	0.0029443
485.00	0.0029372
486.00	0.0028066
487.00	0.0027732
488.00	0.0026743
489.00	0.0026277
490.00	0.0024928
491.00	0.0024459
492.00	0.0024909
493.00	0.0024196
494.00	0.0023193
495.00	0.0023123
496.00	0.0021891
497.00	0.0022201
498.00	0.0022096
499.00	0.0021476
500.00	0.0020592
