Wavelength (nm)	K09 ems
650.00	0.0037489
651.00	0.0042394
652.00	0.0048650
653.00	0.0055239
654.00	0.0062541
655.00	0.0071649
656.00	0.0081246
657.00	0.0093243
658.00	0.010706
659.00	0.012307
660.00	0.014164
661.00	0.016205
662.00	0.018551
663.00	0.021258
664.00	0.024436
665.00	0.027910
666.00	0.031997
667.00	0.036505
668.00	0.041565
669.00	0.047218
670.00	0.053766
671.00	0.061279
672.00	0.069937
673.00	0.080012
674.00	0.090935
675.00	0.10269
676.00	0.11605
677.00	0.13038
678.00	0.14614
679.00	0.16212
680.00	0.18118
681.00	0.20088
682.00	0.22293
683.00	0.24581
684.00	0.27028
685.00	0.29714
686.00	0.32471
687.00	0.35326
688.00	0.38355
689.00	0.41411
690.00	0.44710
691.00	0.47915
692.00	0.51201
693.00	0.54662
694.00	0.58059
695.00	0.61562
696.00	0.65162
697.00	0.68691
698.00	0.72326
699.00	0.75712
700.00	0.78971
701.00	0.82112
702.00	0.84945
703.00	0.87635
704.00	0.90257
705.00	0.92565
706.00	0.94420
707.00	0.96172
708.00	0.97525
709.00	0.98676
710.00	0.99386
711.00	0.99917
712.00	1.0000
713.00	0.99902
714.00	0.99486
715.00	0.98735
716.00	0.97621
717.00	0.96427
718.00	0.94793
719.00	0.92947
720.00	0.90818
721.00	0.88533
722.00	0.85893
723.00	0.83614
724.00	0.80868
725.00	0.78160
726.00	0.75603
727.00	0.72865
728.00	0.69939
729.00	0.67110
730.00	0.64269
731.00	0.61494
732.00	0.58841
733.00	0.56072
734.00	0.53631
735.00	0.51221
736.00	0.48913
737.00	0.46642
738.00	0.44541
739.00	0.42502
740.00	0.40738
741.00	0.38961
742.00	0.37333
743.00	0.35750
744.00	0.34240
745.00	0.32716
746.00	0.31455
747.00	0.30318
748.00	0.29155
749.00	0.28169
750.00	0.27281
751.00	0.26467
752.00	0.25602
753.00	0.24957
754.00	0.24219
755.00	0.23591
756.00	0.23008
757.00	0.22497
758.00	0.22053
759.00	0.21486
760.00	0.21108
761.00	0.20744
762.00	0.20344
763.00	0.20072
764.00	0.19757
765.00	0.19465
766.00	0.19180
767.00	0.18827
768.00	0.18505
769.00	0.18217
770.00	0.17889
771.00	0.17666
772.00	0.17362
773.00	0.17100
774.00	0.16884
775.00	0.16601
776.00	0.16251
777.00	0.15989
778.00	0.15723
779.00	0.15373
780.00	0.15118
781.00	0.14803
782.00	0.14512
783.00	0.14173
784.00	0.13798
785.00	0.13464
786.00	0.13216
787.00	0.12872
788.00	0.12560
789.00	0.12199
790.00	0.11883
791.00	0.11587
792.00	0.11270
793.00	0.10951
794.00	0.10616
795.00	0.10290
796.00	0.10030
797.00	0.097356
798.00	0.094377
799.00	0.091698
800.00	0.088519
