Wavelength (nm)	I20 ems
684.50	0.62854
685.00	0.62497
685.50	0.61681
686.00	0.61180
686.50	0.60454
687.00	0.60045
687.50	0.59353
688.00	0.58770
688.50	0.58003
689.00	0.57603
689.50	0.56787
690.00	0.56300
690.50	0.55612
691.00	0.55253
691.50	0.54485
692.00	0.53900
692.50	0.53321
693.00	0.52936
693.50	0.52179
694.00	0.51694
694.50	0.51088
695.00	0.50567
695.50	0.49937
696.00	0.49395
696.50	0.48732
697.00	0.48250
697.50	0.47658
698.00	0.47145
698.50	0.46431
699.00	0.46041
699.50	0.45487
700.00	0.44999
700.50	0.44348
701.00	0.44052
701.50	0.43486
702.00	0.43034
702.50	0.42513
703.00	0.42264
703.50	0.41694
704.00	0.41391
704.50	0.40860
705.00	0.40539
705.50	0.40009
706.00	0.39673
706.50	0.39101
707.00	0.38895
707.50	0.38357
708.00	0.37957
708.50	0.37428
709.00	0.37298
709.50	0.36868
710.00	0.36514
710.50	0.36081
711.00	0.35672
711.50	0.35284
712.00	0.35017
712.50	0.34680
713.00	0.34384
713.50	0.34115
714.00	0.33707
714.50	0.33389
715.00	0.33172
715.50	0.32817
716.00	0.32475
716.50	0.32062
717.00	0.31912
717.50	0.31573
718.00	0.31270
718.50	0.30978
719.00	0.30687
719.50	0.30408
720.00	0.29980
720.50	0.29662
721.00	0.29585
721.50	0.29169
722.00	0.28841
722.50	0.28517
723.00	0.28300
723.50	0.27977
724.00	0.27718
724.50	0.27447
725.00	0.27298
725.50	0.27065
726.00	0.26754
726.50	0.26394
727.00	0.26278
727.50	0.26020
728.00	0.25770
728.50	0.25412
729.00	0.25289
729.50	0.24905
730.00	0.24763
730.50	0.24413
731.00	0.24334
731.50	0.23967
732.00	0.23720
732.50	0.23468
733.00	0.23260
733.50	0.23009
734.00	0.22766
734.50	0.22595
735.00	0.22264
735.50	0.22127
736.00	0.21766
736.50	0.21529
737.00	0.21428
737.50	0.21146
738.00	0.20916
738.50	0.20638
739.00	0.20547
739.50	0.20229
740.00	0.20048
740.50	0.19836
741.00	0.19631
741.50	0.19485
742.00	0.19132
742.50	0.18994
743.00	0.18824
743.50	0.18554
744.00	0.18305
744.50	0.18077
745.00	0.17906
745.50	0.17749
746.00	0.17559
746.50	0.17386
747.00	0.17130
747.50	0.16987
748.00	0.16724
748.50	0.16504
749.00	0.16373
749.50	0.16089
750.00	0.15924
750.50	0.15785
751.00	0.15546
751.50	0.15403
752.00	0.15204
752.50	0.15030
753.00	0.14929
753.50	0.14589
754.00	0.14539
754.50	0.14247
755.00	0.14108
755.50	0.13908
756.00	0.13778
756.50	0.13561
757.00	0.13451
757.50	0.13231
758.00	0.13050
758.50	0.13009
759.00	0.12765
759.50	0.12595
760.00	0.12467
760.50	0.12296
761.00	0.12208
761.50	0.12025
762.00	0.11835
